"dataset","dataset_label","replicate","scenario","n_H","n_Case","median_depth_H","median_depth_Case","depth_ratio_Case_to_H","minimum_depth","maximum_depth","group_seed","count_seed"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced",100,100,4475,4378.5,0.978435754189944,1492,11535,48901251,49001351
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"fourfold",100,100,1399,6408,4.58041458184417,522,17662,48901251,49101354
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",2,"balanced",100,100,4220,3802,0.900947867298578,1188,12959,48902260,49002360
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",2,"fourfold",100,100,1516.5,5565.5,3.66996373227827,458,14510,48902260,49102363
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",3,"balanced",100,100,3656.5,3885,1.06249145357582,1078,13497,48903269,49003369
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",3,"fourfold",100,100,1428.5,6359,4.45152257612881,559,30000,48903269,49103372
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",4,"balanced",100,100,4119,3748,0.909929594561787,1529,14652,48904278,49004378
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",4,"fourfold",100,100,1454.5,5977.5,4.1096596768649,619,12774,48904278,49104381
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",5,"balanced",100,100,3652.5,3723,1.01930184804928,1407,12619,48905287,49005387
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",5,"fourfold",100,100,1532.5,6273,4.09331158238173,497,16579,48905287,49105390
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",6,"balanced",100,100,4060,3910.5,0.963177339901478,1145,12547,48906296,49006396
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",6,"fourfold",100,100,1467.5,5556.5,3.78637137989779,546,16430,48906296,49106399
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",7,"balanced",100,100,3869,4007,1.03566813130008,1331,11138,48907305,49007405
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",7,"fourfold",100,100,1506,6179.5,4.10325365205843,517,28377,48907305,49107408
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",8,"balanced",100,100,4150.5,4177.5,1.00650524033249,970,13116,48908314,49008414
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",8,"fourfold",100,100,1564,5756.5,3.68062659846547,491,17665,48908314,49108417
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",9,"balanced",100,100,4007.5,4130,1.03056768558952,933,12067,48909323,49009423
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",9,"fourfold",100,100,1452.5,5881.5,4.04922547332186,453,20467,48909323,49109426
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",10,"balanced",100,100,3835,3782.5,0.986310299869622,974,13415,48910332,49010432
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",10,"fourfold",100,100,1460.5,5826.5,3.9893871961657,453,13839,48910332,49110435
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",11,"balanced",100,100,3677.5,3963.5,1.07777022433719,1024,12527,48911341,49011441
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",11,"fourfold",100,100,1592,5685.5,3.57129396984925,504,22499,48911341,49111444
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",12,"balanced",100,100,3698.5,4130.5,1.11680410977423,1189,18592,48912350,49012450
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",12,"fourfold",100,100,1608,6058,3.76741293532338,563,16620,48912350,49112453
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",13,"balanced",100,100,4611.5,3801,0.824243738479887,1372,13704,48913359,49013459
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",13,"fourfold",100,100,1562.5,5845,3.7408,470,15033,48913359,49113462
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",14,"balanced",100,100,4799,3766.5,0.784851010627214,1279,10372,48914368,49014468
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",14,"fourfold",100,100,1664,6161.5,3.70282451923077,460,18234,48914368,49114471
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",15,"balanced",100,100,4008.5,3930,0.980416614693776,1398,17199,48915377,49015477
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",15,"fourfold",100,100,1479.5,5861.5,3.96181142277797,466,18497,48915377,49115480
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",16,"balanced",100,100,3988,3994.5,1.00162988966901,1189,14327,48916386,49016486
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",16,"fourfold",100,100,1540,6173.5,4.00876623376623,423,17491,48916386,49116489
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",17,"balanced",100,100,3404.5,4153,1.21985607284476,1165,16806,48917395,49017495
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",17,"fourfold",100,100,1415,5606.5,3.96219081272085,425,21419,48917395,49117498
