"dataset","dataset_label","replicate","scenario","taxon","observed_prevalence","prevalence_H","prevalence_Case","positive_samples_H","positive_samples_Case","total_count","sacat_retained","sacat_formed_structural_absence","sacat_regular_structural_absence","sacat_nonregular_structural_absence","sacat_formed_relative_abundance","sacat_formed_omnibus","sacat_both_components_formed","sacat_reason_structural_absence","sacat_reason_relative_abundance","sacat_warning_structural_absence","sacat_warning_relative_abundance"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Acinetobacter",0.97,0.98,0.96,98,96,45651,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Actinomyces",0.71,0.72,0.7,72,70,3139,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Anaerococcus",0.965,0.97,0.96,97,96,18898,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Chryseobacterium",0.82,0.82,0.82,82,82,9075,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Corynebacterium",1,1,1,100,100,146998,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Dietzia",0.605,0.65,0.56,65,56,5890,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Enhydrobacter",0.925,0.92,0.93,92,93,29163,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Finegoldia",0.91,0.89,0.93,89,93,6340,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Fusobacterium",0.88,0.89,0.87,89,87,5314,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Gardnerella",0.35,0.29,0.41,29,41,4618,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Granulicatella",0.8,0.77,0.83,77,83,2947,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Haemophilus",0.915,0.91,0.92,91,92,10600,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Halomonas",0.945,0.95,0.94,95,94,3795,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Kocuria",0.77,0.8,0.74,80,74,3590,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Lactobacillus",0.755,0.74,0.77,74,77,4821,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Lactococcus",0.715,0.73,0.7,73,70,8579,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Leptotrichia",0.8,0.81,0.79,81,79,4479,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Micrococcus",0.92,0.92,0.92,92,92,12941,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Neisseria",0.815,0.83,0.8,83,80,7504,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Paracoccus",0.87,0.88,0.86,88,86,4740,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Peptoniphilus",0.88,0.88,0.88,88,88,8502,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Porphyromonas",0.815,0.79,0.84,79,84,3864,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Prevotella",0.975,0.98,0.97,98,97,21733,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","Propionibacterium",0.905,0.86,0.95,86,95,3330,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
