"dataset","dataset_label","replicate","scenario","method","taxon","p_value","native_p_value","available","status","reason"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","SACAT","Acinetobacter",1,1,TRUE,"available","available"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","SACAT","Actinomyces",1,1,TRUE,"available","available"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","SACAT","Anaerococcus",0.118377994081758,0.118377994081758,TRUE,"available","available"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","SACAT","Chryseobacterium",1,1,TRUE,"available","available"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","SACAT","Corynebacterium",1,1,TRUE,"available","available"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","SACAT","Dietzia",1,1,TRUE,"available","available"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","SACAT","Enhydrobacter",1,1,TRUE,"available","available"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","SACAT","Finegoldia",1,1,TRUE,"available","available"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","SACAT","Fusobacterium",0.57417987092623,0.57417987092623,TRUE,"available","available"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","SACAT","Gardnerella",0.0969082082711529,0.0969082082711529,TRUE,"available","available"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","SACAT","Granulicatella",0.866755725140224,0.866755725140224,TRUE,"available","available"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","SACAT","Haemophilus",1,1,TRUE,"available","available"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","SACAT","Halomonas",0.598840886183141,0.598840886183141,TRUE,"available","available"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","SACAT","Kocuria",1,1,TRUE,"available","available"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","SACAT","Lactobacillus",0.59678275097768,0.59678275097768,TRUE,"available","available"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","SACAT","Lactococcus",1,1,TRUE,"available","available"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","SACAT","Leptotrichia",0.517462830165379,0.517462830165379,TRUE,"available","available"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","SACAT","Micrococcus",1,1,TRUE,"available","available"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","SACAT","Neisseria",0.914148198436108,0.914148198436108,TRUE,"available","available"
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead",1,"balanced","SACAT","Paracoccus",1,1,TRUE,"available","available"
