"dataset","dataset_label","replicate","scenario","n_H","n_Case","median_depth_H","median_depth_Case","depth_ratio_Case_to_H","minimum_depth","maximum_depth","group_seed","count_seed"
"AsnicarF_2021","Asnicar 2021",1,"balanced",100,100,3594.5,4055.5,1.1282514953401,1364,16102,3901116,4001216
"AsnicarF_2021","Asnicar 2021",1,"fourfold",100,100,1509,6344.5,4.20444002650762,508,20960,3901116,4101219
"AsnicarF_2021","Asnicar 2021",2,"balanced",100,100,3870.5,4179.5,1.07983464668647,1169,20788,3902125,4002225
"AsnicarF_2021","Asnicar 2021",2,"fourfold",100,100,1384.5,5945.5,4.29433008306248,409,20247,3902125,4102228
"AsnicarF_2021","Asnicar 2021",3,"balanced",100,100,3836.5,4034.5,1.05160953994526,679,13170,3903134,4003234
"AsnicarF_2021","Asnicar 2021",3,"fourfold",100,100,1487.5,6247.5,4.2,466,18432,3903134,4103237
"AsnicarF_2021","Asnicar 2021",4,"balanced",100,100,3814,3824,1.00262191924489,1052,12267,3904143,4004243
"AsnicarF_2021","Asnicar 2021",4,"fourfold",100,100,1661,6076.5,3.65833835039133,459,19245,3904143,4104246
"AsnicarF_2021","Asnicar 2021",5,"balanced",100,100,4174,3818.5,0.914829899377096,1245,12795,3905152,4005252
"AsnicarF_2021","Asnicar 2021",5,"fourfold",100,100,1499.5,6036,4.02534178059353,451,29170,3905152,4105255
"AsnicarF_2021","Asnicar 2021",6,"balanced",100,100,3874.5,4469.5,1.15356820234869,1257,11186,3906161,4006261
"AsnicarF_2021","Asnicar 2021",6,"fourfold",100,100,1535.5,6162.5,4.01335070009769,463,15138,3906161,4106264
"AsnicarF_2021","Asnicar 2021",7,"balanced",100,100,4470,3993.5,0.893400447427293,1218,12909,3907170,4007270
"AsnicarF_2021","Asnicar 2021",7,"fourfold",100,100,1666.5,6479,3.88778877887789,623,19916,3907170,4107273
"AsnicarF_2021","Asnicar 2021",8,"balanced",100,100,4236.5,4254.5,1.00424879027499,867,12854,3908179,4008279
"AsnicarF_2021","Asnicar 2021",8,"fourfold",100,100,1412,6229,4.4114730878187,562,30000,3908179,4108282
"AsnicarF_2021","Asnicar 2021",9,"balanced",100,100,4280.5,3644.5,0.85141922672585,937,11576,3909188,4009288
"AsnicarF_2021","Asnicar 2021",9,"fourfold",100,100,1452.5,5742,3.95318416523236,481,17590,3909188,4109291
"AsnicarF_2021","Asnicar 2021",10,"balanced",100,100,4048,4016,0.992094861660079,1172,13882,3910197,4010297
"AsnicarF_2021","Asnicar 2021",10,"fourfold",100,100,1480.5,6241.5,4.21580547112462,450,14422,3910197,4110300
"AsnicarF_2021","Asnicar 2021",11,"balanced",100,100,3954.5,3762.5,0.95144771778986,915,17689,3911206,4011306
"AsnicarF_2021","Asnicar 2021",11,"fourfold",100,100,1582,5233.5,3.30815423514539,436,16964,3911206,4111309
"AsnicarF_2021","Asnicar 2021",12,"balanced",100,100,3710,4088,1.10188679245283,993,12971,3912215,4012315
"AsnicarF_2021","Asnicar 2021",12,"fourfold",100,100,1413,6382,4.51663128096249,394,18742,3912215,4112318
"AsnicarF_2021","Asnicar 2021",13,"balanced",100,100,4252,3981,0.9362652869238,957,12408,3913224,4013324
"AsnicarF_2021","Asnicar 2021",13,"fourfold",100,100,1682,5722.5,3.40219976218787,625,18788,3913224,4113327
"AsnicarF_2021","Asnicar 2021",14,"balanced",100,100,3932,3944,1.0030518819939,1473,11953,3914233,4014333
"AsnicarF_2021","Asnicar 2021",14,"fourfold",100,100,1706.5,5458,3.19835921476707,436,17535,3914233,4114336
"AsnicarF_2021","Asnicar 2021",15,"balanced",100,100,4114.5,3772,0.916757807753068,1218,14255,3915242,4015342
"AsnicarF_2021","Asnicar 2021",15,"fourfold",100,100,1561.5,6065,3.88408581492155,606,19922,3915242,4115345
