"dataset","dataset_label","replicate","scenario","method","taxon","p_value","native_p_value","available","status","reason"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Agathobaculum",0.735460574287674,0.735460574287674,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Akkermansia",0.901307373775087,0.901307373775087,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Alistipes",0.105802020405065,0.105802020405065,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Anaerobutyricum",0.454351181065908,0.454351181065908,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Anaerostipes",0.289662081767038,0.289662081767038,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Bacteroides",0.820767147877322,0.820767147877322,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Barnesiella",0.262128183785326,0.262128183785326,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Bifidobacterium",1,1,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Blautia",0.301654935908167,0.301654935908167,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Butyrivibrio",0.158121934618503,0.158121934618503,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Clostridium",1,1,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Collinsella",1,1,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Coprococcus",0.765439032664366,0.765439032664366,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Dorea",0.673052621844674,0.673052621844674,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Eubacterium",0.165595572870507,0.165595572870507,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Faecalibacterium",0.632228067452483,0.632228067452483,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Firmicutes_unclassified",0.587150871939474,0.587150871939474,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Fusicatenibacter",1,1,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Lachnospira",0.469109516589766,0.469109516589766,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Lachnospiraceae_unclassified",1,1,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Mediterraneibacter",0.175407390395064,0.175407390395064,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Odoribacter",1,1,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Oscillibacter",0.610735824238026,0.610735824238026,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Parabacteroides",0.324225042389363,0.324225042389363,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Phascolarctobacterium",0.4997217105154,0.4997217105154,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Phocaeicola",0.399375409894113,0.399375409894113,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Prevotella",0.103829695691664,0.103829695691664,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Roseburia",1,1,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Ruminococcaceae_unclassified",0.573505383436694,0.573505383436694,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","DASRA","Ruminococcus",1,1,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","ZINQ","Agathobaculum",0.82087885513663,0.82087885513663,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","ZINQ","Akkermansia",0.887188637746198,0.887188637746198,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","ZINQ","Alistipes",0.0018925506035874,0.0018925506035874,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","ZINQ","Anaerobutyricum",0.437952404702804,0.437952404702804,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","ZINQ","Anaerostipes",0.869322397974643,0.869322397974643,TRUE,"available","available"
"AsnicarF_2021","Asnicar 2021",1,"balanced","ZINQ","Bacteroides",0.15291052831024,0.15291052831024,TRUE,"available","available"
