"dataset","dataset_label","replicate","scenario","n_H","n_Case","median_depth_H","median_depth_Case","depth_ratio_Case_to_H","minimum_depth","maximum_depth","group_seed","count_seed"
"Atlas1006","HITChip Atlas 1006",1,"balanced",100,100,4173.5,3612.5,0.865580448065173,1241,17875,20901167,21001267
"Atlas1006","HITChip Atlas 1006",1,"fourfold",100,100,1510,6418,4.25033112582781,555,15261,20901167,21101270
"Atlas1006","HITChip Atlas 1006",2,"balanced",100,100,4053.5,3996,0.985814728012828,1316,12050,20902176,21002276
"Atlas1006","HITChip Atlas 1006",2,"fourfold",100,100,1621.5,5945,3.6663583102066,486,15684,20902176,21102279
"Atlas1006","HITChip Atlas 1006",3,"balanced",100,100,3584,4161.5,1.1611328125,958,12596,20903185,21003285
"Atlas1006","HITChip Atlas 1006",3,"fourfold",100,100,1658,6011.5,3.62575392038601,449,21344,20903185,21103288
"Atlas1006","HITChip Atlas 1006",4,"balanced",100,100,3896,3979,1.02130390143737,1385,11827,20904194,21004294
"Atlas1006","HITChip Atlas 1006",4,"fourfold",100,100,1519.5,6316.5,4.15695952615992,601,19587,20904194,21104297
"Atlas1006","HITChip Atlas 1006",5,"balanced",100,100,4713.5,3722.5,0.789752837594144,1460,12667,20905203,21005303
"Atlas1006","HITChip Atlas 1006",5,"fourfold",100,100,1503,5485.5,3.6497005988024,404,17216,20905203,21105306
"Atlas1006","HITChip Atlas 1006",6,"balanced",100,100,3993,3979,0.996493864262459,1245,17049,20906212,21006312
"Atlas1006","HITChip Atlas 1006",6,"fourfold",100,100,1468.5,6051,4.12053115423902,529,22895,20906212,21106315
"Atlas1006","HITChip Atlas 1006",7,"balanced",100,100,3951.5,3607,0.912817917246615,1083,12818,20907221,21007321
"Atlas1006","HITChip Atlas 1006",7,"fourfold",100,100,1515,5404,3.56699669966997,300,19351,20907221,21107324
"Atlas1006","HITChip Atlas 1006",8,"balanced",100,100,4111,3964,0.964242276818292,1062,11765,20908230,21008330
"Atlas1006","HITChip Atlas 1006",8,"fourfold",100,100,1497,5605,3.74415497661991,467,17304,20908230,21108333
"Atlas1006","HITChip Atlas 1006",9,"balanced",100,100,3938.5,4097,1.04024374761965,1487,12186,20909239,21009339
"Atlas1006","HITChip Atlas 1006",9,"fourfold",100,100,1613.5,5989.5,3.71211651688875,437,21207,20909239,21109342
"Atlas1006","HITChip Atlas 1006",10,"balanced",100,100,3932,4180.5,1.0631993896236,1321,17453,20910248,21010348
"Atlas1006","HITChip Atlas 1006",10,"fourfold",100,100,1504.5,6197,4.11897640412097,538,15689,20910248,21110351
"Atlas1006","HITChip Atlas 1006",11,"balanced",100,100,4087,4349.5,1.06422804012723,1297,17568,20911257,21011357
"Atlas1006","HITChip Atlas 1006",11,"fourfold",100,100,1631,5438,3.33415082771306,472,20207,20911257,21111360
"Atlas1006","HITChip Atlas 1006",12,"balanced",100,100,3883.5,4304.5,1.10840736449079,903,12007,20912266,21012366
"Atlas1006","HITChip Atlas 1006",12,"fourfold",100,100,1353.5,5482.5,4.05060953084596,536,16752,20912266,21112369
"Atlas1006","HITChip Atlas 1006",13,"balanced",100,100,4179,4101.5,0.981454893515195,1069,15527,20913275,21013375
"Atlas1006","HITChip Atlas 1006",13,"fourfold",100,100,1484,6296,4.24258760107817,481,20764,20913275,21113378
"Atlas1006","HITChip Atlas 1006",14,"balanced",100,100,3838.5,4193,1.09235378403022,1046,14686,20914284,21014384
"Atlas1006","HITChip Atlas 1006",14,"fourfold",100,100,1492,5895.5,3.95140750670241,466,25763,20914284,21114387
"Atlas1006","HITChip Atlas 1006",15,"balanced",100,100,3898,4094.5,1.05041046690611,1397,14735,20915293,21015393
"Atlas1006","HITChip Atlas 1006",15,"fourfold",100,100,1352,5983,4.42529585798817,415,21595,20915293,21115396
"Atlas1006","HITChip Atlas 1006",16,"balanced",100,100,3900.5,3754,0.962440712729137,1009,14200,20916302,21016402
"Atlas1006","HITChip Atlas 1006",16,"fourfold",100,100,1563,5965.5,3.81669865642994,473,17423,20916302,21116405
"Atlas1006","HITChip Atlas 1006",17,"balanced",100,100,3598.5,4290.5,1.19230234820064,1464,14849,20917311,21017411
"Atlas1006","HITChip Atlas 1006",17,"fourfold",100,100,1536,6021,3.919921875,640,14559,20917311,21117414
"Atlas1006","HITChip Atlas 1006",18,"balanced",100,100,3998,3700.5,0.925587793896948,1147,15320,20918320,21018420
"Atlas1006","HITChip Atlas 1006",18,"fourfold",100,100,1587.5,6491,4.0888188976378,300,14727,20918320,21118423
"Atlas1006","HITChip Atlas 1006",19,"balanced",100,100,3959.5,3993.5,1.00858694279581,1282,12629,20919329,21019429
"Atlas1006","HITChip Atlas 1006",19,"fourfold",100,100,1382.5,5678,4.10705244122966,614,25558,20919329,21119432
"Atlas1006","HITChip Atlas 1006",20,"balanced",100,100,4008,3656.5,0.912300399201597,1131,12351,20920338,21020438
"Atlas1006","HITChip Atlas 1006",20,"fourfold",100,100,1629,6827,4.19091467157766,557,22680,20920338,21120441
"Atlas1006","HITChip Atlas 1006",21,"balanced",100,100,3631,3842.5,1.05824841641421,1410,15904,20921347,21021447
"Atlas1006","HITChip Atlas 1006",21,"fourfold",100,100,1411,6649,4.71226080793763,448,18005,20921347,21121450
"Atlas1006","HITChip Atlas 1006",22,"balanced",100,100,4202,4325.5,1.02939076630176,1220,12922,20922356,21022456
"Atlas1006","HITChip Atlas 1006",22,"fourfold",100,100,1410,6011.5,4.26347517730496,538,20403,20922356,21122459
"Atlas1006","HITChip Atlas 1006",23,"balanced",100,100,3898,3973.5,1.01936890713186,1057,10952,20923365,21023465
"Atlas1006","HITChip Atlas 1006",23,"fourfold",100,100,1401,6103.5,4.35653104925054,507,24497,20923365,21123468
"Atlas1006","HITChip Atlas 1006",24,"balanced",100,100,4035.5,4010.5,0.99380498079544,614,10647,20924374,21024474
"Atlas1006","HITChip Atlas 1006",24,"fourfold",100,100,1541,6066.5,3.93672939649578,527,15910,20924374,21124477
"Atlas1006","HITChip Atlas 1006",25,"balanced",100,100,3952,4286.5,1.08464068825911,910,9121,20925383,21025483
"Atlas1006","HITChip Atlas 1006",25,"fourfold",100,100,1538,6309.5,4.10240572171652,463,20262,20925383,21125486
"Atlas1006","HITChip Atlas 1006",26,"balanced",100,100,3948,4607,1.16691995947315,1262,17850,20926392,21026492
"Atlas1006","HITChip Atlas 1006",26,"fourfold",100,100,1436.5,5984.5,4.16602854159415,490,15692,20926392,21126495
"Atlas1006","HITChip Atlas 1006",27,"balanced",100,100,4219,3956.5,0.937781464802086,1453,11475,20927401,21027501
"Atlas1006","HITChip Atlas 1006",27,"fourfold",100,100,1357,5534.5,4.07848194546794,360,15560,20927401,21127504
"Atlas1006","HITChip Atlas 1006",28,"balanced",100,100,4097.5,4329.5,1.05661989017694,1444,15085,20928410,21028510
"Atlas1006","HITChip Atlas 1006",28,"fourfold",100,100,1435.5,6208.5,4.32497387669801,519,16727,20928410,21128513
"Atlas1006","HITChip Atlas 1006",29,"balanced",100,100,4127,4285.5,1.03840562151684,1127,11430,20929419,21029519
"Atlas1006","HITChip Atlas 1006",29,"fourfold",100,100,1529,5297.5,3.46468279921517,597,15337,20929419,21129522
"Atlas1006","HITChip Atlas 1006",30,"balanced",100,100,4308.5,3950,0.916792387141697,958,14593,20930428,21030528
"Atlas1006","HITChip Atlas 1006",30,"fourfold",100,100,1375,6275,4.56363636363636,612,18163,20930428,21130531
"Atlas1006","HITChip Atlas 1006",31,"balanced",100,100,4312.5,4533,1.05113043478261,1355,12252,20931437,21031537
"Atlas1006","HITChip Atlas 1006",31,"fourfold",100,100,1467,5993,4.0852079072938,470,20983,20931437,21131540
"Atlas1006","HITChip Atlas 1006",32,"balanced",100,100,4111,3830.5,0.93176842617368,1222,11770,20932446,21032546
"Atlas1006","HITChip Atlas 1006",32,"fourfold",100,100,1579.5,6041,3.82462804685027,351,15931,20932446,21132549
"Atlas1006","HITChip Atlas 1006",33,"balanced",100,100,3752.5,4330.5,1.15403064623584,1024,15512,20933455,21033555
"Atlas1006","HITChip Atlas 1006",33,"fourfold",100,100,1556,5172.5,3.32422879177378,479,15130,20933455,21133558
"Atlas1006","HITChip Atlas 1006",34,"balanced",100,100,4368.5,4217.5,0.965434359620007,1030,15617,20934464,21034564
"Atlas1006","HITChip Atlas 1006",34,"fourfold",100,100,1502.5,6215,4.13643926788686,494,15655,20934464,21134567
"Atlas1006","HITChip Atlas 1006",35,"balanced",100,100,4092,3950.5,0.965420332355816,607,11948,20935473,21035573
"Atlas1006","HITChip Atlas 1006",35,"fourfold",100,100,1511.5,5929.5,3.92292424743632,405,22769,20935473,21135576
"Atlas1006","HITChip Atlas 1006",36,"balanced",100,100,3821.5,3686,0.964542718827685,880,15643,20936482,21036582
"Atlas1006","HITChip Atlas 1006",36,"fourfold",100,100,1542,5804,3.76394293125811,556,20650,20936482,21136585
"Atlas1006","HITChip Atlas 1006",37,"balanced",100,100,3989.5,4001,1.00288256673769,1142,13048,20937491,21037591
"Atlas1006","HITChip Atlas 1006",37,"fourfold",100,100,1430,6466,4.52167832167832,539,18502,20937491,21137594
"Atlas1006","HITChip Atlas 1006",38,"balanced",100,100,4169,4371.5,1.04857279923243,1192,13586,20938500,21038600
"Atlas1006","HITChip Atlas 1006",38,"fourfold",100,100,1595,5719.5,3.5858934169279,707,13723,20938500,21138603
"Atlas1006","HITChip Atlas 1006",39,"balanced",100,100,3895.5,4441,1.1400333718393,1113,18172,20939509,21039609
"Atlas1006","HITChip Atlas 1006",39,"fourfold",100,100,1419.5,5608,3.95068686157098,558,22648,20939509,21139612
"Atlas1006","HITChip Atlas 1006",40,"balanced",100,100,3682.5,4211,1.14351663272234,998,12308,20940518,21040618
"Atlas1006","HITChip Atlas 1006",40,"fourfold",100,100,1353.5,5916.5,4.37125969708164,542,21058,20940518,21140621
"Atlas1006","HITChip Atlas 1006",41,"balanced",100,100,3793,3957,1.04323754284208,1522,11871,20941527,21041627
"Atlas1006","HITChip Atlas 1006",41,"fourfold",100,100,1566.5,5638.5,3.59942547079477,571,18125,20941527,21141630
"Atlas1006","HITChip Atlas 1006",42,"balanced",100,100,4288.5,3640,0.848781625276903,1261,16181,20942536,21042636
"Atlas1006","HITChip Atlas 1006",42,"fourfold",100,100,1520,5465.5,3.59572368421053,523,17964,20942536,21142639
"Atlas1006","HITChip Atlas 1006",43,"balanced",100,100,3806.5,4257.5,1.11848154472613,1515,11849,20943545,21043645
"Atlas1006","HITChip Atlas 1006",43,"fourfold",100,100,1589.5,6305.5,3.96697074551746,498,17839,20943545,21143648
"Atlas1006","HITChip Atlas 1006",44,"balanced",100,100,4203,3997,0.950987389959553,1229,14459,20944554,21044654
"Atlas1006","HITChip Atlas 1006",44,"fourfold",100,100,1555.5,5298,3.40597878495661,394,18570,20944554,21144657
"Atlas1006","HITChip Atlas 1006",45,"balanced",100,100,3684.5,3955.5,1.07355136382141,952,9775,20945563,21045663
"Atlas1006","HITChip Atlas 1006",45,"fourfold",100,100,1471,6084.5,4.13630183548606,559,17220,20945563,21145666
"Atlas1006","HITChip Atlas 1006",46,"balanced",100,100,4308,3503.5,0.813254410399257,1477,17250,20946572,21046672
"Atlas1006","HITChip Atlas 1006",46,"fourfold",100,100,1581.5,5813,3.67562440720835,536,15374,20946572,21146675
"Atlas1006","HITChip Atlas 1006",47,"balanced",100,100,4040.5,3952,0.978096770201708,953,20719,20947581,21047681
"Atlas1006","HITChip Atlas 1006",47,"fourfold",100,100,1421,5753.5,4.04890921885996,613,17768,20947581,21147684
"Atlas1006","HITChip Atlas 1006",48,"balanced",100,100,3746,4117.5,1.09917245061399,1391,18552,20948590,21048690
"Atlas1006","HITChip Atlas 1006",48,"fourfold",100,100,1526,5762,3.77588466579292,351,17156,20948590,21148693
"Atlas1006","HITChip Atlas 1006",49,"balanced",100,100,3850,4291,1.11454545454545,950,11758,20949599,21049699
"Atlas1006","HITChip Atlas 1006",49,"fourfold",100,100,1586.5,6422,4.04790419161677,389,27543,20949599,21149702
"Atlas1006","HITChip Atlas 1006",50,"balanced",100,100,3808.5,3665.5,0.962452409084942,961,13470,20950608,21050708
"Atlas1006","HITChip Atlas 1006",50,"fourfold",100,100,1540.5,6271.5,4.07108081791626,347,21784,20950608,21150711
"Atlas1006","HITChip Atlas 1006",51,"balanced",100,100,3876,4072,1.05056759545924,1322,20585,20951617,21051717
"Atlas1006","HITChip Atlas 1006",51,"fourfold",100,100,1367,6397,4.67959034381858,392,23898,20951617,21151720
"Atlas1006","HITChip Atlas 1006",52,"balanced",100,100,3854.5,3914,1.01543650278895,1231,12007,20952626,21052726
"Atlas1006","HITChip Atlas 1006",52,"fourfold",100,100,1358,6290,4.63181148748159,539,20689,20952626,21152729
"Atlas1006","HITChip Atlas 1006",53,"balanced",100,100,4107,4003.5,0.974799123447772,1089,9675,20953635,21053735
"Atlas1006","HITChip Atlas 1006",53,"fourfold",100,100,1570.5,5528,3.51989812161732,538,19887,20953635,21153738
"Atlas1006","HITChip Atlas 1006",54,"balanced",100,100,3857.5,4128.5,1.0702527543746,919,11673,20954644,21054744
"Atlas1006","HITChip Atlas 1006",54,"fourfold",100,100,1441,5658,3.9264399722415,453,21305,20954644,21154747
"Atlas1006","HITChip Atlas 1006",55,"balanced",100,100,4250.5,4047,0.952123279614163,1107,15229,20955653,21055753
"Atlas1006","HITChip Atlas 1006",55,"fourfold",100,100,1520.5,5557.5,3.65504768168366,669,20580,20955653,21155756
