"dataset","dataset_label","replicate","scenario","taxon","observed_prevalence","prevalence_H","prevalence_Case","positive_samples_H","positive_samples_Case","total_count","dasra_retained","dasra_formed_structural_absence","dasra_regular_structural_absence","dasra_nonregular_structural_absence","dasra_formed_relative_abundance","dasra_formed_omnibus","dasra_both_components_formed","dasra_reason_structural_absence","dasra_reason_relative_abundance","dasra_warning_structural_absence","dasra_warning_relative_abundance"
"Atlas1006","HITChip Atlas 1006",1,"balanced","Allistipes et rel.",0.985,0.97,1,97,100,18996,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Anaerostipes caccae et rel.",1,1,1,100,100,13663,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Bacteroides vulgatus et rel.",1,1,1,100,100,71202,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Bifidobacterium",0.995,1,0.99,100,99,15257,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Bryantella formatexigens et rel.",1,1,1,100,100,11382,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Butyrivibrio crossotus et rel.",1,1,1,100,100,18153,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Clostridium cellulosi et rel.",1,1,1,100,100,29803,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Clostridium difficile et rel.",0.98,0.99,0.97,99,97,6518,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Clostridium leptum et rel.",1,1,1,100,100,11410,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Clostridium orbiscindens et rel.",1,1,1,100,100,18540,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Clostridium sphenoides et rel.",1,1,1,100,100,11585,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Clostridium symbiosum et rel.",1,1,1,100,100,21870,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Coprococcus eutactus et rel.",1,1,1,100,100,28931,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Dorea formicigenerans et rel.",1,1,1,100,100,17668,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Eubacterium ventriosum et rel.",0.99,1,0.98,100,98,7441,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Faecalibacterium prausnitzii et rel.",1,1,1,100,100,93970,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Lachnobacillus bovis et rel.",1,1,1,100,100,8152,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Lachnospira pectinoschiza et rel.",1,1,1,100,100,9981,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Oscillospira guillermondii et rel.",1,1,1,100,100,91034,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Outgrouping clostridium cluster XIVa",1,1,1,100,100,8453,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Prevotella melaninogenica et rel.",1,1,1,100,100,81415,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Prevotella oralis et rel.",0.93,0.94,0.92,94,92,13407,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Ruminococcus bromii et rel.",0.97,0.97,0.97,97,97,10248,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Ruminococcus callidus et rel.",1,1,1,100,100,10057,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Ruminococcus obeum et rel.",1,1,1,100,100,57630,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Sporobacter termitidis et rel.",1,1,1,100,100,29073,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Streptococcus bovis et rel.",0.99,1,0.98,100,98,6816,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Subdoligranulum variable at rel.",1,1,1,100,100,42821,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Uncultured Clostridiales I",1,1,1,100,100,17337,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"balanced","Uncultured Clostridiales II",1,1,1,100,100,11247,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"fourfold","Allistipes et rel.",0.99,0.98,1,98,100,16262,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"fourfold","Anaerostipes caccae et rel.",0.995,1,0.99,100,99,11601,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"fourfold","Bacteroides vulgatus et rel.",0.99,0.98,1,98,100,64138,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"fourfold","Bifidobacterium",0.99,0.98,1,98,100,14403,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"fourfold","Bryantella formatexigens et rel.",1,1,1,100,100,10285,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"fourfold","Butyrivibrio crossotus et rel.",1,1,1,100,100,16187,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"fourfold","Clostridium cellulosi et rel.",1,1,1,100,100,30659,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"fourfold","Clostridium difficile et rel.",0.955,0.92,0.99,92,99,5895,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","",""
"Atlas1006","HITChip Atlas 1006",1,"fourfold","Clostridium leptum et rel.",1,1,1,100,100,11127,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
