"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_rejections","type1_error"
"Atlas1006","HITChip Atlas 1006",1,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",1,"balanced","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",1,"balanced","MaAsLin3",30,7,0.233333333333333,0,0
"Atlas1006","HITChip Atlas 1006",1,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",1,"fourfold","ZINQ",30,30,1,2,0.0666666666666667
"Atlas1006","HITChip Atlas 1006",1,"fourfold","MaAsLin3",30,14,0.466666666666667,0,0
"Atlas1006","HITChip Atlas 1006",2,"balanced","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",2,"balanced","ZINQ",30,30,1,3,0.1
"Atlas1006","HITChip Atlas 1006",2,"balanced","MaAsLin3",30,9,0.3,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",2,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",2,"fourfold","ZINQ",30,30,1,3,0.1
"Atlas1006","HITChip Atlas 1006",2,"fourfold","MaAsLin3",30,18,0.6,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",3,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",3,"balanced","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",3,"balanced","MaAsLin3",30,10,0.333333333333333,0,0
"Atlas1006","HITChip Atlas 1006",3,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",3,"fourfold","ZINQ",30,30,1,3,0.1
"Atlas1006","HITChip Atlas 1006",3,"fourfold","MaAsLin3",30,20,0.666666666666667,0,0
"Atlas1006","HITChip Atlas 1006",4,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",4,"balanced","ZINQ",30,30,1,2,0.0666666666666667
"Atlas1006","HITChip Atlas 1006",4,"balanced","MaAsLin3",30,10,0.333333333333333,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",4,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",4,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",4,"fourfold","MaAsLin3",30,21,0.7,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",5,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",5,"balanced","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",5,"balanced","MaAsLin3",30,10,0.333333333333333,0,0
"Atlas1006","HITChip Atlas 1006",5,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",5,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",5,"fourfold","MaAsLin3",30,16,0.533333333333333,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",6,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",6,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",6,"balanced","MaAsLin3",30,15,0.5,0,0
