"dataset","dataset_label","replicate","scenario","method","taxon","p_value","native_p_value","available","status","reason"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Allistipes et rel.",0.59956144175688,0.59956144175688,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Anaerostipes caccae et rel.",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Bacteroides vulgatus et rel.",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Bifidobacterium",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Bryantella formatexigens et rel.",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Butyrivibrio crossotus et rel.",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Clostridium cellulosi et rel.",0.819605330446389,0.819605330446389,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Clostridium difficile et rel.",0.666381098319072,0.666381098319072,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Clostridium leptum et rel.",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Clostridium orbiscindens et rel.",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Clostridium sphenoides et rel.",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Clostridium symbiosum et rel.",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Coprococcus eutactus et rel.",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Dorea formicigenerans et rel.",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Eubacterium ventriosum et rel.",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Faecalibacterium prausnitzii et rel.",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Lachnobacillus bovis et rel.",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Lachnospira pectinoschiza et rel.",0.834365145772029,0.834365145772029,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Oscillospira guillermondii et rel.",0.644797138516434,0.644797138516434,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Outgrouping clostridium cluster XIVa",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Prevotella melaninogenica et rel.",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Prevotella oralis et rel.",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Ruminococcus bromii et rel.",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Ruminococcus callidus et rel.",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Ruminococcus obeum et rel.",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Sporobacter termitidis et rel.",0.620384288000578,0.620384288000578,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Streptococcus bovis et rel.",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Subdoligranulum variable at rel.",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Uncultured Clostridiales I",1,1,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","SACAT","Uncultured Clostridiales II",0.596382882133292,0.596382882133292,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","ZINQ","Allistipes et rel.",0.233829356530044,0.233829356530044,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","ZINQ","Anaerostipes caccae et rel.",0.828673947309974,0.828673947309974,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","ZINQ","Bacteroides vulgatus et rel.",0.733689216711776,0.733689216711776,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","ZINQ","Bifidobacterium",0.87696254587958,0.87696254587958,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","ZINQ","Bryantella formatexigens et rel.",0.397982956406152,0.397982956406152,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","ZINQ","Butyrivibrio crossotus et rel.",0.580068718778034,0.580068718778034,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","ZINQ","Clostridium cellulosi et rel.",0.24172404074141,0.24172404074141,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","ZINQ","Clostridium difficile et rel.",0.289021488504166,0.289021488504166,TRUE,"available","available"
"Atlas1006","HITChip Atlas 1006",1,"balanced","ZINQ","Clostridium leptum et rel.",0.875898680668381,0.875898680668381,TRUE,"available","available"
