"dataset","dataset_label","replicate","scenario","n_H","n_Case","median_depth_H","median_depth_Case","depth_ratio_Case_to_H","minimum_depth","maximum_depth","group_seed","count_seed"
"BaxterE_2016","Baxter 2016",1,"balanced",100,100,4285,3864,0.901750291715286,1238,12299,5901122,6001222
"BaxterE_2016","Baxter 2016",1,"fourfold",100,100,1498.5,6223,4.15281948615282,300,15698,5901122,6101225
"BaxterE_2016","Baxter 2016",2,"balanced",100,100,3875.5,4017,1.03651141788156,1145,18156,5902131,6002231
"BaxterE_2016","Baxter 2016",2,"fourfold",100,100,1362.5,6275.5,4.60587155963303,445,20779,5902131,6102234
"BaxterE_2016","Baxter 2016",3,"balanced",100,100,4100.5,3786,0.923302036337032,991,14079,5903140,6003240
"BaxterE_2016","Baxter 2016",3,"fourfold",100,100,1466.5,5655.5,3.8564609614729,471,19562,5903140,6103243
"BaxterE_2016","Baxter 2016",4,"balanced",100,100,4017.5,3776,0.939887990043559,1195,18232,5904149,6004249
"BaxterE_2016","Baxter 2016",4,"fourfold",100,100,1421,6323,4.4496833216045,654,15775,5904149,6104252
"BaxterE_2016","Baxter 2016",5,"balanced",100,100,3744.5,4183.5,1.11723861663774,1032,13841,5905158,6005258
"BaxterE_2016","Baxter 2016",5,"fourfold",100,100,1471,6553,4.45479265805574,562,17085,5905158,6105261
"BaxterE_2016","Baxter 2016",6,"balanced",100,100,4307.5,4361,1.01242019733024,1359,13248,5906167,6006267
"BaxterE_2016","Baxter 2016",6,"fourfold",100,100,1516,6058,3.99604221635884,616,14912,5906167,6106270
"BaxterE_2016","Baxter 2016",7,"balanced",100,100,3821.5,3932.5,1.0290461860526,1145,19230,5907176,6007276
"BaxterE_2016","Baxter 2016",7,"fourfold",100,100,1428,5276,3.69467787114846,561,21153,5907176,6107279
"BaxterE_2016","Baxter 2016",8,"balanced",100,100,4056,3941.5,0.971770216962525,1489,12074,5908185,6008285
"BaxterE_2016","Baxter 2016",8,"fourfold",100,100,1406.5,6789.5,4.82723071453964,524,19789,5908185,6108288
"BaxterE_2016","Baxter 2016",9,"balanced",100,100,3658.5,3680,1.00587672543392,1275,11452,5909194,6009294
"BaxterE_2016","Baxter 2016",9,"fourfold",100,100,1596.5,5548.5,3.47541497024742,425,18035,5909194,6109297
"BaxterE_2016","Baxter 2016",10,"balanced",100,100,4201,4128,0.982623184955963,1046,11113,5910203,6010303
"BaxterE_2016","Baxter 2016",10,"fourfold",100,100,1434.5,5901,4.11362844196584,519,15027,5910203,6110306
"BaxterE_2016","Baxter 2016",11,"balanced",100,100,3759.5,3954,1.05173560313872,1355,11979,5911212,6011312
"BaxterE_2016","Baxter 2016",11,"fourfold",100,100,1577,5544,3.51553582752061,559,16281,5911212,6111315
"BaxterE_2016","Baxter 2016",12,"balanced",100,100,3734,4129,1.10578468130691,1314,13640,5912221,6012321
"BaxterE_2016","Baxter 2016",12,"fourfold",100,100,1608,5780.5,3.59483830845771,645,19434,5912221,6112324
"BaxterE_2016","Baxter 2016",13,"balanced",100,100,4120.5,4310,1.04598956437326,1580,12154,5913230,6013330
"BaxterE_2016","Baxter 2016",13,"fourfold",100,100,1520.5,6290,4.13679710621506,549,17057,5913230,6113333
"BaxterE_2016","Baxter 2016",14,"balanced",100,100,3794,3811.5,1.00461254612546,1487,11839,5914239,6014339
"BaxterE_2016","Baxter 2016",14,"fourfold",100,100,1530,5671,3.70653594771242,450,16366,5914239,6114342
"BaxterE_2016","Baxter 2016",15,"balanced",100,100,4028,4161.5,1.03314299900695,1233,11776,5915248,6015348
"BaxterE_2016","Baxter 2016",15,"fourfold",100,100,1480.5,4944,3.33941236068896,469,12854,5915248,6115351
"BaxterE_2016","Baxter 2016",16,"balanced",100,100,4076,4110.5,1.00846418056919,931,11984,5916257,6016357
