"dataset","dataset_label","replicate","scenario","taxon","observed_prevalence","prevalence_H","prevalence_Case","positive_samples_H","positive_samples_Case","total_count","sacat_retained","sacat_formed_structural_absence","sacat_regular_structural_absence","sacat_nonregular_structural_absence","sacat_formed_relative_abundance","sacat_formed_omnibus","sacat_both_components_formed","sacat_reason_structural_absence","sacat_reason_relative_abundance","sacat_warning_structural_absence","sacat_warning_relative_abundance"
"BaxterE_2016","Baxter 2016",1,"balanced","Akkermansia",0.845,0.88,0.81,88,81,25292,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Alistipes",0.92,0.93,0.91,93,91,26838,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Anaerostipes",0.98,0.97,0.99,97,99,30091,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Bacteroides",1,1,1,100,100,122844,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Bifidobacterium",0.755,0.8,0.71,80,71,8838,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Blautia",1,1,1,100,100,129482,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Clostridium_IV",0.985,0.98,0.99,98,99,17397,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Clostridium_sensu_stricto",0.74,0.77,0.71,77,71,9598,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Clostridium_XI",0.89,0.9,0.88,90,88,9700,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Clostridium_XlVa",0.995,0.99,1,99,100,15264,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Clostridium_XVIII",0.9,0.9,0.9,90,90,4993,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Collinsella",0.61,0.68,0.54,68,54,7682,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Coprococcus",0.875,0.91,0.84,91,84,9214,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Dorea",0.965,0.96,0.97,96,97,13950,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Escherichia/Shigella",0.795,0.84,0.75,84,75,6544,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Faecalibacterium",0.985,0.98,0.99,98,99,45548,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Gemmiger",0.79,0.77,0.81,77,81,9039,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Lachnospiracea_incertae_sedis",1,1,1,100,100,33587,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Methanobrevibacter",0.42,0.46,0.38,46,38,6678,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Oscillibacter",0.925,0.95,0.9,95,90,10824,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Parabacteroides",0.73,0.74,0.72,74,72,5616,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Phascolarctobacterium",0.64,0.65,0.63,65,63,7560,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Prevotella",0.365,0.4,0.33,40,33,13704,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Roseburia",0.99,1,0.98,100,98,32096,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"BaxterE_2016","Baxter 2016",1,"balanced","Ruminococcus",0.89,0.88,0.9,88,90,25242,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
