"dataset","dataset_label","replicate","scenario","method","taxon","p_value","native_p_value","available","status","reason"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Akkermansia",0.177575841790029,0.177575841790029,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Alistipes",0.507364220892428,0.507364220892428,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Anaerostipes",0.630182902385083,0.630182902385083,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Bacteroides",1,1,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Bifidobacterium",0.348952846683449,0.348952846683449,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Blautia",1,1,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Clostridium_IV",1,1,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Clostridium_sensu_stricto",0.358281592824393,0.358281592824393,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Clostridium_XI",1,1,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Clostridium_XlVa",1,1,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Clostridium_XVIII",1,1,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Collinsella",0.0830577583689359,0.0830577583689359,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Coprococcus",0.0390835619389215,0.0390835619389215,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Dorea",0.479200667106097,0.479200667106097,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Escherichia/Shigella",1,1,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Faecalibacterium",0.407139995050938,0.407139995050938,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Gemmiger",1,1,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Lachnospiracea_incertae_sedis",1,1,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Methanobrevibacter",0.424701229887149,0.424701229887149,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Oscillibacter",0.505753871331417,0.505753871331417,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Parabacteroides",1,1,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Phascolarctobacterium",0.0865322920161676,0.0865322920161676,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Prevotella",0.810173231089342,0.810173231089342,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Roseburia",0.540560877951367,0.540560877951367,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Ruminococcus",1,1,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Ruminococcus2",0.5436638439914,0.5436638439914,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Streptococcus",0.846205124919067,0.846205124919067,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Unclassified_Clostridiales",0.696459199632996,0.696459199632996,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Unclassified_Lachnospiraceae",1,1,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","DASRA","Unclassified_Ruminococcaceae",1,1,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Akkermansia",0.249724604690304,0.249724604690304,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Alistipes",0.499168432624254,0.499168432624254,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Anaerostipes",0.288037711108674,0.288037711108674,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Bacteroides",0.585167006863454,0.585167006863454,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Bifidobacterium",0.615947745032488,0.615947745032488,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Blautia",0.341978095382879,0.341978095382879,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Clostridium_IV",0.272147121334142,0.272147121334142,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Clostridium_sensu_stricto",0.52359920269987,0.52359920269987,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Clostridium_XI",0.697016318247294,0.697016318247294,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Clostridium_XlVa",0.648576268665323,0.648576268665323,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Clostridium_XVIII",0.458191434232075,0.458191434232075,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Collinsella",0.166886637720864,0.166886637720864,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Coprococcus",0.339138817166875,0.339138817166875,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Dorea",0.679603216505046,0.679603216505046,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Escherichia/Shigella",0.840543721724182,0.840543721724182,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Faecalibacterium",0.866808751206749,0.866808751206749,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Gemmiger",0.363350398285488,0.363350398285488,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Lachnospiracea_incertae_sedis",0.263116564257145,0.263116564257145,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Methanobrevibacter",0.657187256816586,0.657187256816586,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Oscillibacter",0.197930909761077,0.197930909761077,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Parabacteroides",0.818272390898163,0.818272390898163,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Phascolarctobacterium",0.092264826085905,0.092264826085905,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Prevotella",0.575325442129008,0.575325442129008,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Roseburia",0.420082139675228,0.420082139675228,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Ruminococcus",0.453019031026667,0.453019031026667,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Ruminococcus2",0.892940487751957,0.892940487751957,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Streptococcus",0.81347897215766,0.81347897215766,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Unclassified_Clostridiales",0.379624278589568,0.379624278589568,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Unclassified_Lachnospiraceae",0.118455357550868,0.118455357550868,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","ZINQ","Unclassified_Ruminococcaceae",0.85555996538138,0.85555996538138,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","MaAsLin3","Akkermansia",0.426607143437346,0.426607143437346,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","MaAsLin3","Alistipes",0.551678837971276,0.551678837971276,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","MaAsLin3","Anaerostipes",0.611446480268597,0.611446480268597,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","MaAsLin3","Bacteroides",1,0.141647976313006,FALSE,"unavailable","both component models and a consistent joint p-value were required"
"BaxterE_2016","Baxter 2016",1,"balanced","MaAsLin3","Bifidobacterium",0.263741385297529,0.263741385297529,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","MaAsLin3","Blautia",1,0.929607708397677,FALSE,"unavailable","both component models and a consistent joint p-value were required"
"BaxterE_2016","Baxter 2016",1,"balanced","MaAsLin3","Clostridium_IV",0.803174840359687,0.803174840359687,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","MaAsLin3","Clostridium_sensu_stricto",0.54794521205577,0.54794521205577,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","MaAsLin3","Clostridium_XI",0.947948928912283,0.947948928912283,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","MaAsLin3","Clostridium_XlVa",0.699815778150293,0.699815778150293,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","MaAsLin3","Clostridium_XVIII",0.928097751130009,0.928097751130009,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","MaAsLin3","Collinsella",0.102475847871644,0.102475847871644,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","MaAsLin3","Coprococcus",0.062604156196383,0.062604156196383,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","MaAsLin3","Dorea",0.395019389262125,0.395019389262125,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","MaAsLin3","Escherichia/Shigella",0.267428781610797,0.267428781610797,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","MaAsLin3","Faecalibacterium",0.267099913226605,0.267099913226605,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","MaAsLin3","Gemmiger",0.746680860140038,0.746680860140038,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","MaAsLin3","Lachnospiracea_incertae_sedis",1,0.959856253965113,FALSE,"unavailable","both component models and a consistent joint p-value were required"
"BaxterE_2016","Baxter 2016",1,"balanced","MaAsLin3","Methanobrevibacter",0.483961767239615,0.483961767239615,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","MaAsLin3","Oscillibacter",0.468739592436174,0.468739592436174,TRUE,"available","available"
"BaxterE_2016","Baxter 2016",1,"balanced","MaAsLin3","Parabacteroides",0.966048891415548,0.966048891415548,TRUE,"available","available"
