"dataset","dataset_label","replicate","scenario","n_H","n_Case","median_depth_H","median_depth_Case","depth_ratio_Case_to_H","minimum_depth","maximum_depth","group_seed","count_seed"
"HMPV35Throat","HMP V35 throat",1,"balanced",100,100,3910,4017,1.02736572890026,1022,11123,23901176,24001276
"HMPV35Throat","HMP V35 throat",1,"fourfold",100,100,1547.5,6009,3.88303715670436,535,15953,23901176,24101279
"HMPV35Throat","HMP V35 throat",2,"balanced",100,100,3860,4183,1.08367875647668,1054,18907,23902185,24002285
"HMPV35Throat","HMP V35 throat",2,"fourfold",100,100,1468,5983.5,4.07595367847411,386,16646,23902185,24102288
"HMPV35Throat","HMP V35 throat",3,"balanced",100,100,3820,3498,0.915706806282722,1577,13473,23903194,24003294
"HMPV35Throat","HMP V35 throat",3,"fourfold",100,100,1577,6460,4.09638554216868,575,18839,23903194,24103297
"HMPV35Throat","HMP V35 throat",4,"balanced",100,100,4200,3894.5,0.927261904761905,1123,13016,23904203,24004303
"HMPV35Throat","HMP V35 throat",4,"fourfold",100,100,1581.5,5738.5,3.6285172304774,467,14597,23904203,24104306
"HMPV35Throat","HMP V35 throat",5,"balanced",100,100,3943,4240.5,1.0754501648491,1060,14358,23905212,24005312
"HMPV35Throat","HMP V35 throat",5,"fourfold",100,100,1588.5,6227.5,3.92036512433113,471,19906,23905212,24105315
"HMPV35Throat","HMP V35 throat",6,"balanced",100,100,4004,4341,1.08416583416583,1268,13644,23906221,24006321
"HMPV35Throat","HMP V35 throat",6,"fourfold",100,100,1504,5677.5,3.7749335106383,313,20849,23906221,24106324
"HMPV35Throat","HMP V35 throat",7,"balanced",100,100,4052,4154.5,1.02529615004936,1192,17963,23907230,24007330
"HMPV35Throat","HMP V35 throat",7,"fourfold",100,100,1594.5,6745,4.23016619629978,584,16266,23907230,24107333
"HMPV35Throat","HMP V35 throat",8,"balanced",100,100,3672.5,4007.5,1.09121851599728,1406,15741,23908239,24008339
"HMPV35Throat","HMP V35 throat",8,"fourfold",100,100,1567,6521,4.16145500957243,366,15931,23908239,24108342
"HMPV35Throat","HMP V35 throat",9,"balanced",100,100,4145,4159,1.00337756332931,1248,15668,23909248,24009348
