"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_rejections","type1_error"
"HMPV35Throat","HMP V35 throat",1,"balanced","DASRA",30,30,1,2,0.0666666666666667
"HMPV35Throat","HMP V35 throat",1,"balanced","ZINQ",30,30,1,2,0.0666666666666667
"HMPV35Throat","HMP V35 throat",1,"balanced","MaAsLin3",30,30,1,2,0.0666666666666667
"HMPV35Throat","HMP V35 throat",1,"fourfold","DASRA",30,30,1,2,0.0666666666666667
"HMPV35Throat","HMP V35 throat",1,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",1,"fourfold","MaAsLin3",30,30,1,0,0
"HMPV35Throat","HMP V35 throat",2,"balanced","DASRA",30,30,1,0,0
"HMPV35Throat","HMP V35 throat",2,"balanced","ZINQ",30,30,1,3,0.1
"HMPV35Throat","HMP V35 throat",2,"balanced","MaAsLin3",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",2,"fourfold","DASRA",30,30,1,2,0.0666666666666667
"HMPV35Throat","HMP V35 throat",2,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",2,"fourfold","MaAsLin3",30,30,1,0,0
"HMPV35Throat","HMP V35 throat",3,"balanced","DASRA",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",3,"balanced","ZINQ",30,30,1,0,0
"HMPV35Throat","HMP V35 throat",3,"balanced","MaAsLin3",30,30,1,2,0.0666666666666667
"HMPV35Throat","HMP V35 throat",3,"fourfold","DASRA",30,30,1,1,0.0333333333333333
"HMPV35Throat","HMP V35 throat",3,"fourfold","ZINQ",30,30,1,0,0
"HMPV35Throat","HMP V35 throat",3,"fourfold","MaAsLin3",30,30,1,0,0
"HMPV35Throat","HMP V35 throat",4,"balanced","DASRA",30,30,1,5,0.166666666666667
"HMPV35Throat","HMP V35 throat",4,"balanced","ZINQ",30,30,1,4,0.133333333333333
"HMPV35Throat","HMP V35 throat",4,"balanced","MaAsLin3",30,30,1,3,0.1
"HMPV35Throat","HMP V35 throat",4,"fourfold","DASRA",30,30,1,4,0.133333333333333
"HMPV35Throat","HMP V35 throat",4,"fourfold","ZINQ",30,30,1,5,0.166666666666667
"HMPV35Throat","HMP V35 throat",4,"fourfold","MaAsLin3",30,30,1,6,0.2
"HMPV35Throat","HMP V35 throat",5,"balanced","DASRA",30,30,1,1,0.0333333333333333
