"dataset","dataset_label","replicate","scenario","method","taxon","p_value","native_p_value","available","status","reason"
"HMPV35Throat","HMP V35 throat",1,"balanced","SACAT","Actinobacillus",0.701633284019959,0.701633284019959,TRUE,"available","available"
"HMPV35Throat","HMP V35 throat",1,"balanced","SACAT","Actinomyces",0.259163954197904,0.259163954197904,TRUE,"available","available"
"HMPV35Throat","HMP V35 throat",1,"balanced","SACAT","Aggregatibacter",0.132573251059732,0.132573251059732,TRUE,"available","available"
"HMPV35Throat","HMP V35 throat",1,"balanced","SACAT","Atopobium",0.984414246043727,0.984414246043727,TRUE,"available","available"
"HMPV35Throat","HMP V35 throat",1,"balanced","SACAT","Bacteroides",0.0729714641652221,0.0729714641652221,TRUE,"available","available"
"HMPV35Throat","HMP V35 throat",1,"balanced","SACAT","Campylobacter",0.216174002481898,0.216174002481898,TRUE,"available","available"
"HMPV35Throat","HMP V35 throat",1,"balanced","SACAT","Capnocytophaga",0.870842135826859,0.870842135826859,TRUE,"available","available"
"HMPV35Throat","HMP V35 throat",1,"balanced","SACAT","Catonella",0.394406352299354,0.394406352299354,TRUE,"available","available"
"HMPV35Throat","HMP V35 throat",1,"balanced","SACAT","Corynebacterium",0.183266906043591,0.183266906043591,TRUE,"available","available"
"HMPV35Throat","HMP V35 throat",1,"balanced","SACAT","Eubacterium",1,1,TRUE,"available","available"
"HMPV35Throat","HMP V35 throat",1,"balanced","SACAT","Fusobacterium",0.532472670760534,0.532472670760534,TRUE,"available","available"
"HMPV35Throat","HMP V35 throat",1,"balanced","SACAT","Gemella",0.575975295489118,0.575975295489118,TRUE,"available","available"
"HMPV35Throat","HMP V35 throat",1,"balanced","SACAT","Granulicatella",0.496584962848068,0.496584962848068,TRUE,"available","available"
"HMPV35Throat","HMP V35 throat",1,"balanced","SACAT","Haemophilus",1,1,TRUE,"available","available"
"HMPV35Throat","HMP V35 throat",1,"balanced","SACAT","Lautropia",0.016030807405364,0.016030807405364,TRUE,"available","available"
"HMPV35Throat","HMP V35 throat",1,"balanced","SACAT","Leptotrichia",1,1,TRUE,"available","available"
"HMPV35Throat","HMP V35 throat",1,"balanced","SACAT","Megasphaera",1,1,TRUE,"available","available"
"HMPV35Throat","HMP V35 throat",1,"balanced","SACAT","Mogibacterium",0.813889197072432,0.813889197072432,TRUE,"available","available"
