"dataset","dataset_label","replicate","scenario","n_H","n_Case","median_depth_H","median_depth_Case","depth_ratio_Case_to_H","minimum_depth","maximum_depth","group_seed","count_seed"
"JieZ_2017","Jie 2017",1,"balanced",100,100,3816,3632,0.951781970649895,1088,19648,8901131,9001231
"JieZ_2017","Jie 2017",1,"fourfold",100,100,1629,6448,3.95825659914058,365,16362,8901131,9101234
"JieZ_2017","Jie 2017",2,"balanced",100,100,3891,4018,1.03263942431252,691,14306,8902140,9002240
"JieZ_2017","Jie 2017",2,"fourfold",100,100,1514.5,6045.5,3.99174645097392,495,30000,8902140,9102243
"JieZ_2017","Jie 2017",3,"balanced",100,100,3746,3797.5,1.01374799786439,886,11183,8903149,9003249
"JieZ_2017","Jie 2017",3,"fourfold",100,100,1383,6351,4.59219088937093,544,20983,8903149,9103252
"JieZ_2017","Jie 2017",4,"balanced",100,100,3789.5,3930.5,1.03720807494392,1316,14800,8904158,9004258
"JieZ_2017","Jie 2017",4,"fourfold",100,100,1387.5,6187.5,4.45945945945946,493,21116,8904158,9104261
"JieZ_2017","Jie 2017",5,"balanced",100,100,3970,3788,0.954156171284635,1000,14723,8905167,9005267
"JieZ_2017","Jie 2017",5,"fourfold",100,100,1596,6115,3.83145363408521,421,19449,8905167,9105270
"JieZ_2017","Jie 2017",6,"balanced",100,100,4166.5,3962.5,0.951038041521661,1083,12860,8906176,9006276
"JieZ_2017","Jie 2017",6,"fourfold",100,100,1720.5,5820,3.38273757628596,484,14104,8906176,9106279
"JieZ_2017","Jie 2017",7,"balanced",100,100,4329,4097.5,0.946523446523447,1203,12825,8907185,9007285
"JieZ_2017","Jie 2017",7,"fourfold",100,100,1622.5,6256.5,3.85608628659476,505,17472,8907185,9107288
"JieZ_2017","Jie 2017",8,"balanced",100,100,3987,3765.5,0.944444444444444,1269,12769,8908194,9008294
"JieZ_2017","Jie 2017",8,"fourfold",100,100,1393,6401.5,4.59547738693467,492,23324,8908194,9108297
"JieZ_2017","Jie 2017",9,"balanced",100,100,4104,4149,1.0109649122807,1001,11329,8909203,9009303
"JieZ_2017","Jie 2017",9,"fourfold",100,100,1493,5868.5,3.93067649028801,409,20782,8909203,9109306
"JieZ_2017","Jie 2017",10,"balanced",100,100,4012,3993,0.995264207377866,1462,11824,8910212,9010312
"JieZ_2017","Jie 2017",10,"fourfold",100,100,1546.5,6567.5,4.24668606530876,561,16271,8910212,9110315
"JieZ_2017","Jie 2017",11,"balanced",100,100,4511,4012,0.889381511859898,1127,20827,8911221,9011321
"JieZ_2017","Jie 2017",11,"fourfold",100,100,1516.5,6360.5,4.19419716452357,462,15239,8911221,9111324
"JieZ_2017","Jie 2017",12,"balanced",100,100,4636,4269.5,0.920944779982744,1002,11875,8912230,9012330
"JieZ_2017","Jie 2017",12,"fourfold",100,100,1462.5,6448,4.40888888888889,494,16076,8912230,9112333
"JieZ_2017","Jie 2017",13,"balanced",100,100,4156.5,3571,0.859136292553831,1344,17467,8913239,9013339
"JieZ_2017","Jie 2017",13,"fourfold",100,100,1425,5679.5,3.98561403508772,494,16191,8913239,9113342
"JieZ_2017","Jie 2017",14,"balanced",100,100,4023.5,3758,0.934012675531254,1370,16218,8914248,9014348
"JieZ_2017","Jie 2017",14,"fourfold",100,100,1498.5,5887,3.9285952619286,460,22383,8914248,9114351
"JieZ_2017","Jie 2017",15,"balanced",100,100,3836.5,4229,1.10230679004301,1243,14426,8915257,9015357
"JieZ_2017","Jie 2017",15,"fourfold",100,100,1479,5931.5,4.0104800540906,430,25563,8915257,9115360
"JieZ_2017","Jie 2017",16,"balanced",100,100,3899.5,4155.5,1.06564944223618,1178,12199,8916266,9016366
"JieZ_2017","Jie 2017",16,"fourfold",100,100,1675.5,6145,3.66756192181438,370,16901,8916266,9116369
"JieZ_2017","Jie 2017",17,"balanced",100,100,4018,3939.5,0.980462916874067,1282,12750,8917275,9017375
"JieZ_2017","Jie 2017",17,"fourfold",100,100,1521.5,5818,3.82385803483405,430,15901,8917275,9117378
"JieZ_2017","Jie 2017",18,"balanced",100,100,4228,3999,0.945837275307474,1153,13709,8918284,9018384
"JieZ_2017","Jie 2017",18,"fourfold",100,100,1569.5,6643,4.23255813953488,498,27085,8918284,9118387
"JieZ_2017","Jie 2017",19,"balanced",100,100,3798,3900,1.02685624012638,1370,13310,8919293,9019393
"JieZ_2017","Jie 2017",19,"fourfold",100,100,1473,6044.5,4.10353021045485,462,17344,8919293,9119396
"JieZ_2017","Jie 2017",20,"balanced",100,100,4526.5,3943,0.8710924555396,1276,14079,8920302,9020402
"JieZ_2017","Jie 2017",20,"fourfold",100,100,1564.5,6164,3.93991690635986,644,20345,8920302,9120405
"JieZ_2017","Jie 2017",21,"balanced",100,100,4226,3607.5,0.853644107903455,1225,15840,8921311,9021411
"JieZ_2017","Jie 2017",21,"fourfold",100,100,1449,5627.5,3.88371290545204,443,18276,8921311,9121414
"JieZ_2017","Jie 2017",22,"balanced",100,100,4161,3801,0.913482335976929,1260,13010,8922320,9022420
"JieZ_2017","Jie 2017",22,"fourfold",100,100,1510.5,6314,4.18007282356835,432,14837,8922320,9122423
"JieZ_2017","Jie 2017",23,"balanced",100,100,4068,3911,0.961406096361849,882,11685,8923329,9023429
"JieZ_2017","Jie 2017",23,"fourfold",100,100,1482,6012.5,4.05701754385965,627,14020,8923329,9123432
"JieZ_2017","Jie 2017",24,"balanced",100,100,3747,3745.5,0.999599679743795,1069,14668,8924338,9024438
"JieZ_2017","Jie 2017",24,"fourfold",100,100,1641.5,6926.5,4.21961620469083,481,17669,8924338,9124441
"JieZ_2017","Jie 2017",25,"balanced",100,100,3572.5,3513.5,0.983484954513646,1381,16604,8925347,9025447
"JieZ_2017","Jie 2017",25,"fourfold",100,100,1413,6030.5,4.26786978060863,467,14719,8925347,9125450
"JieZ_2017","Jie 2017",26,"balanced",100,100,3953,4141,1.04755881608905,1212,16873,8926356,9026456
"JieZ_2017","Jie 2017",26,"fourfold",100,100,1594.5,5477,3.43493258074632,408,21882,8926356,9126459
"JieZ_2017","Jie 2017",27,"balanced",100,100,3934.5,3989,1.01385182361164,1388,16748,8927365,9027465
"JieZ_2017","Jie 2017",27,"fourfold",100,100,1537.5,6664,4.33430894308943,541,19098,8927365,9127468
"JieZ_2017","Jie 2017",28,"balanced",100,100,4159.5,4334,1.04195215771126,848,14827,8928374,9028474
"JieZ_2017","Jie 2017",28,"fourfold",100,100,1606.5,5767,3.58979147214441,553,23823,8928374,9128477
"JieZ_2017","Jie 2017",29,"balanced",100,100,4418,4343,0.983023992756904,1008,12410,8929383,9029483
"JieZ_2017","Jie 2017",29,"fourfold",100,100,1592.5,5587,3.50832025117739,432,19938,8929383,9129486
"JieZ_2017","Jie 2017",30,"balanced",100,100,4037.5,4121,1.02068111455108,1243,11482,8930392,9030492
"JieZ_2017","Jie 2017",30,"fourfold",100,100,1543,5883,3.81270252754375,479,15662,8930392,9130495
"JieZ_2017","Jie 2017",31,"balanced",100,100,4034.5,4318,1.07026893047466,1227,14588,8931401,9031501
"JieZ_2017","Jie 2017",31,"fourfold",100,100,1547.5,5758.5,3.72116316639742,462,15496,8931401,9131504
"JieZ_2017","Jie 2017",32,"balanced",100,100,4019.5,4514,1.123025251897,1391,14641,8932410,9032510
"JieZ_2017","Jie 2017",32,"fourfold",100,100,1561,5704,3.65406790518898,578,22217,8932410,9132513
"JieZ_2017","Jie 2017",33,"balanced",100,100,3932.5,3797.5,0.96567069294342,1233,12458,8933419,9033519
"JieZ_2017","Jie 2017",33,"fourfold",100,100,1596.5,5783.5,3.62261196367053,353,19910,8933419,9133522
"JieZ_2017","Jie 2017",34,"balanced",100,100,4069,3997.5,0.982428115015974,1613,23071,8934428,9034528
"JieZ_2017","Jie 2017",34,"fourfold",100,100,1485.5,5419.5,3.64826657691013,555,16197,8934428,9134531
"JieZ_2017","Jie 2017",35,"balanced",100,100,4277.5,3920.5,0.916540035067212,1006,14363,8935437,9035537
"JieZ_2017","Jie 2017",35,"fourfold",100,100,1493.5,5153.5,3.45061935051892,501,16112,8935437,9135540
"JieZ_2017","Jie 2017",36,"balanced",100,100,4077.5,3981.5,0.976456161863887,1709,13570,8936446,9036546
"JieZ_2017","Jie 2017",36,"fourfold",100,100,1446.5,6419,4.43760801935707,500,23749,8936446,9136549
"JieZ_2017","Jie 2017",37,"balanced",100,100,3703.5,4264.5,1.15147833130822,707,12640,8937455,9037555
"JieZ_2017","Jie 2017",37,"fourfold",100,100,1403,5998,4.27512473271561,475,17568,8937455,9137558
"JieZ_2017","Jie 2017",38,"balanced",100,100,4124.5,4145.5,1.00509152624561,1119,12246,8938464,9038564
"JieZ_2017","Jie 2017",38,"fourfold",100,100,1470.5,5637.5,3.83373002380143,523,14206,8938464,9138567
"JieZ_2017","Jie 2017",39,"balanced",100,100,4229.5,4259.5,1.00709303700201,1482,15380,8939473,9039573
"JieZ_2017","Jie 2017",39,"fourfold",100,100,1565.5,5488.5,3.50590865538167,317,21027,8939473,9139576
"JieZ_2017","Jie 2017",40,"balanced",100,100,4320.5,4128.5,0.955560698993172,1290,13132,8940482,9040582
"JieZ_2017","Jie 2017",40,"fourfold",100,100,1519.5,5805,3.82033563672261,495,12714,8940482,9140585
"JieZ_2017","Jie 2017",41,"balanced",100,100,4142,3983.5,0.961733462095606,1440,16036,8941491,9041591
"JieZ_2017","Jie 2017",41,"fourfold",100,100,1423.5,5906.5,4.14927994380049,610,13346,8941491,9141594
"JieZ_2017","Jie 2017",42,"balanced",100,100,3783,4104.5,1.08498546127412,1229,13216,8942500,9042600
"JieZ_2017","Jie 2017",42,"fourfold",100,100,1423,6321.5,4.44237526352776,504,16385,8942500,9142603
"JieZ_2017","Jie 2017",43,"balanced",100,100,4282,4125.5,0.96345165810369,1135,17718,8943509,9043609
"JieZ_2017","Jie 2017",43,"fourfold",100,100,1491,6816,4.57142857142857,488,20558,8943509,9143612
"JieZ_2017","Jie 2017",44,"balanced",100,100,3837.5,4098.5,1.06801302931596,1236,13216,8944518,9044618
