"dataset","dataset_label","replicate","scenario","method","taxon","p_value","native_p_value","available","status","reason"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Alistipes",0.520821147037157,0.520821147037157,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Anaerostipes",0.0331136551328545,0.0331136551328545,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Bacteroides",1,1,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Bifidobacterium",0.897207605552185,0.897207605552185,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Blautia",0.0212663725922754,0.0212663725922754,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Collinsella",0.665140221721028,0.665140221721028,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Coprococcus",1,1,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Dialister",0.991936783844478,0.991936783844478,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Dorea",0.487939373385426,0.487939373385426,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Escherichia",1,1,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Eubacterium",0.321927877389092,0.321927877389092,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Faecalibacterium",0.131060240514242,0.131060240514242,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Firmicutes_unclassified",0.327065000763235,0.327065000763235,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Flavonifractor",1,1,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Fusicatenibacter",0.999356485336172,0.999356485336172,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Fusobacterium",0.743611056440738,0.743611056440738,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Klebsiella",0.645364691593227,0.645364691593227,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Lachnospira",1,1,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Lachnospiraceae_unclassified",0.842094143908089,0.842094143908089,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Mediterraneibacter",0.579367342974156,0.579367342974156,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Megamonas",0.839976763926952,0.839976763926952,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Parabacteroides",0.260964742069722,0.260964742069722,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Phascolarctobacterium",1,1,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Phocaeicola",0.530380733662168,0.530380733662168,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Prevotella",0.372523211097259,0.372523211097259,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Roseburia",0.239897263561862,0.239897263561862,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Ruminococcus",0.0625511196399913,0.0625511196399913,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Ruthenibacterium",0.0666913547019494,0.0666913547019494,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Streptococcus",1,1,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","DASRA","Veillonella",1,1,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","ZINQ","Alistipes",0.667704368822266,0.667704368822266,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","ZINQ","Anaerostipes",0.114496421111803,0.114496421111803,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","ZINQ","Bacteroides",0.997711066772663,0.997711066772663,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","ZINQ","Bifidobacterium",0.309390687013212,0.309390687013212,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","ZINQ","Blautia",0.00170110983883021,0.00170110983883021,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","ZINQ","Collinsella",0.7716119603988,0.7716119603988,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","ZINQ","Coprococcus",0.986551509126687,0.986551509126687,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","ZINQ","Dialister",0.849311107247993,0.849311107247993,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","ZINQ","Dorea",0.297034160798164,0.297034160798164,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","ZINQ","Escherichia",0.514294161019642,0.514294161019642,TRUE,"available","available"
"JieZ_2017","Jie 2017",1,"balanced","ZINQ","Eubacterium",0.307443847005136,0.307443847005136,TRUE,"available","available"
