"dataset","dataset_label","replicate","scenario","n_H","n_Case","median_depth_H","median_depth_Case","depth_ratio_Case_to_H","minimum_depth","maximum_depth","group_seed","count_seed"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced",100,100,3846.5,3849,1.00064994150526,1312,13283,13901146,14001246
"LeChatelierE_2013","Le Chatelier 2013",1,"fourfold",100,100,1603.5,6714,4.18709073900842,491,18989,13901146,14101249
"LeChatelierE_2013","Le Chatelier 2013",2,"balanced",100,100,4325,3983.5,0.921040462427746,1533,12483,13902155,14002255
"LeChatelierE_2013","Le Chatelier 2013",2,"fourfold",100,100,1356.5,6399.5,4.71765573166237,395,20191,13902155,14102258
"LeChatelierE_2013","Le Chatelier 2013",3,"balanced",100,100,4317,4216,0.976604123233727,1340,12341,13903164,14003264
"LeChatelierE_2013","Le Chatelier 2013",3,"fourfold",100,100,1470.5,5550.5,3.77456647398844,607,17202,13903164,14103267
"LeChatelierE_2013","Le Chatelier 2013",4,"balanced",100,100,4098,3876,0.945827232796486,1730,10997,13904173,14004273
"LeChatelierE_2013","Le Chatelier 2013",4,"fourfold",100,100,1464.5,5879.5,4.01468077842267,493,27489,13904173,14104276
"LeChatelierE_2013","Le Chatelier 2013",5,"balanced",100,100,4013,4282,1.06703214552704,1535,14664,13905182,14005282
"LeChatelierE_2013","Le Chatelier 2013",5,"fourfold",100,100,1475,5951,4.03457627118644,482,23049,13905182,14105285
"LeChatelierE_2013","Le Chatelier 2013",6,"balanced",100,100,4058,3979.5,0.98065549531789,1127,14257,13906191,14006291
"LeChatelierE_2013","Le Chatelier 2013",6,"fourfold",100,100,1516.5,6730,4.43785031322123,498,19004,13906191,14106294
"LeChatelierE_2013","Le Chatelier 2013",7,"balanced",100,100,4531,3908,0.862502758772898,1332,13688,13907200,14007300
"LeChatelierE_2013","Le Chatelier 2013",7,"fourfold",100,100,1451.5,5593,3.85325525318636,586,17725,13907200,14107303
"LeChatelierE_2013","Le Chatelier 2013",8,"balanced",100,100,3919,3768,0.961469762694565,1049,16943,13908209,14008309
"LeChatelierE_2013","Le Chatelier 2013",8,"fourfold",100,100,1441,6043.5,4.19396252602359,462,20114,13908209,14108312
"LeChatelierE_2013","Le Chatelier 2013",9,"balanced",100,100,4414.5,4136,0.936912447615811,1302,13082,13909218,14009318
"LeChatelierE_2013","Le Chatelier 2013",9,"fourfold",100,100,1494.5,6582,4.40414854466377,499,18540,13909218,14109321
"LeChatelierE_2013","Le Chatelier 2013",10,"balanced",100,100,4288,3634.5,0.847597947761194,1299,12005,13910227,14010327
"LeChatelierE_2013","Le Chatelier 2013",10,"fourfold",100,100,1495.5,6494,4.34236041457706,537,16905,13910227,14110330
"LeChatelierE_2013","Le Chatelier 2013",11,"balanced",100,100,4136,4238.5,1.02478239845261,1588,17444,13911236,14011336
"LeChatelierE_2013","Le Chatelier 2013",11,"fourfold",100,100,1556.5,5676,3.64664310954064,515,24516,13911236,14111339
"LeChatelierE_2013","Le Chatelier 2013",12,"balanced",100,100,4012.5,3733,0.930342679127726,1212,10687,13912245,14012345
"LeChatelierE_2013","Le Chatelier 2013",12,"fourfold",100,100,1473.5,6181,4.19477434679335,481,18234,13912245,14112348
"LeChatelierE_2013","Le Chatelier 2013",13,"balanced",100,100,3822.5,4083.5,1.06827992151733,1229,10117,13913254,14013354
"LeChatelierE_2013","Le Chatelier 2013",13,"fourfold",100,100,1383,6155.5,4.45083152566884,492,20377,13913254,14113357
"LeChatelierE_2013","Le Chatelier 2013",14,"balanced",100,100,3854,4040.5,1.04839128178516,1372,15715,13914263,14014363
"LeChatelierE_2013","Le Chatelier 2013",14,"fourfold",100,100,1456.5,6090,4.18125643666323,529,26777,13914263,14114366
"LeChatelierE_2013","Le Chatelier 2013",15,"balanced",100,100,4600.5,3873.5,0.841973698511031,1476,10893,13915272,14015372
"LeChatelierE_2013","Le Chatelier 2013",15,"fourfold",100,100,1500,6241.5,4.161,459,14751,13915272,14115375
"LeChatelierE_2013","Le Chatelier 2013",16,"balanced",100,100,3884,3985,1.02600411946447,731,11795,13916281,14016381
"LeChatelierE_2013","Le Chatelier 2013",16,"fourfold",100,100,1421,6210.5,4.37051372273047,578,28465,13916281,14116384
"LeChatelierE_2013","Le Chatelier 2013",17,"balanced",100,100,3983.5,4208.5,1.05648299234342,800,15724,13917290,14017390
"LeChatelierE_2013","Le Chatelier 2013",17,"fourfold",100,100,1462.5,6584,4.50188034188034,552,22167,13917290,14117393
"LeChatelierE_2013","Le Chatelier 2013",18,"balanced",100,100,4143.5,3927.5,0.947870158078919,1311,13015,13918299,14018399
"LeChatelierE_2013","Le Chatelier 2013",18,"fourfold",100,100,1561.5,6562,4.20236951649055,312,19098,13918299,14118402
"LeChatelierE_2013","Le Chatelier 2013",19,"balanced",100,100,4353.5,4145.5,0.952222349833467,1618,13520,13919308,14019408
"LeChatelierE_2013","Le Chatelier 2013",19,"fourfold",100,100,1417,5767,4.06986591390261,405,14633,13919308,14119411
"LeChatelierE_2013","Le Chatelier 2013",20,"balanced",100,100,4027.5,3969,0.985474860335195,1336,15933,13920317,14020417
"LeChatelierE_2013","Le Chatelier 2013",20,"fourfold",100,100,1425.5,6172.5,4.33005962820063,455,23613,13920317,14120420
"LeChatelierE_2013","Le Chatelier 2013",21,"balanced",100,100,4018.5,4067.5,1.01219360457882,1179,14793,13921326,14021426
"LeChatelierE_2013","Le Chatelier 2013",21,"fourfold",100,100,1530,6142.5,4.01470588235294,416,21364,13921326,14121429
"LeChatelierE_2013","Le Chatelier 2013",22,"balanced",100,100,4170.5,3711.5,0.889941254046277,1199,12081,13922335,14022435
"LeChatelierE_2013","Le Chatelier 2013",22,"fourfold",100,100,1636.5,5772,3.52703941338222,719,14921,13922335,14122438
"LeChatelierE_2013","Le Chatelier 2013",23,"balanced",100,100,4347,3980.5,0.915688980906372,1166,15189,13923344,14023444
"LeChatelierE_2013","Le Chatelier 2013",23,"fourfold",100,100,1460.5,5875.5,4.02293735022253,439,14795,13923344,14123447
"LeChatelierE_2013","Le Chatelier 2013",24,"balanced",100,100,3913,3829,0.978533094812165,958,9981,13924353,14024453
"LeChatelierE_2013","Le Chatelier 2013",24,"fourfold",100,100,1760.5,5738,3.25930133484805,709,16809,13924353,14124456
"LeChatelierE_2013","Le Chatelier 2013",25,"balanced",100,100,4285,3881.5,0.90583430571762,1066,15504,13925362,14025462
"LeChatelierE_2013","Le Chatelier 2013",25,"fourfold",100,100,1578,5966.5,3.78105196451204,617,15482,13925362,14125465
"LeChatelierE_2013","Le Chatelier 2013",26,"balanced",100,100,3704,4127.5,1.11433585313175,1082,12101,13926371,14026471
"LeChatelierE_2013","Le Chatelier 2013",26,"fourfold",100,100,1569.5,6312,4.02166294998407,565,19084,13926371,14126474
"LeChatelierE_2013","Le Chatelier 2013",27,"balanced",100,100,3767.5,4009,1.06410086264101,1091,14723,13927380,14027480
"LeChatelierE_2013","Le Chatelier 2013",27,"fourfold",100,100,1491,6626.5,4.44433266264252,656,18032,13927380,14127483
"LeChatelierE_2013","Le Chatelier 2013",28,"balanced",100,100,3630,3921.5,1.08030303030303,1233,13550,13928389,14028489
"LeChatelierE_2013","Le Chatelier 2013",28,"fourfold",100,100,1586.5,6073.5,3.82823826032146,545,20136,13928389,14128492
"LeChatelierE_2013","Le Chatelier 2013",29,"balanced",100,100,3905.5,3925,1.00499295864806,1213,16438,13929398,14029498
"LeChatelierE_2013","Le Chatelier 2013",29,"fourfold",100,100,1538.5,6146,3.99480012999675,400,19502,13929398,14129501
"LeChatelierE_2013","Le Chatelier 2013",30,"balanced",100,100,4146.5,4143.5,0.999276498251537,1015,14018,13930407,14030507
"LeChatelierE_2013","Le Chatelier 2013",30,"fourfold",100,100,1517,5713.5,3.76631509558339,585,18568,13930407,14130510
