"dataset","dataset_label","replicate","scenario","taxon","observed_prevalence","prevalence_H","prevalence_Case","positive_samples_H","positive_samples_Case","total_count","dasra_retained","dasra_formed_structural_absence","dasra_regular_structural_absence","dasra_nonregular_structural_absence","dasra_formed_relative_abundance","dasra_formed_omnibus","dasra_both_components_formed","dasra_reason_structural_absence","dasra_reason_relative_abundance","dasra_warning_structural_absence","dasra_warning_relative_abundance"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","Akkermansia",0.61,0.61,0.61,61,61,8992,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","Alistipes",0.955,0.97,0.94,97,94,51157,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","Anaerostipes",0.97,0.97,0.97,97,97,6439,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","Bacteroides",1,1,1,100,100,147732,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"no_observed_zeros","no_observed_zeros_structural_nuisance_boundary","",""
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","Barnesiella",0.815,0.88,0.75,88,75,17451,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","Bifidobacterium",0.875,0.9,0.85,90,85,9938,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","Butyrivibrio",0.365,0.37,0.36,37,36,28751,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","Clostridium",0.855,0.83,0.88,83,88,8814,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","Collinsella",0.9,0.9,0.9,90,90,4600,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","Coprococcus",0.98,0.99,0.97,99,97,19073,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","Dialister",0.395,0.38,0.41,38,41,5222,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","Dorea",0.99,1,0.98,100,98,6126,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"ok","multiple_root_effect_disagreement","",""
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","Escherichia",0.39,0.45,0.33,45,33,3021,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","Eubacterium",0.99,0.99,0.99,99,99,18695,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
