"dataset","dataset_label","replicate","scenario","method","taxon","p_value","native_p_value","available","status","reason"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Akkermansia",1,1,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Alistipes",0.626305081213778,0.626305081213778,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Anaerostipes",0.838743648165403,0.838743648165403,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Bacteroides",0.199372310037769,0.199372310037769,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Barnesiella",0.0404580129545717,0.0404580129545717,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Bifidobacterium",0.624790114679692,0.624790114679692,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Butyrivibrio",1,1,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Clostridium",0.693853082407089,0.693853082407089,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Collinsella",1,1,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Coprococcus",0.725480465272355,0.725480465272355,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Dialister",1,1,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Dorea",0.360572959378809,0.360572959378809,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Escherichia",0.243963738965585,0.243963738965585,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Eubacterium",1,1,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Faecalibacterium",0.624844462621164,0.624844462621164,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Firmicutes_unclassified",0.254733091079055,0.254733091079055,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Fusicatenibacter",0.679626248997125,0.679626248997125,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Lachnospira",0.144297657549597,0.144297657549597,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Lachnospiraceae_unclassified",0.196720990891413,0.196720990891413,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Mediterraneibacter",0.426501489458763,0.426501489458763,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Odoribacter",0.802295025304743,0.802295025304743,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Oscillibacter",0.903251050278206,0.903251050278206,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Parabacteroides",0.802989044507979,0.802989044507979,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Paraprevotella",0.637893768653893,0.637893768653893,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Phascolarctobacterium",1,1,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Phocaeicola",0.0439225643684877,0.0439225643684877,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Prevotella",0.981576900924301,0.981576900924301,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Roseburia",1,1,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Ruminococcaceae_unclassified",1,1,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","DASRA","Ruminococcus",0.841984954773837,0.841984954773837,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","ZINQ","Akkermansia",0.900278852514691,0.900278852514691,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","ZINQ","Alistipes",0.6996705182471,0.6996705182471,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","ZINQ","Anaerostipes",0.728206943802493,0.728206943802493,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","ZINQ","Bacteroides",0.157502754464225,0.157502754464225,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","ZINQ","Barnesiella",0.232133263867882,0.232133263867882,TRUE,"available","available"
"LeChatelierE_2013","Le Chatelier 2013",1,"balanced","ZINQ","Bifidobacterium",0.346721674308793,0.346721674308793,TRUE,"available","available"
