"dataset","dataset_label","replicate","scenario","n_H","n_Case","median_depth_H","median_depth_Case","depth_ratio_Case_to_H","minimum_depth","maximum_depth","group_seed","count_seed"
"LiJ_2014","Li 2014",1,"balanced",100,100,4076,3720.5,0.912782139352306,1475,15235,15901152,16001252
"LiJ_2014","Li 2014",1,"fourfold",100,100,1493,6040,4.04554588077696,511,30000,15901152,16101255
"LiJ_2014","Li 2014",2,"balanced",100,100,4094,4105.5,1.00280898876405,1293,10635,15902161,16002261
"LiJ_2014","Li 2014",2,"fourfold",100,100,1651.5,6418,3.88616409324856,564,22748,15902161,16102264
"LiJ_2014","Li 2014",3,"balanced",100,100,3789,3518,0.928477170757456,1294,10555,15903170,16003270
"LiJ_2014","Li 2014",3,"fourfold",100,100,1435,5917.5,4.12369337979094,303,16009,15903170,16103273
"LiJ_2014","Li 2014",4,"balanced",100,100,3913,3995,1.02095578839765,1220,13276,15904179,16004279
"LiJ_2014","Li 2014",4,"fourfold",100,100,1457.5,6297,4.32041166380789,430,18549,15904179,16104282
"LiJ_2014","Li 2014",5,"balanced",100,100,3766.5,4295.5,1.14044869242002,1268,15094,15905188,16005288
"LiJ_2014","Li 2014",5,"fourfold",100,100,1542.5,6570,4.25931928687196,553,15926,15905188,16105291
"LiJ_2014","Li 2014",6,"balanced",100,100,3724,4170,1.11976369495166,1225,12421,15906197,16006297
"LiJ_2014","Li 2014",6,"fourfold",100,100,1485.5,6094.5,4.10265903736116,578,16888,15906197,16106300
"LiJ_2014","Li 2014",7,"balanced",100,100,3927,4306,1.09651133180545,1208,11987,15907206,16007306
"LiJ_2014","Li 2014",7,"fourfold",100,100,1644.5,6703,4.07601094557616,588,19376,15907206,16107309
"LiJ_2014","Li 2014",8,"balanced",100,100,4066.5,4083,1.00405754334194,1065,17792,15908215,16008315
"LiJ_2014","Li 2014",8,"fourfold",100,100,1587.5,6371.5,4.01354330708661,312,15280,15908215,16108318
"LiJ_2014","Li 2014",9,"balanced",100,100,3853.5,4081.5,1.0591669910471,1076,11286,15909224,16009324
"LiJ_2014","Li 2014",9,"fourfold",100,100,1497,5974,3.99064796259185,457,18514,15909224,16109327
"LiJ_2014","Li 2014",10,"balanced",100,100,3834,4160,1.08502869066249,1192,13182,15910233,16010333
"LiJ_2014","Li 2014",10,"fourfold",100,100,1380.5,6440.5,4.66533864541833,493,19453,15910233,16110336
"LiJ_2014","Li 2014",11,"balanced",100,100,3643,4029.5,1.10609387867142,1160,14085,15911242,16011342
"LiJ_2014","Li 2014",11,"fourfold",100,100,1538,5714,3.71521456436931,418,14776,15911242,16111345
"LiJ_2014","Li 2014",12,"balanced",100,100,3835.5,3930,1.02463824794681,1534,12226,15912251,16012351
"LiJ_2014","Li 2014",12,"fourfold",100,100,1522.5,6087,3.99802955665025,333,16890,15912251,16112354
"LiJ_2014","Li 2014",13,"balanced",100,100,3973.5,3870,0.973952434881087,1373,13027,15913260,16013360
"LiJ_2014","Li 2014",13,"fourfold",100,100,1594.5,5652,3.54468485418627,563,24100,15913260,16113363
"LiJ_2014","Li 2014",14,"balanced",100,100,4155,4109,0.98892900120337,945,10872,15914269,16014369
"LiJ_2014","Li 2014",14,"fourfold",100,100,1481,6174.5,4.16914247130317,590,17416,15914269,16114372
"LiJ_2014","Li 2014",15,"balanced",100,100,3968,4271.5,1.07648689516129,1150,15780,15915278,16015378
"LiJ_2014","Li 2014",15,"fourfold",100,100,1525,6454,4.23213114754098,486,24257,15915278,16115381
"LiJ_2014","Li 2014",16,"balanced",100,100,4177,3919.5,0.938352884845583,806,12401,15916287,16016387
"LiJ_2014","Li 2014",16,"fourfold",100,100,1526,5741,3.76212319790301,371,18518,15916287,16116390
"LiJ_2014","Li 2014",17,"balanced",100,100,4044,4162,1.02917903066271,1456,12087,15917296,16017396
"LiJ_2014","Li 2014",17,"fourfold",100,100,1466.5,5297.5,3.61234231162632,565,13073,15917296,16117399
"LiJ_2014","Li 2014",18,"balanced",100,100,3773.5,3665,0.971246853054194,1089,14070,15918305,16018405
"LiJ_2014","Li 2014",18,"fourfold",100,100,1536.5,5657.5,3.68206963878946,586,12663,15918305,16118408
"LiJ_2014","Li 2014",19,"balanced",100,100,3960.5,3754.5,0.947986365357909,1580,19430,15919314,16019414
"LiJ_2014","Li 2014",19,"fourfold",100,100,1639.5,5391,3.28819762122598,627,20507,15919314,16119417
"LiJ_2014","Li 2014",20,"balanced",100,100,3990,3861,0.967669172932331,1122,13716,15920323,16020423
