"dataset","dataset_label","replicate","scenario","taxon","observed_prevalence","prevalence_H","prevalence_Case","positive_samples_H","positive_samples_Case","total_count","dasra_retained","dasra_formed_structural_absence","dasra_regular_structural_absence","dasra_nonregular_structural_absence","dasra_formed_relative_abundance","dasra_formed_omnibus","dasra_both_components_formed","dasra_reason_structural_absence","dasra_reason_relative_abundance","dasra_warning_structural_absence","dasra_warning_relative_abundance"
"LiJ_2014","Li 2014",1,"balanced","Akkermansia",0.53,0.56,0.5,56,50,19650,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Alistipes",0.96,0.96,0.96,96,96,40752,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Anaerobutyricum",0.88,0.88,0.88,88,88,5691,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Anaerostipes",0.94,0.93,0.95,93,95,9391,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Bacteroides",1,1,1,100,100,151215,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"no_observed_zeros","no_observed_zeros_structural_nuisance_boundary","",""
"LiJ_2014","Li 2014",1,"balanced","Barnesiella",0.735,0.72,0.75,72,75,10152,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Bifidobacterium",0.885,0.89,0.88,89,88,20345,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Blautia",0.985,0.99,0.98,99,98,10347,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","","expanded_numerical_bounds;ill_conditioned_jacobian;equilibrated_jacobian_extension;weakly_identified_root_plateau;multiple_numerical_roots;weak_identification"
"LiJ_2014","Li 2014",1,"balanced","Butyrivibrio",0.29,0.27,0.31,27,31,23060,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Clostridium",0.83,0.86,0.8,86,80,8806,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Collinsella",0.84,0.88,0.8,88,80,8671,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Coprococcus",0.86,0.87,0.85,87,85,10974,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Dorea",0.945,0.94,0.95,94,95,9896,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Escherichia",0.66,0.68,0.64,68,64,13587,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Eubacterium",0.92,0.89,0.95,89,95,19047,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Faecalibacterium",0.895,0.89,0.9,89,90,44448,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Firmicutes_unclassified",0.86,0.85,0.87,85,87,12534,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Fusicatenibacter",0.85,0.81,0.89,81,89,8264,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Lachnospira",0.845,0.85,0.84,85,84,20947,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Lachnospiraceae_unclassified",0.82,0.8,0.84,80,84,23808,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Mediterraneibacter",0.955,0.96,0.95,96,95,10879,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Odoribacter",0.845,0.83,0.86,83,86,6988,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Oscillibacter",0.715,0.7,0.73,70,73,7497,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Parabacteroides",0.955,0.96,0.95,96,95,27192,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Phascolarctobacterium",0.635,0.63,0.64,63,64,8160,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Phocaeicola",0.97,0.99,0.95,99,95,109579,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Prevotella",0.655,0.7,0.61,70,61,72950,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Roseburia",0.945,0.96,0.93,96,93,41856,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Ruminococcaceae_unclassified",0.745,0.72,0.77,72,77,9621,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"balanced","Ruminococcus",0.815,0.79,0.84,79,84,28353,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"fourfold","Akkermansia",0.495,0.48,0.51,48,51,15567,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"fourfold","Alistipes",0.93,0.9,0.96,90,96,40115,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"LiJ_2014","Li 2014",1,"fourfold","Anaerobutyricum",0.865,0.84,0.89,84,89,5274,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
