"dataset","dataset_label","replicate","scenario","method","taxon","p_value","native_p_value","available","status","reason"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Akkermansia",1,1,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Alistipes",0.547881555843627,0.547881555843627,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Anaerobutyricum",0.65801290256065,0.65801290256065,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Anaerostipes",0.948447570445817,0.948447570445817,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Bacteroides",1,1,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Barnesiella",1,1,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Bifidobacterium",1,1,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Blautia",0.345362380816611,0.345362380816611,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Butyrivibrio",1,1,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Clostridium",0.632870705887526,0.632870705887526,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Collinsella",0.021439660178131,0.021439660178131,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Coprococcus",0.269836716728708,0.269836716728708,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Dorea",0.439971677215049,0.439971677215049,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Escherichia",0.260161911874947,0.260161911874947,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Eubacterium",0.27857252400036,0.27857252400036,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Faecalibacterium",0.269694235191865,0.269694235191865,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Firmicutes_unclassified",0.192822630272161,0.192822630272161,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Fusicatenibacter",0.231601886097054,0.231601886097054,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Lachnospira",0.131995151280491,0.131995151280491,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Lachnospiraceae_unclassified",0.83601522071778,0.83601522071778,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Mediterraneibacter",0.352605490586708,0.352605490586708,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Odoribacter",1,1,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Oscillibacter",0.154878418204687,0.154878418204687,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Parabacteroides",0.771033394606126,0.771033394606126,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Phascolarctobacterium",1,1,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Phocaeicola",0.0530592712193186,0.0530592712193186,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Prevotella",0.582147765451027,0.582147765451027,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Roseburia",0.426040887567874,0.426040887567874,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Ruminococcaceae_unclassified",0.685954314230277,0.685954314230277,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","DASRA","Ruminococcus",0.721800250511618,0.721800250511618,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Akkermansia",0.463347700582171,0.463347700582171,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Alistipes",0.684158480124989,0.684158480124989,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Anaerobutyricum",0.175850633570506,0.175850633570506,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Anaerostipes",0.335010484409424,0.335010484409424,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Bacteroides",0.813932251332669,0.813932251332669,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Barnesiella",0.67424189715101,0.67424189715101,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Bifidobacterium",0.400992182603302,0.400992182603302,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Blautia",0.819558056898843,0.819558056898843,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Butyrivibrio",0.5571269107574,0.5571269107574,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Clostridium",0.593724464587496,0.593724464587496,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Collinsella",0.00471037341225011,0.00471037341225011,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Coprococcus",0.521437301207788,0.521437301207788,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Dorea",0.107523514197091,0.107523514197091,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Escherichia",0.0671324475330088,0.0671324475330088,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Eubacterium",0.33062058476635,0.33062058476635,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Faecalibacterium",0.164774436607469,0.164774436607469,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Firmicutes_unclassified",0.479397104002872,0.479397104002872,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Fusicatenibacter",0.107129336489074,0.107129336489074,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Lachnospira",0.260760364353567,0.260760364353567,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Lachnospiraceae_unclassified",0.660997045787146,0.660997045787146,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Mediterraneibacter",0.905610813267329,0.905610813267329,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Odoribacter",0.733261063021344,0.733261063021344,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Oscillibacter",0.0158662725748242,0.0158662725748242,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Parabacteroides",0.306045512188779,0.306045512188779,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Phascolarctobacterium",0.839808314866341,0.839808314866341,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Phocaeicola",0.18800710022104,0.18800710022104,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Prevotella",0.599455624602663,0.599455624602663,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Roseburia",0.154411722534349,0.154411722534349,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Ruminococcaceae_unclassified",0.388299833163457,0.388299833163457,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","ZINQ","Ruminococcus",0.220577387922577,0.220577387922577,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","MaAsLin3","Akkermansia",0.623102211332489,0.623102211332489,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","MaAsLin3","Alistipes",0.348477298776142,0.348477298776142,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","MaAsLin3","Anaerobutyricum",0.440347429248989,0.440347429248989,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","MaAsLin3","Anaerostipes",0.674363611647352,0.674363611647352,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","MaAsLin3","Bacteroides",1,0.826827900541458,FALSE,"unavailable","both component models and a consistent joint p-value were required"
"LiJ_2014","Li 2014",1,"balanced","MaAsLin3","Barnesiella",0.737493190629293,0.737493190629293,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","MaAsLin3","Bifidobacterium",0.963940027987055,0.963940027987055,TRUE,"available","available"
"LiJ_2014","Li 2014",1,"balanced","MaAsLin3","Blautia",0.185874247473775,0.185874247473775,TRUE,"available","available"
