"dataset","dataset_label","replicate","scenario","n_H","n_Case","median_depth_H","median_depth_Case","depth_ratio_Case_to_H","minimum_depth","maximum_depth","group_seed","count_seed"
"MehtaRS_2018","Mehta 2018",1,"balanced",100,100,4069.5,4103.5,1.00835483474628,1104,15065,12901143,13001243
"MehtaRS_2018","Mehta 2018",1,"fourfold",100,100,1457,6771,4.64722031571723,498,26765,12901143,13101246
"MehtaRS_2018","Mehta 2018",2,"balanced",100,100,4171.5,4235,1.01522234208318,1435,16963,12902152,13002252
"MehtaRS_2018","Mehta 2018",2,"fourfold",100,100,1469,6160,4.19332879509871,444,21789,12902152,13102255
"MehtaRS_2018","Mehta 2018",3,"balanced",100,100,4009.5,4170,1.04002992891882,1132,15961,12903161,13003261
"MehtaRS_2018","Mehta 2018",3,"fourfold",100,100,1522.5,5889,3.8679802955665,407,22905,12903161,13103264
"MehtaRS_2018","Mehta 2018",4,"balanced",100,100,3907,3624,0.92756590734579,1141,13835,12904170,13004270
"MehtaRS_2018","Mehta 2018",4,"fourfold",100,100,1515.5,5960.5,3.93302540415704,336,17799,12904170,13104273
"MehtaRS_2018","Mehta 2018",5,"balanced",100,100,3896.5,3825,0.981650198896446,1507,13761,12905179,13005279
"MehtaRS_2018","Mehta 2018",5,"fourfold",100,100,1571,5713.5,3.6368555060471,544,19110,12905179,13105282
"MehtaRS_2018","Mehta 2018",6,"balanced",100,100,4184.5,4361.5,1.04229896044928,1197,19510,12906188,13006288
"MehtaRS_2018","Mehta 2018",6,"fourfold",100,100,1450.5,5427.5,3.74181316787315,640,17440,12906188,13106291
"MehtaRS_2018","Mehta 2018",7,"balanced",100,100,4138,3746.5,0.905389076848719,1281,12557,12907197,13007297
"MehtaRS_2018","Mehta 2018",7,"fourfold",100,100,1388,6267.5,4.51548991354467,636,26485,12907197,13107300
"MehtaRS_2018","Mehta 2018",8,"balanced",100,100,3851.5,4158,1.07957938465533,1393,14663,12908206,13008306
"MehtaRS_2018","Mehta 2018",8,"fourfold",100,100,1544,6188,4.00777202072539,517,15217,12908206,13108309
"MehtaRS_2018","Mehta 2018",9,"balanced",100,100,4295,4125,0.960419091967404,1506,16455,12909215,13009315
"MehtaRS_2018","Mehta 2018",9,"fourfold",100,100,1559,6029,3.86722257857601,570,16773,12909215,13109318
"MehtaRS_2018","Mehta 2018",10,"balanced",100,100,4012,3897.5,0.971460618145563,1231,11731,12910224,13010324
