"dataset","dataset_label","replicate","scenario","taxon","observed_prevalence","prevalence_H","prevalence_Case","positive_samples_H","positive_samples_Case","total_count","sacat_retained","sacat_formed_structural_absence","sacat_regular_structural_absence","sacat_nonregular_structural_absence","sacat_formed_relative_abundance","sacat_formed_omnibus","sacat_both_components_formed","sacat_reason_structural_absence","sacat_reason_relative_abundance","sacat_warning_structural_absence","sacat_warning_relative_abundance"
"MehtaRS_2018","Mehta 2018",1,"balanced","Akkermansia",0.58,0.57,0.59,57,59,17221,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Alistipes",0.945,0.98,0.91,98,91,54857,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Anaerobutyricum",0.91,0.91,0.91,91,91,5679,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Anaerostipes",0.945,0.93,0.96,93,96,11297,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Bacteroides",1,1,1,100,100,171157,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Barnesiella",0.495,0.48,0.51,48,51,7717,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Bifidobacterium",0.67,0.68,0.66,68,66,16645,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Blautia",0.945,0.95,0.94,95,94,12418,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Butyrivibrio",0.185,0.12,0.25,12,25,8734,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Clostridium",0.89,0.9,0.88,90,88,7740,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Collinsella",0.87,0.86,0.88,86,88,12882,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Coprococcus",0.815,0.83,0.8,83,80,11642,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Dorea",0.965,0.96,0.97,96,97,12936,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Escherichia",0.295,0.23,0.36,23,36,6695,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Eubacterium",0.93,0.92,0.94,92,94,13657,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Faecalibacterium",0.97,0.96,0.98,96,98,61150,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Firmicutes_unclassified",0.925,0.94,0.91,94,91,12606,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Fusicatenibacter",0.93,0.91,0.95,91,95,22062,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Lachnospira",0.885,0.91,0.86,91,86,28208,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Lachnospiraceae_unclassified",0.92,0.93,0.91,93,91,39640,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Mediterraneibacter",0.935,0.94,0.93,94,93,13472,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Odoribacter",0.785,0.77,0.8,77,80,5960,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Oscillibacter",0.755,0.79,0.72,79,72,10880,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Parabacteroides",0.955,0.94,0.97,94,97,26612,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"MehtaRS_2018","Mehta 2018",1,"balanced","Phocaeicola",0.975,0.95,1,95,100,100466,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
