"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_bh_rejections","familywise_type_i_error"
"MehtaRS_2018","Mehta 2018",1,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",1,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",1,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",1,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",1,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",1,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",2,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",2,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",2,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",2,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",2,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",2,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",3,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",3,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",3,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",3,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",3,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",3,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",4,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",4,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",4,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",4,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",4,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",4,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",5,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",5,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",5,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",5,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",5,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",5,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",6,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",6,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",6,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",6,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",6,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",6,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",7,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",7,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",7,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",7,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",7,"fourfold","ZINQ",30,30,1,1,1
"MehtaRS_2018","Mehta 2018",7,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",8,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",8,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",8,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",8,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",8,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",8,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",9,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",9,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",9,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",9,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",9,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",9,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",10,"balanced","SACAT",30,30,1,1,1
"MehtaRS_2018","Mehta 2018",10,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",10,"balanced","MaAsLin3",30,29,0.966666666666667,1,1
"MehtaRS_2018","Mehta 2018",10,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",10,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",10,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",11,"balanced","SACAT",30,30,1,0,0
