"dataset","dataset_label","replicate","scenario","method","taxon","p_value","native_p_value","available","status","reason"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Akkermansia",0.719105563342547,0.719105563342547,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Alistipes",0.0601693957205598,0.0601693957205598,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Anaerobutyricum",1,1,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Anaerostipes",0.65602106728211,0.65602106728211,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Bacteroides",1,1,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Barnesiella",1,1,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Bifidobacterium",1,1,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Blautia",1,1,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Butyrivibrio",0.0356518947946371,0.0356518947946371,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Clostridium",1,1,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Collinsella",1,1,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Coprococcus",0.116158309458882,0.116158309458882,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Dorea",1,1,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Escherichia",0.291711883687575,0.291711883687575,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Eubacterium",0.536633837095139,0.536633837095139,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Faecalibacterium",0.814179414835274,0.814179414835274,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Firmicutes_unclassified",0.756439369820281,0.756439369820281,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Fusicatenibacter",0.539115448448477,0.539115448448477,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Lachnospira",0.533008078804607,0.533008078804607,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Lachnospiraceae_unclassified",1,1,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Mediterraneibacter",0.162154666197554,0.162154666197554,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Odoribacter",0.200897342008409,0.200897342008409,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Oscillibacter",0.500138999381445,0.500138999381445,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Parabacteroides",0.611880286295707,0.611880286295707,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Phocaeicola",0.0470800910114047,0.0470800910114047,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Prevotella",1,1,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Roseburia",0.284505030523969,0.284505030523969,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Ruminococcaceae_unclassified",1,1,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Ruminococcus",1,1,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","DASRA","Streptococcus",0.456575888808789,0.456575888808789,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","ZINQ","Akkermansia",0.758918598559679,0.758918598559679,TRUE,"available","available"
"MehtaRS_2018","Mehta 2018",1,"balanced","ZINQ","Alistipes",0.189739899399202,0.189739899399202,TRUE,"available","available"
