"dataset","dataset_label","replicate","scenario","taxon","observed_prevalence","prevalence_H","prevalence_Case","positive_samples_H","positive_samples_Case","total_count","dasra_retained","dasra_formed_structural_absence","dasra_regular_structural_absence","dasra_nonregular_structural_absence","dasra_formed_relative_abundance","dasra_formed_omnibus","dasra_both_components_formed","dasra_reason_structural_absence","dasra_reason_relative_abundance","dasra_warning_structural_absence","dasra_warning_relative_abundance"
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Actinobacillus",0.565,0.57,0.56,57,56,3304,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Actinomyces",0.975,0.98,0.97,98,97,31344,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Aggregatibacter",0.645,0.67,0.62,67,62,4239,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Alloprevotella",0.945,0.96,0.93,96,93,19275,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Atopobium",0.935,0.92,0.95,92,95,5514,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Bergeyella",0.87,0.87,0.87,87,87,4050,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Campylobacter",0.96,0.96,0.96,96,96,4047,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Capnocytophaga",0.85,0.85,0.85,85,85,2285,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Corynebacterium",0.885,0.89,0.88,89,88,3386,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Fusobacterium",0.965,0.98,0.95,98,95,19166,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Gemella",0.975,0.98,0.97,98,97,42585,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Granulicatella",0.975,0.98,0.97,98,97,26115,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Haemophilus",0.965,0.96,0.97,96,97,45102,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Lactobacillus",0.425,0.44,0.41,44,41,2522,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Leptotrichia",0.95,0.96,0.94,96,94,13629,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Megasphaera",0.885,0.88,0.89,88,89,4298,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Neisseria",0.89,0.89,0.89,89,89,23327,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Oribacterium",0.915,0.92,0.91,92,91,2296,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Parvimonas",0.86,0.9,0.82,90,82,3437,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Peptostreptococcus",0.78,0.75,0.81,75,81,2750,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Porphyromonas",0.93,0.96,0.9,96,90,15520,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Prevotella",0.965,0.97,0.96,97,96,20685,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Prevotella_2",0.835,0.85,0.82,85,82,4922,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Prevotella_6",0.865,0.9,0.83,90,83,5090,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Prevotella_7",0.975,0.98,0.97,98,97,76562,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Rothia",0.97,0.98,0.96,98,96,91035,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Solobacterium",0.88,0.88,0.88,88,88,2886,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Streptococcus",0.985,1,0.97,100,97,271310,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Treponema_2",0.68,0.63,0.73,63,73,2888,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","Veillonella",0.975,0.99,0.96,99,96,52031,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"fourfold","Actinobacillus",0.545,0.51,0.58,51,58,2255,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"fourfold","Actinomyces",0.975,0.98,0.97,98,97,24857,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"fourfold","Aggregatibacter",0.625,0.62,0.63,62,63,3676,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"fourfold","Alloprevotella",0.93,0.94,0.92,94,92,18548,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"fourfold","Atopobium",0.9,0.85,0.95,85,95,5145,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
