"dataset","dataset_label","replicate","scenario","method","taxon","p_value","native_p_value","available","status","reason"
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","DASRA","Actinobacillus",0.0834546251744621,0.0834546251744621,TRUE,"available","available"
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","DASRA","Actinomyces",1,1,TRUE,"available","available"
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","DASRA","Aggregatibacter",0.918177952672517,0.918177952672517,TRUE,"available","available"
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","DASRA","Alloprevotella",0.701378485752961,0.701378485752961,TRUE,"available","available"
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","DASRA","Atopobium",1,1,TRUE,"available","available"
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","DASRA","Bergeyella",0.138605308363846,0.138605308363846,TRUE,"available","available"
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","DASRA","Campylobacter",0.421941087349346,0.421941087349346,TRUE,"available","available"
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","DASRA","Capnocytophaga",1,1,TRUE,"available","available"
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","DASRA","Corynebacterium",0.310121892178211,0.310121892178211,TRUE,"available","available"
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","DASRA","Fusobacterium",0.487706810084445,0.487706810084445,TRUE,"available","available"
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","DASRA","Gemella",1,1,TRUE,"available","available"
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","DASRA","Granulicatella",1,1,TRUE,"available","available"
"NHANESOral_2009_2010","NHANES Oral 2009-2010",1,"balanced","DASRA","Haemophilus",0.317991246677442,0.317991246677442,TRUE,"available","available"
