"dataset","dataset_label","replicate","scenario","n_H","n_Case","median_depth_H","median_depth_Case","depth_ratio_Case_to_H","minimum_depth","maximum_depth","group_seed","count_seed"
"NHANESOral_2011_2012","NHANES Oral 2011-2012",1,"balanced",100,100,3918.5,4183,1.06750031899962,1053,14352,56901275,57001375
"NHANESOral_2011_2012","NHANES Oral 2011-2012",1,"fourfold",100,100,1531.5,6166.5,4.02644466209598,417,15247,56901275,57101378
"NHANESOral_2011_2012","NHANES Oral 2011-2012",2,"balanced",100,100,4292.5,3987,0.928829353523588,1068,13567,56902284,57002384
"NHANESOral_2011_2012","NHANES Oral 2011-2012",2,"fourfold",100,100,1574.5,5969.5,3.79136233724992,568,16107,56902284,57102387
"NHANESOral_2011_2012","NHANES Oral 2011-2012",3,"balanced",100,100,4060,4035.5,0.993965517241379,1268,20135,56903293,57003393
"NHANESOral_2011_2012","NHANES Oral 2011-2012",3,"fourfold",100,100,1486,6747,4.54037685060565,548,20990,56903293,57103396
"NHANESOral_2011_2012","NHANES Oral 2011-2012",4,"balanced",100,100,4175,4095.5,0.980958083832335,1084,12857,56904302,57004402
"NHANESOral_2011_2012","NHANES Oral 2011-2012",4,"fourfold",100,100,1529,5810.5,3.80019620667103,464,12664,56904302,57104405
"NHANESOral_2011_2012","NHANES Oral 2011-2012",5,"balanced",100,100,3748.5,3749.5,1.00026677337602,1303,17405,56905311,57005411
"NHANESOral_2011_2012","NHANES Oral 2011-2012",5,"fourfold",100,100,1677.5,5751,3.42831594634873,622,13823,56905311,57105414
"NHANESOral_2011_2012","NHANES Oral 2011-2012",6,"balanced",100,100,3938.5,4238,1.07604417925606,993,12737,56906320,57006420
"NHANESOral_2011_2012","NHANES Oral 2011-2012",6,"fourfold",100,100,1448,5955.5,4.11291436464088,501,24234,56906320,57106423
"NHANESOral_2011_2012","NHANES Oral 2011-2012",7,"balanced",100,100,4287.5,3744,0.873236151603499,1354,14133,56907329,57007429
"NHANESOral_2011_2012","NHANES Oral 2011-2012",7,"fourfold",100,100,1476,6013.5,4.07418699186992,362,20691,56907329,57107432
"NHANESOral_2011_2012","NHANES Oral 2011-2012",8,"balanced",100,100,3919,3664.5,0.935059964276601,1209,14647,56908338,57008438
"NHANESOral_2011_2012","NHANES Oral 2011-2012",8,"fourfold",100,100,1624,5921.5,3.64624384236453,649,16231,56908338,57108441
"NHANESOral_2011_2012","NHANES Oral 2011-2012",9,"balanced",100,100,4000,4041,1.01025,1107,14180,56909347,57009447
"NHANESOral_2011_2012","NHANES Oral 2011-2012",9,"fourfold",100,100,1689.5,6081.5,3.59958567623557,546,15582,56909347,57109450
"NHANESOral_2011_2012","NHANES Oral 2011-2012",10,"balanced",100,100,3886,3575,0.919969119917653,950,14255,56910356,57010456
"NHANESOral_2011_2012","NHANES Oral 2011-2012",10,"fourfold",100,100,1388.5,6119,4.40691393590205,540,20707,56910356,57110459
"NHANESOral_2011_2012","NHANES Oral 2011-2012",11,"balanced",100,100,4428.5,4010,0.905498475781867,1207,17668,56911365,57011465
"NHANESOral_2011_2012","NHANES Oral 2011-2012",11,"fourfold",100,100,1532.5,6141.5,4.00750407830343,422,21652,56911365,57111468
"NHANESOral_2011_2012","NHANES Oral 2011-2012",12,"balanced",100,100,4119,4229.5,1.02682689973294,1451,12521,56912374,57012474
"NHANESOral_2011_2012","NHANES Oral 2011-2012",12,"fourfold",100,100,1537,5840.5,3.79993493819128,538,21753,56912374,57112477
"NHANESOral_2011_2012","NHANES Oral 2011-2012",13,"balanced",100,100,4046.5,3898.5,0.963425182256271,1241,17655,56913383,57013483
"NHANESOral_2011_2012","NHANES Oral 2011-2012",13,"fourfold",100,100,1446,6143.5,4.24861687413555,601,22004,56913383,57113486
"NHANESOral_2011_2012","NHANES Oral 2011-2012",14,"balanced",100,100,3872,4198,1.08419421487603,1308,13319,56914392,57014492
"NHANESOral_2011_2012","NHANES Oral 2011-2012",14,"fourfold",100,100,1693.5,5778.5,3.41216415707115,513,17530,56914392,57114495
"NHANESOral_2011_2012","NHANES Oral 2011-2012",15,"balanced",100,100,4578,3577.5,0.781454783748362,820,26709,56915401,57015501
"NHANESOral_2011_2012","NHANES Oral 2011-2012",15,"fourfold",100,100,1466,6012,4.10095497953615,494,18500,56915401,57115504
"NHANESOral_2011_2012","NHANES Oral 2011-2012",16,"balanced",100,100,3941.5,3972.5,1.00786502600533,1437,13155,56916410,57016510
"NHANESOral_2011_2012","NHANES Oral 2011-2012",16,"fourfold",100,100,1446,6037,4.17496542185339,333,18581,56916410,57116513
"NHANESOral_2011_2012","NHANES Oral 2011-2012",17,"balanced",100,100,3811.5,4205.5,1.10337137609865,1322,20256,56917419,57017519
"NHANESOral_2011_2012","NHANES Oral 2011-2012",17,"fourfold",100,100,1526.5,5797.5,3.79790370127743,576,18027,56917419,57117522
"NHANESOral_2011_2012","NHANES Oral 2011-2012",18,"balanced",100,100,3914.5,4033.5,1.03039979563163,1332,14568,56918428,57018528
"NHANESOral_2011_2012","NHANES Oral 2011-2012",18,"fourfold",100,100,1427,5998,4.20322354590049,554,19593,56918428,57118531
"NHANESOral_2011_2012","NHANES Oral 2011-2012",19,"balanced",100,100,3874,4218,1.08879710893134,1292,13370,56919437,57019537
"NHANESOral_2011_2012","NHANES Oral 2011-2012",19,"fourfold",100,100,1676,5458.5,3.256861575179,551,25235,56919437,57119540
"NHANESOral_2011_2012","NHANES Oral 2011-2012",20,"balanced",100,100,4225.5,4194,0.992545260915868,1212,13463,56920446,57020546
"NHANESOral_2011_2012","NHANES Oral 2011-2012",20,"fourfold",100,100,1594,6074.5,3.81085319949812,343,23221,56920446,57120549
"NHANESOral_2011_2012","NHANES Oral 2011-2012",21,"balanced",100,100,3844.5,3962.5,1.03069319807517,973,11532,56921455,57021555
"NHANESOral_2011_2012","NHANES Oral 2011-2012",21,"fourfold",100,100,1540.5,5544.5,3.59915611814346,637,20667,56921455,57121558
"NHANESOral_2011_2012","NHANES Oral 2011-2012",22,"balanced",100,100,4377,4419,1.00959561343386,1399,11270,56922464,57022564
"NHANESOral_2011_2012","NHANES Oral 2011-2012",22,"fourfold",100,100,1606,6005,3.73910336239103,695,15836,56922464,57122567
"NHANESOral_2011_2012","NHANES Oral 2011-2012",23,"balanced",100,100,4184.5,4385.5,1.04803441271359,694,11627,56923473,57023573
"NHANESOral_2011_2012","NHANES Oral 2011-2012",23,"fourfold",100,100,1487,5750.5,3.86718224613315,601,14741,56923473,57123576
"NHANESOral_2011_2012","NHANES Oral 2011-2012",24,"balanced",100,100,3829.5,4061,1.06045175610393,1074,12119,56924482,57024582
"NHANESOral_2011_2012","NHANES Oral 2011-2012",24,"fourfold",100,100,1397,6425.5,4.59949892627058,379,21062,56924482,57124585
"NHANESOral_2011_2012","NHANES Oral 2011-2012",25,"balanced",100,100,3705.5,3768.5,1.01700175414924,1146,12151,56925491,57025591
"NHANESOral_2011_2012","NHANES Oral 2011-2012",25,"fourfold",100,100,1617.5,5621,3.47511591962906,384,16339,56925491,57125594
"NHANESOral_2011_2012","NHANES Oral 2011-2012",26,"balanced",100,100,3875.5,4007,1.03393110566379,1304,11734,56926500,57026600
"NHANESOral_2011_2012","NHANES Oral 2011-2012",26,"fourfold",100,100,1424.5,5836.5,4.0972270972271,539,13369,56926500,57126603
"NHANESOral_2011_2012","NHANES Oral 2011-2012",27,"balanced",100,100,3872.5,4433.5,1.14486765655261,1383,16490,56927509,57027609
"NHANESOral_2011_2012","NHANES Oral 2011-2012",27,"fourfold",100,100,1437.5,6491,4.51547826086956,404,20970,56927509,57127612
"NHANESOral_2011_2012","NHANES Oral 2011-2012",28,"balanced",100,100,3948.5,4063.5,1.0291249841712,963,16346,56928518,57028618
"NHANESOral_2011_2012","NHANES Oral 2011-2012",28,"fourfold",100,100,1317.5,6507,4.93889943074004,685,15610,56928518,57128621
"NHANESOral_2011_2012","NHANES Oral 2011-2012",29,"balanced",100,100,4108.5,3844.5,0.93574297188755,1172,15443,56929527,57029627
"NHANESOral_2011_2012","NHANES Oral 2011-2012",29,"fourfold",100,100,1481.5,5740,3.87445156935538,477,17550,56929527,57129630
"NHANESOral_2011_2012","NHANES Oral 2011-2012",30,"balanced",100,100,3848.5,4110,1.06794855138366,1247,11192,56930536,57030636
"NHANESOral_2011_2012","NHANES Oral 2011-2012",30,"fourfold",100,100,1440,6236.5,4.33090277777778,300,16132,56930536,57130639
"NHANESOral_2011_2012","NHANES Oral 2011-2012",31,"balanced",100,100,4596.5,3694.5,0.803763733275318,1319,14112,56931545,57031645
"NHANESOral_2011_2012","NHANES Oral 2011-2012",31,"fourfold",100,100,1561,6180.5,3.95932094811019,418,14280,56931545,57131648
"NHANESOral_2011_2012","NHANES Oral 2011-2012",32,"balanced",100,100,4668.5,3680,0.788261754310806,1091,15975,56932554,57032654
"NHANESOral_2011_2012","NHANES Oral 2011-2012",32,"fourfold",100,100,1475.5,5419.5,3.67299220603185,490,14727,56932554,57132657
"NHANESOral_2011_2012","NHANES Oral 2011-2012",33,"balanced",100,100,3514.5,3790.5,1.07853179684166,949,11673,56933563,57033663
"NHANESOral_2011_2012","NHANES Oral 2011-2012",33,"fourfold",100,100,1477.5,5213,3.52825719120135,373,17129,56933563,57133666
"NHANESOral_2011_2012","NHANES Oral 2011-2012",34,"balanced",100,100,3968,4313.5,1.08707157258065,805,13988,56934572,57034672
"NHANESOral_2011_2012","NHANES Oral 2011-2012",34,"fourfold",100,100,1489,6561,4.40631296171927,300,16923,56934572,57134675
"NHANESOral_2011_2012","NHANES Oral 2011-2012",35,"balanced",100,100,3797,3908.5,1.02936528838557,1231,14261,56935581,57035681
"NHANESOral_2011_2012","NHANES Oral 2011-2012",35,"fourfold",100,100,1458,5917.5,4.05864197530864,411,23909,56935581,57135684
"NHANESOral_2011_2012","NHANES Oral 2011-2012",36,"balanced",100,100,4083,4072,0.997305902522655,972,13152,56936590,57036690
"NHANESOral_2011_2012","NHANES Oral 2011-2012",36,"fourfold",100,100,1606.5,6178,3.84562713974479,581,18083,56936590,57136693
"NHANESOral_2011_2012","NHANES Oral 2011-2012",37,"balanced",100,100,4308.5,4130,0.958570268074736,1344,12850,56937599,57037699
"NHANESOral_2011_2012","NHANES Oral 2011-2012",37,"fourfold",100,100,1664.5,5837,3.50675878642235,339,14823,56937599,57137702
"NHANESOral_2011_2012","NHANES Oral 2011-2012",38,"balanced",100,100,4126,4028,0.976248182258846,1372,21384,56938608,57038708
"NHANESOral_2011_2012","NHANES Oral 2011-2012",38,"fourfold",100,100,1615,6010,3.72136222910217,545,18678,56938608,57138711
"NHANESOral_2011_2012","NHANES Oral 2011-2012",39,"balanced",100,100,3844.5,4468.5,1.16230979321108,1219,12662,56939617,57039717
"NHANESOral_2011_2012","NHANES Oral 2011-2012",39,"fourfold",100,100,1468.5,5524.5,3.76200204290092,643,29639,56939617,57139720
"NHANESOral_2011_2012","NHANES Oral 2011-2012",40,"balanced",100,100,3897,3987,1.02309468822171,1050,9854,56940626,57040726
"NHANESOral_2011_2012","NHANES Oral 2011-2012",40,"fourfold",100,100,1446,6520,4.50899031811895,543,17381,56940626,57140729
"NHANESOral_2011_2012","NHANES Oral 2011-2012",41,"balanced",100,100,4002.5,3942,0.984884447220487,1147,11111,56941635,57041735
"NHANESOral_2011_2012","NHANES Oral 2011-2012",41,"fourfold",100,100,1580.5,6467.5,4.09205947484973,379,19345,56941635,57141738
"NHANESOral_2011_2012","NHANES Oral 2011-2012",42,"balanced",100,100,3807,3842,1.00919359075387,1320,18133,56942644,57042744
"NHANESOral_2011_2012","NHANES Oral 2011-2012",42,"fourfold",100,100,1428.5,5951.5,4.16625831291565,624,15783,56942644,57142747
"NHANESOral_2011_2012","NHANES Oral 2011-2012",43,"balanced",100,100,4101,3902.5,0.951597171421604,675,11471,56943653,57043753
"NHANESOral_2011_2012","NHANES Oral 2011-2012",43,"fourfold",100,100,1552.5,6013.5,3.87342995169082,580,19128,56943653,57143756
"NHANESOral_2011_2012","NHANES Oral 2011-2012",44,"balanced",100,100,3700.5,3847.5,1.03972436157276,1229,19774,56944662,57044762
"NHANESOral_2011_2012","NHANES Oral 2011-2012",44,"fourfold",100,100,1586.5,6193,3.90356129845572,577,20119,56944662,57144765
"NHANESOral_2011_2012","NHANES Oral 2011-2012",45,"balanced",100,100,4033,4006.5,0.993429209025539,906,15507,56945671,57045771
