"dataset","dataset_label","replicate","scenario","n_H","n_Case","median_depth_H","median_depth_Case","depth_ratio_Case_to_H","minimum_depth","maximum_depth","group_seed","count_seed"
"NielsenHB_2014","Nielsen 2014",1,"balanced",100,100,3889,3744.5,0.962843918745179,1353,14764,11901140,12001240
"NielsenHB_2014","Nielsen 2014",1,"fourfold",100,100,1551.5,6221.5,4.00999033193684,648,15836,11901140,12101243
"NielsenHB_2014","Nielsen 2014",2,"balanced",100,100,3888.5,4195.5,1.07895075221808,1017,12877,11902149,12002249
"NielsenHB_2014","Nielsen 2014",2,"fourfold",100,100,1659,6086.5,3.66877637130802,449,21092,11902149,12102252
"NielsenHB_2014","Nielsen 2014",3,"balanced",100,100,3805,4450.5,1.16964520367937,1318,13171,11903158,12003258
"NielsenHB_2014","Nielsen 2014",3,"fourfold",100,100,1509.5,5745.5,3.80622722755879,424,22183,11903158,12103261
"NielsenHB_2014","Nielsen 2014",4,"balanced",100,100,4057,4086.5,1.00727138279517,1300,10530,11904167,12004267
"NielsenHB_2014","Nielsen 2014",4,"fourfold",100,100,1543,7305.5,4.73460790667531,485,19735,11904167,12104270
"NielsenHB_2014","Nielsen 2014",5,"balanced",100,100,3746.5,3870,1.0329640998265,1387,12706,11905176,12005276
"NielsenHB_2014","Nielsen 2014",5,"fourfold",100,100,1501,6382.5,4.25216522318454,319,24255,11905176,12105279
"NielsenHB_2014","Nielsen 2014",6,"balanced",100,100,3754,3887.5,1.0355620671284,893,16368,11906185,12006285
"NielsenHB_2014","Nielsen 2014",6,"fourfold",100,100,1361.5,5669,4.16378993756886,592,20380,11906185,12106288
"NielsenHB_2014","Nielsen 2014",7,"balanced",100,100,4194,4300.5,1.02539341917024,1280,17307,11907194,12007294
"NielsenHB_2014","Nielsen 2014",7,"fourfold",100,100,1427.5,5638,3.94956217162872,514,24274,11907194,12107297
"NielsenHB_2014","Nielsen 2014",8,"balanced",100,100,3942.5,4478,1.13582752060875,1326,12009,11908203,12008303
"NielsenHB_2014","Nielsen 2014",8,"fourfold",100,100,1453,5705,3.92635925671025,347,19219,11908203,12108306
"NielsenHB_2014","Nielsen 2014",9,"balanced",100,100,3866.5,3834,0.991594465278676,1145,18153,11909212,12009312
