"dataset","dataset_label","replicate","scenario","taxon","observed_prevalence","prevalence_H","prevalence_Case","positive_samples_H","positive_samples_Case","total_count","dasra_retained","dasra_formed_structural_absence","dasra_regular_structural_absence","dasra_nonregular_structural_absence","dasra_formed_relative_abundance","dasra_formed_omnibus","dasra_both_components_formed","dasra_reason_structural_absence","dasra_reason_relative_abundance","dasra_warning_structural_absence","dasra_warning_relative_abundance"
"NielsenHB_2014","Nielsen 2014",1,"balanced","Akkermansia",0.415,0.46,0.37,46,37,5422,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NielsenHB_2014","Nielsen 2014",1,"balanced","Alistipes",0.94,0.96,0.92,96,92,22490,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NielsenHB_2014","Nielsen 2014",1,"balanced","Anaerobutyricum",0.97,0.99,0.95,99,95,9674,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"ok","multiple_root_effect_disagreement","",""
"NielsenHB_2014","Nielsen 2014",1,"balanced","Anaerostipes",0.955,0.92,0.99,92,99,15104,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NielsenHB_2014","Nielsen 2014",1,"balanced","Bacteroides",1,1,1,100,100,139978,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"no_observed_zeros","no_observed_zeros_structural_nuisance_boundary","",""
"NielsenHB_2014","Nielsen 2014",1,"balanced","Barnesiella",0.835,0.85,0.82,85,82,12866,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NielsenHB_2014","Nielsen 2014",1,"balanced","Bifidobacterium",0.805,0.79,0.82,79,82,11096,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NielsenHB_2014","Nielsen 2014",1,"balanced","Blautia",0.98,0.97,0.99,97,99,6878,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","","expanded_numerical_bounds;ill_conditioned_jacobian;equilibrated_jacobian_extension;weakly_identified_root_plateau;multiple_numerical_roots;weak_identification"
"NielsenHB_2014","Nielsen 2014",1,"balanced","Butyrivibrio",0.32,0.35,0.29,35,29,35924,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NielsenHB_2014","Nielsen 2014",1,"balanced","Clostridium",0.875,0.89,0.86,89,86,10423,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NielsenHB_2014","Nielsen 2014",1,"balanced","Collinsella",0.75,0.75,0.75,75,75,4055,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NielsenHB_2014","Nielsen 2014",1,"balanced","Coprococcus",0.96,0.99,0.93,99,93,22920,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NielsenHB_2014","Nielsen 2014",1,"balanced","Dialister",0.41,0.41,0.41,41,41,3581,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NielsenHB_2014","Nielsen 2014",1,"balanced","Dorea",0.985,1,0.97,100,97,12850,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","","expanded_numerical_bounds;ill_conditioned_jacobian;weakly_identified_root_plateau;multiple_numerical_roots;weak_identification"
"NielsenHB_2014","Nielsen 2014",1,"balanced","Eubacterium",0.98,0.98,0.98,98,98,28724,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NielsenHB_2014","Nielsen 2014",1,"balanced","Faecalibacterium",0.97,0.97,0.97,97,97,34535,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NielsenHB_2014","Nielsen 2014",1,"balanced","Firmicutes_unclassified",0.86,0.91,0.81,91,81,9230,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NielsenHB_2014","Nielsen 2014",1,"balanced","Fusicatenibacter",0.925,0.93,0.92,93,92,8287,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NielsenHB_2014","Nielsen 2014",1,"balanced","Lachnospira",0.92,0.92,0.92,92,92,43206,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NielsenHB_2014","Nielsen 2014",1,"balanced","Lachnospiraceae_unclassified",0.895,0.9,0.89,90,89,30770,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NielsenHB_2014","Nielsen 2014",1,"balanced","Mediterraneibacter",0.985,0.99,0.98,99,98,12385,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
