"dataset","dataset_label","replicate","scenario","method","taxon","p_value","native_p_value","available","status","reason"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Akkermansia",0.653079233142396,0.653079233142396,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Alistipes",0.453621550292578,0.453621550292578,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Anaerobutyricum",0.126226477936954,0.126226477936954,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Anaerostipes",0.0469234955264034,0.0469234955264034,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Bacteroides",1,1,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Barnesiella",0.293330893936255,0.293330893936255,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Bifidobacterium",1,1,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Blautia",1,1,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Butyrivibrio",0.726585783822978,0.726585783822978,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Clostridium",0.35721387209939,0.35721387209939,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Collinsella",1,1,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Coprococcus",0.0590570276390255,0.0590570276390255,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Dialister",1,1,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Dorea",0.320701496962071,0.320701496962071,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Eubacterium",0.862204961501767,0.862204961501767,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Faecalibacterium",0.354170579447373,0.354170579447373,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Firmicutes_unclassified",0.0906401995391317,0.0906401995391317,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Fusicatenibacter",1,1,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Lachnospira",1,1,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Lachnospiraceae_unclassified",1,1,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Mediterraneibacter",0.814033261573551,0.814033261573551,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Methanobrevibacter",0.836896362266233,0.836896362266233,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Odoribacter",1,1,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Parabacteroides",0.942206642167843,0.942206642167843,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Phascolarctobacterium",0.49879171910202,0.49879171910202,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Phocaeicola",0.806352884690356,0.806352884690356,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Prevotella",0.0865743210005318,0.0865743210005318,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Roseburia",0.51440846913555,0.51440846913555,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Ruminococcaceae_unclassified",1,1,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","DASRA","Ruminococcus",1,1,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","ZINQ","Akkermansia",0.267594699347338,0.267594699347338,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","ZINQ","Alistipes",0.744219853092412,0.744219853092412,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","ZINQ","Anaerobutyricum",0.267305028266853,0.267305028266853,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","ZINQ","Anaerostipes",0.141081932717397,0.141081932717397,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","ZINQ","Bacteroides",0.280718649235389,0.280718649235389,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","ZINQ","Barnesiella",0.318843409657999,0.318843409657999,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","ZINQ","Bifidobacterium",0.476903397851701,0.476903397851701,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","ZINQ","Blautia",0.647410233620911,0.647410233620911,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","ZINQ","Butyrivibrio",0.692116895525059,0.692116895525059,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","ZINQ","Clostridium",0.269347115037147,0.269347115037147,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","ZINQ","Collinsella",0.999296495182071,0.999296495182071,TRUE,"available","available"
"NielsenHB_2014","Nielsen 2014",1,"balanced","ZINQ","Coprococcus",0.0344764415398701,0.0344764415398701,TRUE,"available","available"
