"dataset","dataset_label","replicate","scenario","n_H","n_Case","median_depth_H","median_depth_Case","depth_ratio_Case_to_H","minimum_depth","maximum_depth","group_seed","count_seed"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced",100,100,4014,3850,0.959142999501744,1392,12058,22901173,23001273
"NogueraJulianHIV","Noguera-Julian HIV",1,"fourfold",100,100,1555.5,6033.5,3.87881710061074,574,19922,22901173,23101276
"NogueraJulianHIV","Noguera-Julian HIV",2,"balanced",100,100,3789,4233.5,1.11731327527052,1171,15415,22902182,23002282
"NogueraJulianHIV","Noguera-Julian HIV",2,"fourfold",100,100,1526,6004,3.93446920052425,338,13813,22902182,23102285
"NogueraJulianHIV","Noguera-Julian HIV",3,"balanced",100,100,3486,4256.5,1.22102696500287,1254,15551,22903191,23003291
"NogueraJulianHIV","Noguera-Julian HIV",3,"fourfold",100,100,1357.5,6511.5,4.79668508287293,412,17730,22903191,23103294
"NogueraJulianHIV","Noguera-Julian HIV",4,"balanced",100,100,4079.5,3974,0.974138987621032,1158,13066,22904200,23004300
"NogueraJulianHIV","Noguera-Julian HIV",4,"fourfold",100,100,1612,6832,4.23821339950372,540,18648,22904200,23104303
"NogueraJulianHIV","Noguera-Julian HIV",5,"balanced",100,100,4036.5,4001.5,0.991329121763904,1209,17027,22905209,23005309
"NogueraJulianHIV","Noguera-Julian HIV",5,"fourfold",100,100,1588,5530,3.4823677581864,660,17002,22905209,23105312
"NogueraJulianHIV","Noguera-Julian HIV",6,"balanced",100,100,4110,4034.5,0.981630170316302,1384,13497,22906218,23006318
"NogueraJulianHIV","Noguera-Julian HIV",6,"fourfold",100,100,1562.5,6403.5,4.09824,416,17777,22906218,23106321
"NogueraJulianHIV","Noguera-Julian HIV",7,"balanced",100,100,4019.5,3978.5,0.989799726334121,1204,10862,22907227,23007327
"NogueraJulianHIV","Noguera-Julian HIV",7,"fourfold",100,100,1690,5545,3.2810650887574,584,22591,22907227,23107330
"NogueraJulianHIV","Noguera-Julian HIV",8,"balanced",100,100,3782.5,3766,0.995637805684071,1422,12108,22908236,23008336
"NogueraJulianHIV","Noguera-Julian HIV",8,"fourfold",100,100,1481.5,5996,4.04724940938238,426,17200,22908236,23108339
"NogueraJulianHIV","Noguera-Julian HIV",9,"balanced",100,100,4007.5,3989.5,0.995508421709295,978,21981,22909245,23009345
"NogueraJulianHIV","Noguera-Julian HIV",9,"fourfold",100,100,1696,6015.5,3.546875,689,18409,22909245,23109348
"NogueraJulianHIV","Noguera-Julian HIV",10,"balanced",100,100,3782,4269.5,1.12890005288207,663,12838,22910254,23010354
"NogueraJulianHIV","Noguera-Julian HIV",10,"fourfold",100,100,1492.5,6018,4.0321608040201,501,14159,22910254,23110357
"NogueraJulianHIV","Noguera-Julian HIV",11,"balanced",100,100,4240.5,4038,0.952246197382384,1076,10257,22911263,23011363
"NogueraJulianHIV","Noguera-Julian HIV",11,"fourfold",100,100,1397,5777,4.13528990694345,444,19323,22911263,23111366
"NogueraJulianHIV","Noguera-Julian HIV",12,"balanced",100,100,4169.5,3870,0.928168845185274,874,12617,22912272,23012372
"NogueraJulianHIV","Noguera-Julian HIV",12,"fourfold",100,100,1549.5,5837.5,3.76734430461439,426,26333,22912272,23112375
"NogueraJulianHIV","Noguera-Julian HIV",13,"balanced",100,100,4269.5,3958,0.927040637076941,1000,11238,22913281,23013381
"NogueraJulianHIV","Noguera-Julian HIV",13,"fourfold",100,100,1533,5920.5,3.86203522504892,515,17966,22913281,23113384
"NogueraJulianHIV","Noguera-Julian HIV",14,"balanced",100,100,3719.5,3977.5,1.06936416184971,1192,12196,22914290,23014390
"NogueraJulianHIV","Noguera-Julian HIV",14,"fourfold",100,100,1642,5853.5,3.56485992691839,396,30000,22914290,23114393
"NogueraJulianHIV","Noguera-Julian HIV",15,"balanced",100,100,3615,3708,1.02572614107884,1243,10062,22915299,23015399
"NogueraJulianHIV","Noguera-Julian HIV",15,"fourfold",100,100,1371.5,5824,4.24644549763033,619,16783,22915299,23115402
"NogueraJulianHIV","Noguera-Julian HIV",16,"balanced",100,100,4518.5,4003,0.885913466858471,1214,21371,22916308,23016408
"NogueraJulianHIV","Noguera-Julian HIV",16,"fourfold",100,100,1553,6129,3.94655505473278,418,17750,22916308,23116411
"NogueraJulianHIV","Noguera-Julian HIV",17,"balanced",100,100,4390.5,3813.5,0.868579888395399,1291,13320,22917317,23017417
"NogueraJulianHIV","Noguera-Julian HIV",17,"fourfold",100,100,1515.5,6353,4.19201583635764,300,21995,22917317,23117420
"NogueraJulianHIV","Noguera-Julian HIV",18,"balanced",100,100,4131.5,4164,1.00786639235145,1000,10971,22918326,23018426
"NogueraJulianHIV","Noguera-Julian HIV",18,"fourfold",100,100,1405,6324,4.50106761565836,468,20362,22918326,23118429
"NogueraJulianHIV","Noguera-Julian HIV",19,"balanced",100,100,3958.5,3993.5,1.00884173297966,1141,16789,22919335,23019435
"NogueraJulianHIV","Noguera-Julian HIV",19,"fourfold",100,100,1631.5,6382,3.91173766472571,451,16884,22919335,23119438
"NogueraJulianHIV","Noguera-Julian HIV",20,"balanced",100,100,4085.5,3665,0.897075021417207,1162,20083,22920344,23020444
"NogueraJulianHIV","Noguera-Julian HIV",20,"fourfold",100,100,1488,5726,3.84811827956989,515,17217,22920344,23120447
"NogueraJulianHIV","Noguera-Julian HIV",21,"balanced",100,100,4048,3781.5,0.934165019762846,1588,16067,22921353,23021453
"NogueraJulianHIV","Noguera-Julian HIV",21,"fourfold",100,100,1521.5,6259.5,4.1140322050608,487,22169,22921353,23121456
"NogueraJulianHIV","Noguera-Julian HIV",22,"balanced",100,100,4025.5,4045.5,1.00496832691591,1032,15762,22922362,23022462
"NogueraJulianHIV","Noguera-Julian HIV",22,"fourfold",100,100,1551.5,5439.5,3.50596197228489,346,21136,22922362,23122465
"NogueraJulianHIV","Noguera-Julian HIV",23,"balanced",100,100,3963.5,3762,0.9491610949918,1135,12909,22923371,23023471
