"dataset","dataset_label","replicate","scenario","taxon","observed_prevalence","prevalence_H","prevalence_Case","positive_samples_H","positive_samples_Case","total_count","dasra_retained","dasra_formed_structural_absence","dasra_regular_structural_absence","dasra_nonregular_structural_absence","dasra_formed_relative_abundance","dasra_formed_omnibus","dasra_both_components_formed","dasra_reason_structural_absence","dasra_reason_relative_abundance","dasra_warning_structural_absence","dasra_warning_relative_abundance"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Alistipes",0.81,0.83,0.79,83,79,20004,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Alloprevotella",0.555,0.59,0.52,59,52,13511,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Bacteroides",0.98,0.98,0.98,98,98,154355,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Barnesiella",0.71,0.7,0.72,70,72,9312,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Bifidobacterium",0.735,0.74,0.73,74,73,6392,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Blautia",0.995,1,0.99,100,99,26837,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"ok","multiple_root_effect_disagreement","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Catenibacterium",0.605,0.62,0.59,62,59,8291,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Clostridium_IV",0.905,0.92,0.89,92,89,8107,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Clostridium_sensu_stricto",0.685,0.64,0.73,64,73,3850,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Clostridium_XI",0.825,0.77,0.88,77,88,11623,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Clostridium_XlVa",0.995,1,0.99,100,99,30454,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"ok","multiple_root_effect_disagreement","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Dialister",0.715,0.67,0.76,67,76,8175,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Dorea",0.95,0.95,0.95,95,95,6659,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Erysipelotrichaceae_incertae_sedis",0.8,0.79,0.81,79,81,5387,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Faecalibacterium",0.985,0.99,0.98,99,98,62934,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Flavonifractor",0.94,0.94,0.94,94,94,11645,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Gemmiger",0.98,0.96,1,96,100,10979,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","","expanded_numerical_bounds;ill_conditioned_jacobian;equilibrated_jacobian_extension;weakly_identified_root_plateau;multiple_numerical_roots;weak_identification"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Lachnospira",0.67,0.71,0.63,71,63,3755,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Lachnospiracea_incertae_sedis",0.985,1,0.97,100,97,18316,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","","expanded_numerical_bounds;ill_conditioned_jacobian;weakly_identified_root_plateau;multiple_numerical_roots;weak_identification"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Megasphaera",0.405,0.34,0.47,34,47,4651,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Odoribacter",0.775,0.8,0.75,80,75,6090,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Parabacteroides",0.875,0.88,0.87,88,87,15491,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Paraprevotella",0.695,0.72,0.67,72,67,5744,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Prevotella",0.865,0.87,0.86,87,86,143616,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Roseburia",0.925,0.95,0.9,95,90,9793,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Ruminococcus",0.89,0.86,0.92,86,92,14634,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Ruminococcus2",0.85,0.86,0.84,86,84,3487,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Streptococcus",0.68,0.69,0.67,69,67,5564,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Succinivibrio",0.41,0.42,0.4,42,40,15432,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","Sutterella",0.46,0.52,0.4,52,40,3793,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"fourfold","Alistipes",0.8,0.77,0.83,77,83,21743,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"fourfold","Alloprevotella",0.565,0.58,0.55,58,55,11049,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"fourfold","Bacteroides",0.98,0.97,0.99,97,99,143856,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","","expanded_numerical_bounds;ill_conditioned_jacobian;equilibrated_jacobian_extension;weakly_identified_root_plateau;multiple_numerical_roots;weak_identification"
"NogueraJulianHIV","Noguera-Julian HIV",1,"fourfold","Barnesiella",0.705,0.66,0.75,66,75,8682,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"fourfold","Bifidobacterium",0.66,0.6,0.72,60,72,7606,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"fourfold","Blautia",0.995,1,0.99,100,99,26690,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"ok","multiple_root_effect_disagreement","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"fourfold","Catenibacterium",0.59,0.59,0.59,59,59,8216,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"NogueraJulianHIV","Noguera-Julian HIV",1,"fourfold","Clostridium_IV",0.895,0.86,0.93,86,93,6289,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
