"dataset","dataset_label","replicate","scenario","method","taxon","p_value","native_p_value","available","status","reason"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Alistipes",1,1,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Alloprevotella",0.413078035520987,0.413078035520987,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Bacteroides",0.396933246322203,0.396933246322203,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Barnesiella",1,1,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Bifidobacterium",0.0788004414054286,0.0788004414054286,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Blautia",0.635289860405666,0.635289860405666,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Catenibacterium",0.213442623300305,0.213442623300305,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Clostridium_IV",0.366427858024132,0.366427858024132,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Clostridium_sensu_stricto",0.47935262546141,0.47935262546141,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Clostridium_XI",0.106117962800174,0.106117962800174,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Clostridium_XlVa",0.632214160327882,0.632214160327882,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Dialister",0.31429133377362,0.31429133377362,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Dorea",1,1,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Erysipelotrichaceae_incertae_sedis",0.338790281164901,0.338790281164901,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Faecalibacterium",1,1,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Flavonifractor",1,1,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Gemmiger",0.0176233503546709,0.0176233503546709,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Lachnospira",0.610679324688339,0.610679324688339,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Lachnospiracea_incertae_sedis",0.171785809602354,0.171785809602354,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Megasphaera",0.119046014952026,0.119046014952026,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Odoribacter",0.589408331496303,0.589408331496303,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Parabacteroides",0.0651746419341294,0.0651746419341294,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Paraprevotella",0.711220570191815,0.711220570191815,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Prevotella",0.300131847834501,0.300131847834501,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Roseburia",0.318573035941735,0.318573035941735,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Ruminococcus",0.356921592094744,0.356921592094744,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Ruminococcus2",0.0357514626683381,0.0357514626683381,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Streptococcus",1,1,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Succinivibrio",0.660513114113654,0.660513114113654,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","DASRA","Sutterella",0.205475435278031,0.205475435278031,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","ZINQ","Alistipes",0.98716473056235,0.98716473056235,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","ZINQ","Alloprevotella",0.207686172347133,0.207686172347133,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","ZINQ","Bacteroides",0.829426711244579,0.829426711244579,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","ZINQ","Barnesiella",0.435001443013125,0.435001443013125,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","ZINQ","Bifidobacterium",0.480781157093623,0.480781157093623,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","ZINQ","Blautia",0.882472996508951,0.882472996508951,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","ZINQ","Catenibacterium",0.752611278377223,0.752611278377223,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","ZINQ","Clostridium_IV",0.0133563206078331,0.0133563206078331,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","ZINQ","Clostridium_sensu_stricto",0.609372305285554,0.609372305285554,TRUE,"available","available"
"NogueraJulianHIV","Noguera-Julian HIV",1,"balanced","ZINQ","Clostridium_XI",0.243951579468058,0.243951579468058,TRUE,"available","available"
