"dataset","dataset_label","replicate","scenario","n_H","n_Case","median_depth_H","median_depth_Case","depth_ratio_Case_to_H","minimum_depth","maximum_depth","group_seed","count_seed"
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced",100,100,3710,4087,1.10161725067385,1162,16415,40901227,41001327
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"fourfold",100,100,1449.5,6303.5,4.3487409451535,559,15750,40901227,41101330
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",2,"balanced",100,100,3960,4225,1.06691919191919,1255,15301,40902236,41002336
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",2,"fourfold",100,100,1426.5,6163.5,4.32071503680336,475,25902,40902236,41102339
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",3,"balanced",100,100,3890.5,4098.5,1.05346356509446,1326,15630,40903245,41003345
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",3,"fourfold",100,100,1493,6495,4.35030140656397,540,20213,40903245,41103348
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",4,"balanced",100,100,4147,4126,0.994936098384374,917,15259,40904254,41004354
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",4,"fourfold",100,100,1454.5,6247,4.29494671708491,607,15217,40904254,41104357
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",5,"balanced",100,100,3669.5,3556.5,0.969205613843848,1192,12116,40905263,41005363
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",5,"fourfold",100,100,1366.5,5965.5,4.3655323819978,446,23134,40905263,41105366
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",6,"balanced",100,100,4096,4315.5,1.0535888671875,1012,13380,40906272,41006372
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",6,"fourfold",100,100,1523,6537,4.29218647406435,404,12199,40906272,41106375
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",7,"balanced",100,100,4469.5,3961,0.886228884662714,1382,13201,40907281,41007381
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",7,"fourfold",100,100,1393,6410,4.60157932519742,353,17357,40907281,41107384
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",8,"balanced",100,100,3798.5,3884.5,1.02264051599316,1474,12586,40908290,41008390
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",8,"fourfold",100,100,1345,6083.5,4.52304832713755,367,15787,40908290,41108393
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",9,"balanced",100,100,3909.5,3945,1.0090804450697,1190,16621,40909299,41009399
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",9,"fourfold",100,100,1606,6020,3.74844333748443,540,18123,40909299,41109402
