"dataset","dataset_label","replicate","scenario","taxon","observed_prevalence","prevalence_H","prevalence_Case","positive_samples_H","positive_samples_Case","total_count","sacat_retained","sacat_formed_structural_absence","sacat_regular_structural_absence","sacat_nonregular_structural_absence","sacat_formed_relative_abundance","sacat_formed_omnibus","sacat_both_components_formed","sacat_reason_structural_absence","sacat_reason_relative_abundance","sacat_warning_structural_absence","sacat_warning_relative_abundance"
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","[Prevotella]",0.83,0.81,0.85,81,85,7056,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Actinomyces",1,1,1,100,100,39511,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Aggregatibacter",0.95,0.96,0.94,96,94,14135,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Campylobacter",1,1,1,100,100,17199,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Capnocytophaga",0.995,0.99,1,99,100,19068,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Cardiobacterium",0.95,0.96,0.94,96,94,9221,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Corynebacterium",0.995,1,0.99,100,99,106473,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Dialister",0.82,0.78,0.86,78,86,4888,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Eikenella",0.935,0.95,0.92,95,92,2216,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Filifactor",0.795,0.77,0.82,77,82,2995,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Fusobacterium",1,1,1,100,100,113427,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Gemella",0.94,0.95,0.93,95,93,5401,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Granulicatella",0.99,0.98,1,98,100,8553,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Haemophilus",0.95,0.95,0.95,95,95,16142,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Kingella",0.93,0.94,0.92,94,92,4446,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Lautropia",0.92,0.91,0.93,91,93,11563,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Leptotrichia",1,1,1,100,100,92975,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Neisseria",0.945,0.95,0.94,95,94,27796,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Oribacterium",0.69,0.66,0.72,66,72,1792,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Paludibacter",0.76,0.76,0.76,76,76,9718,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Parvimonas",0.91,0.89,0.93,89,93,7242,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Porphyromonas",0.965,0.98,0.95,98,95,27035,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Prevotella",1,1,1,100,100,35918,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Rothia",1,1,1,100,100,61666,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Selenomonas",0.985,0.98,0.99,98,99,14534,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Streptococcus",1,1,1,100,100,115431,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Tannerella",0.87,0.83,0.91,83,91,4158,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","TG5",0.555,0.56,0.55,56,55,1809,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Treponema",0.84,0.82,0.86,82,86,12907,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","Veillonella",0.995,1,0.99,100,99,23463,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"fourfold","[Prevotella]",0.755,0.66,0.85,66,85,7766,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
