"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_bh_rejections","familywise_type_i_error"
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","SACAT",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","ZINQ",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"balanced","MaAsLin3",30,23,0.766666666666667,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"fourfold","SACAT",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"fourfold","ZINQ",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",1,"fourfold","MaAsLin3",30,25,0.833333333333333,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",2,"balanced","SACAT",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",2,"balanced","ZINQ",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",2,"balanced","MaAsLin3",30,25,0.833333333333333,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",2,"fourfold","SACAT",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",2,"fourfold","ZINQ",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",2,"fourfold","MaAsLin3",30,26,0.866666666666667,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",3,"balanced","SACAT",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",3,"balanced","ZINQ",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",3,"balanced","MaAsLin3",30,24,0.8,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",3,"fourfold","SACAT",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",3,"fourfold","ZINQ",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",3,"fourfold","MaAsLin3",30,24,0.8,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",4,"balanced","SACAT",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",4,"balanced","ZINQ",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",4,"balanced","MaAsLin3",30,23,0.766666666666667,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",4,"fourfold","SACAT",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",4,"fourfold","ZINQ",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",4,"fourfold","MaAsLin3",30,24,0.8,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",5,"balanced","SACAT",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",5,"balanced","ZINQ",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",5,"balanced","MaAsLin3",30,24,0.8,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",5,"fourfold","SACAT",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",5,"fourfold","ZINQ",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",5,"fourfold","MaAsLin3",30,25,0.833333333333333,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",6,"balanced","SACAT",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",6,"balanced","ZINQ",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",6,"balanced","MaAsLin3",30,23,0.766666666666667,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",6,"fourfold","SACAT",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",6,"fourfold","ZINQ",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",6,"fourfold","MaAsLin3",30,26,0.866666666666667,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",7,"balanced","SACAT",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",7,"balanced","ZINQ",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",7,"balanced","MaAsLin3",30,22,0.733333333333333,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",7,"fourfold","SACAT",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",7,"fourfold","ZINQ",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",7,"fourfold","MaAsLin3",30,24,0.8,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",8,"balanced","SACAT",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",8,"balanced","ZINQ",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",8,"balanced","MaAsLin3",30,22,0.733333333333333,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",8,"fourfold","SACAT",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",8,"fourfold","ZINQ",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",8,"fourfold","MaAsLin3",30,25,0.833333333333333,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",9,"balanced","SACAT",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",9,"balanced","ZINQ",30,30,1,1,1
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",9,"balanced","MaAsLin3",30,24,0.8,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",9,"fourfold","SACAT",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",9,"fourfold","ZINQ",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",9,"fourfold","MaAsLin3",30,25,0.833333333333333,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",10,"balanced","SACAT",30,30,1,0,0
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque",10,"balanced","ZINQ",30,30,1,0,0
