"dataset","dataset_label","replicate","scenario","n_H","n_Case","median_depth_H","median_depth_Case","depth_ratio_Case_to_H","minimum_depth","maximum_depth","group_seed","count_seed"
"Qiita11993Colombia","Colombia Westernization",1,"balanced",100,100,3965.5,4300.5,1.08447862816795,928,11285,27901188,28001288
"Qiita11993Colombia","Colombia Westernization",1,"fourfold",100,100,1481,6750,4.55773126266036,502,15509,27901188,28101291
"Qiita11993Colombia","Colombia Westernization",2,"balanced",100,100,3874.5,4099.5,1.05807200929152,1081,12262,27902197,28002297
"Qiita11993Colombia","Colombia Westernization",2,"fourfold",100,100,1599.5,5942,3.71491090965927,395,14730,27902197,28102300
"Qiita11993Colombia","Colombia Westernization",3,"balanced",100,100,4070.5,4189.5,1.02923473774721,797,17184,27903206,28003306
"Qiita11993Colombia","Colombia Westernization",3,"fourfold",100,100,1574,6272,3.98475222363405,427,21850,27903206,28103309
"Qiita11993Colombia","Colombia Westernization",4,"balanced",100,100,3518,3784,1.07561114269471,1121,14221,27904215,28004315
"Qiita11993Colombia","Colombia Westernization",4,"fourfold",100,100,1432,6066,4.23603351955307,491,22563,27904215,28104318
"Qiita11993Colombia","Colombia Westernization",5,"balanced",100,100,4006,4135.5,1.03232651023465,1248,15978,27905224,28005324
"Qiita11993Colombia","Colombia Westernization",5,"fourfold",100,100,1586,5650,3.562421185372,378,15549,27905224,28105327
"Qiita11993Colombia","Colombia Westernization",6,"balanced",100,100,4107,3825,0.931336742147553,1191,11121,27906233,28006333
"Qiita11993Colombia","Colombia Westernization",6,"fourfold",100,100,1634.5,5865,3.58825328846742,479,19171,27906233,28106336
"Qiita11993Colombia","Colombia Westernization",7,"balanced",100,100,3829.5,3683.5,0.961874918396658,1410,17256,27907242,28007342
"Qiita11993Colombia","Colombia Westernization",7,"fourfold",100,100,1450,6072,4.18758620689655,395,24382,27907242,28107345
"Qiita11993Colombia","Colombia Westernization",8,"balanced",100,100,3871.5,4015,1.03706573679452,1224,11095,27908251,28008351
"Qiita11993Colombia","Colombia Westernization",8,"fourfold",100,100,1497.5,6026,4.02404006677796,505,14633,27908251,28108354
"Qiita11993Colombia","Colombia Westernization",9,"balanced",100,100,3912.5,4102,1.04843450479233,1280,11779,27909260,28009360
"Qiita11993Colombia","Colombia Westernization",9,"fourfold",100,100,1412,5961.5,4.22202549575071,372,19094,27909260,28109363
"Qiita11993Colombia","Colombia Westernization",10,"balanced",100,100,4093.5,3801.5,0.92866739953585,1138,14783,27910269,28010369
"Qiita11993Colombia","Colombia Westernization",10,"fourfold",100,100,1451.5,6137.5,4.2283844299001,438,23055,27910269,28110372
"Qiita11993Colombia","Colombia Westernization",11,"balanced",100,100,4261.5,4036.5,0.947201689545935,1325,10908,27911278,28011378
"Qiita11993Colombia","Colombia Westernization",11,"fourfold",100,100,1490,6204.5,4.16409395973154,501,17258,27911278,28111381
"Qiita11993Colombia","Colombia Westernization",12,"balanced",100,100,3966.5,4222,1.06441447119627,1256,14593,27912287,28012387
"Qiita11993Colombia","Colombia Westernization",12,"fourfold",100,100,1693.5,5569.5,3.28875110717449,448,15869,27912287,28112390
"Qiita11993Colombia","Colombia Westernization",13,"balanced",100,100,4042,4443,1.09920831271648,988,16304,27913296,28013396
"Qiita11993Colombia","Colombia Westernization",13,"fourfold",100,100,1548.5,6133.5,3.96092993219244,589,19301,27913296,28113399
"Qiita11993Colombia","Colombia Westernization",14,"balanced",100,100,4261.5,4116.5,0.965974422151824,1208,13228,27914305,28014405
"Qiita11993Colombia","Colombia Westernization",14,"fourfold",100,100,1412.5,6020.5,4.26230088495575,331,25943,27914305,28114408
"Qiita11993Colombia","Colombia Westernization",15,"balanced",100,100,4008.5,4107.5,1.02469751777473,1362,15718,27915314,28015414
"Qiita11993Colombia","Colombia Westernization",15,"fourfold",100,100,1511.5,5805.5,3.84088653655309,462,15886,27915314,28115417
"Qiita11993Colombia","Colombia Westernization",16,"balanced",100,100,3829,4400.5,1.14925568033429,1220,13454,27916323,28016423
"Qiita11993Colombia","Colombia Westernization",16,"fourfold",100,100,1423.5,5770.5,4.05374077976818,460,17107,27916323,28116426
"Qiita11993Colombia","Colombia Westernization",17,"balanced",100,100,4122,3701.5,0.89798641436196,1091,13051,27917332,28017432
"Qiita11993Colombia","Colombia Westernization",17,"fourfold",100,100,1476.5,6102,4.13274635963427,553,19437,27917332,28117435
"Qiita11993Colombia","Colombia Westernization",18,"balanced",100,100,3649.5,3758.5,1.02986710508289,1190,17326,27918341,28018441
"Qiita11993Colombia","Colombia Westernization",18,"fourfold",100,100,1605,6058.5,3.77476635514019,436,28088,27918341,28118444
"Qiita11993Colombia","Colombia Westernization",19,"balanced",100,100,4174,3805.5,0.911715380929564,1364,11924,27919350,28019450
"Qiita11993Colombia","Colombia Westernization",19,"fourfold",100,100,1407.5,5924,4.2088809946714,378,23774,27919350,28119453
"Qiita11993Colombia","Colombia Westernization",20,"balanced",100,100,4134.5,3756.5,0.90857419276817,976,16884,27920359,28020459
"Qiita11993Colombia","Colombia Westernization",20,"fourfold",100,100,1529.5,6482,4.23798627002288,444,17637,27920359,28120462
"Qiita11993Colombia","Colombia Westernization",21,"balanced",100,100,4263,4135.5,0.97009148486981,1211,15901,27921368,28021468
"Qiita11993Colombia","Colombia Westernization",21,"fourfold",100,100,1418.5,5522,3.89284455410645,439,15783,27921368,28121471
"Qiita11993Colombia","Colombia Westernization",22,"balanced",100,100,4202,4608.5,1.09673964778677,1526,17591,27922377,28022477
"Qiita11993Colombia","Colombia Westernization",22,"fourfold",100,100,1480,5734,3.87432432432432,456,26472,27922377,28122480
"Qiita11993Colombia","Colombia Westernization",23,"balanced",100,100,4121.5,4334,1.0515588984593,1202,12574,27923386,28023486
"Qiita11993Colombia","Colombia Westernization",23,"fourfold",100,100,1388.5,6097.5,4.39142960028808,610,13797,27923386,28123489
"Qiita11993Colombia","Colombia Westernization",24,"balanced",100,100,4039,4222,1.045308244615,1161,13512,27924395,28024495
"Qiita11993Colombia","Colombia Westernization",24,"fourfold",100,100,1407,6055,4.30348258706468,644,18135,27924395,28124498
"Qiita11993Colombia","Colombia Westernization",25,"balanced",100,100,3932,4031.5,1.02530518819939,1331,19807,27925404,28025504
"Qiita11993Colombia","Colombia Westernization",25,"fourfold",100,100,1592,5944.5,3.7339824120603,550,18918,27925404,28125507
"Qiita11993Colombia","Colombia Westernization",26,"balanced",100,100,3978.5,4271,1.07352017091869,1178,11351,27926413,28026513
"Qiita11993Colombia","Colombia Westernization",26,"fourfold",100,100,1347,6097,4.52635486265776,412,15133,27926413,28126516
"Qiita11993Colombia","Colombia Westernization",27,"balanced",100,100,4304.5,4227,0.981995586014636,982,20041,27927422,28027522
"Qiita11993Colombia","Colombia Westernization",27,"fourfold",100,100,1650.5,5640,3.41714631929718,527,15440,27927422,28127525
"Qiita11993Colombia","Colombia Westernization",28,"balanced",100,100,3907,3813,0.975940619401075,1243,11598,27928431,28028531
"Qiita11993Colombia","Colombia Westernization",28,"fourfold",100,100,1346,6656.5,4.94539375928678,385,17547,27928431,28128534
"Qiita11993Colombia","Colombia Westernization",29,"balanced",100,100,4244,3816,0.899151743638077,1298,12111,27929440,28029540
"Qiita11993Colombia","Colombia Westernization",29,"fourfold",100,100,1583,6106.5,3.8575489576753,489,30000,27929440,28129543
"Qiita11993Colombia","Colombia Westernization",30,"balanced",100,100,3693,3995,1.08177633360412,1496,12374,27930449,28030549
"Qiita11993Colombia","Colombia Westernization",30,"fourfold",100,100,1677,5552.5,3.31097197376267,482,15764,27930449,28130552
"Qiita11993Colombia","Colombia Westernization",31,"balanced",100,100,4031.5,4349.5,1.07887882921989,1212,13577,27931458,28031558
"Qiita11993Colombia","Colombia Westernization",31,"fourfold",100,100,1598,5902,3.69336670838548,469,20885,27931458,28131561
"Qiita11993Colombia","Colombia Westernization",32,"balanced",100,100,4165.5,3819.5,0.916936742287841,1313,12669,27932467,28032567
"Qiita11993Colombia","Colombia Westernization",32,"fourfold",100,100,1661.5,5767,3.47095997592537,456,23570,27932467,28132570
"Qiita11993Colombia","Colombia Westernization",33,"balanced",100,100,4407.5,3897,0.884174702212138,898,15748,27933476,28033576
"Qiita11993Colombia","Colombia Westernization",33,"fourfold",100,100,1430.5,6626,4.63194687172317,413,17869,27933476,28133579
"Qiita11993Colombia","Colombia Westernization",34,"balanced",100,100,4238.5,4203.5,0.991742361684558,1399,15859,27934485,28034585
"Qiita11993Colombia","Colombia Westernization",34,"fourfold",100,100,1475,6198,4.20203389830508,453,19461,27934485,28134588
"Qiita11993Colombia","Colombia Westernization",35,"balanced",100,100,4351.5,4071,0.93553946914857,1180,12726,27935494,28035594
"Qiita11993Colombia","Colombia Westernization",35,"fourfold",100,100,1508.5,6165,4.08684123301293,484,13581,27935494,28135597
"Qiita11993Colombia","Colombia Westernization",36,"balanced",100,100,3479.5,3947.5,1.13450208363271,1203,12697,27936503,28036603
"Qiita11993Colombia","Colombia Westernization",36,"fourfold",100,100,1556.5,5625,3.61387728878895,412,18762,27936503,28136606
"Qiita11993Colombia","Colombia Westernization",37,"balanced",100,100,3774.5,4177.5,1.10676910849119,1171,19795,27937512,28037612
"Qiita11993Colombia","Colombia Westernization",37,"fourfold",100,100,1598,5873,3.67521902377972,348,18823,27937512,28137615
"Qiita11993Colombia","Colombia Westernization",38,"balanced",100,100,4312,3846.5,0.892045454545455,1456,12987,27938521,28038621
"Qiita11993Colombia","Colombia Westernization",38,"fourfold",100,100,1527.5,5756.5,3.76857610474632,300,14757,27938521,28138624
"Qiita11993Colombia","Colombia Westernization",39,"balanced",100,100,4362.5,4304.5,0.986704871060172,1294,14660,27939530,28039630
"Qiita11993Colombia","Colombia Westernization",39,"fourfold",100,100,1502.5,6237.5,4.15141430948419,492,24017,27939530,28139633
"Qiita11993Colombia","Colombia Westernization",40,"balanced",100,100,4011.5,3893.5,0.970584569363081,1338,13063,27940539,28040639
"Qiita11993Colombia","Colombia Westernization",40,"fourfold",100,100,1642.5,6131.5,3.73302891933029,488,22821,27940539,28140642
"Qiita11993Colombia","Colombia Westernization",41,"balanced",100,100,4103.5,4018.5,0.979285975386865,1262,16247,27941548,28041648
"Qiita11993Colombia","Colombia Westernization",41,"fourfold",100,100,1581,6232.5,3.94212523719165,444,19958,27941548,28141651
"Qiita11993Colombia","Colombia Westernization",42,"balanced",100,100,4010.5,4199,1.04700162074554,1357,14504,27942557,28042657
"Qiita11993Colombia","Colombia Westernization",42,"fourfold",100,100,1485.5,5840,3.93133625042073,353,19571,27942557,28142660
"Qiita11993Colombia","Colombia Westernization",43,"balanced",100,100,4095,3954.5,0.965689865689866,1245,11917,27943566,28043666
"Qiita11993Colombia","Colombia Westernization",43,"fourfold",100,100,1534,5533,3.60691003911343,300,17213,27943566,28143669
"Qiita11993Colombia","Colombia Westernization",44,"balanced",100,100,4132,3652,0.883833494675702,1144,9847,27944575,28044675
"Qiita11993Colombia","Colombia Westernization",44,"fourfold",100,100,1475.5,5725.5,3.88037953236191,461,13957,27944575,28144678
"Qiita11993Colombia","Colombia Westernization",45,"balanced",100,100,4075,4119.5,1.01092024539877,982,10989,27945584,28045684
"Qiita11993Colombia","Colombia Westernization",45,"fourfold",100,100,1492.5,5702,3.82043551088777,618,13949,27945584,28145687
"Qiita11993Colombia","Colombia Westernization",46,"balanced",100,100,3881,3824.5,0.985441896418449,1101,14491,27946593,28046693
"Qiita11993Colombia","Colombia Westernization",46,"fourfold",100,100,1622,6198.5,3.82151664611591,433,22323,27946593,28146696
