"dataset","dataset_label","replicate","scenario","taxon","observed_prevalence","prevalence_H","prevalence_Case","positive_samples_H","positive_samples_Case","total_count","sacat_retained","sacat_formed_structural_absence","sacat_regular_structural_absence","sacat_nonregular_structural_absence","sacat_formed_relative_abundance","sacat_formed_omnibus","sacat_both_components_formed","sacat_reason_structural_absence","sacat_reason_relative_abundance","sacat_warning_structural_absence","sacat_warning_relative_abundance"
"Qiita11993Colombia","Colombia Westernization",1,"balanced","[Eubacterium]",0.725,0.7,0.75,70,75,10176,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","[Prevotella]",0.41,0.41,0.41,41,41,2374,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","[Ruminococcus]",0.93,0.9,0.96,90,96,4663,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Akkermansia",0.85,0.86,0.84,86,84,62125,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Bacteroides",0.975,0.98,0.97,98,97,24148,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Bifidobacterium",0.88,0.86,0.9,86,90,36151,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Blautia",1,1,1,100,100,17336,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Bulleidia",0.42,0.44,0.4,44,40,2426,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Catenibacterium",0.605,0.58,0.63,58,63,8773,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Clostridium",0.945,0.94,0.95,94,95,8397,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Collinsella",0.955,0.96,0.95,96,95,20345,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Coprococcus",0.99,0.99,0.99,99,99,17241,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Desulfovibrio",0.595,0.58,0.61,58,61,3528,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Dialister",0.72,0.65,0.79,65,79,11138,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Dorea",0.935,0.93,0.94,93,94,5140,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Enterococcus",0.43,0.43,0.43,43,43,2812,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Faecalibacterium",0.975,0.97,0.98,97,98,15848,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Haemophilus",0.575,0.63,0.52,63,52,3484,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Klebsiella",0.37,0.35,0.39,35,39,2889,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Megasphaera",0.325,0.34,0.31,34,31,2850,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Methanobrevibacter",0.655,0.64,0.67,64,67,24072,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Oscillospira",0.94,0.92,0.96,92,96,3416,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Parabacteroides",0.815,0.8,0.83,80,83,3195,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Paraprevotella",0.51,0.45,0.57,45,57,2499,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Phascolarctobacterium",0.575,0.56,0.59,56,59,4177,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Prevotella",0.995,0.99,1,99,100,90841,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Roseburia",0.915,0.92,0.91,92,91,4522,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Ruminococcus",0.985,0.99,0.98,99,98,50409,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Slackia",0.715,0.72,0.71,72,71,4428,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita11993Colombia","Colombia Westernization",1,"balanced","Streptococcus",0.945,0.95,0.94,95,94,16674,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
