"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_bh_rejections","familywise_type_i_error"
"Qiita11993Colombia","Colombia Westernization",1,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",1,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",1,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"Qiita11993Colombia","Colombia Westernization",1,"fourfold","SACAT",30,30,1,1,1
"Qiita11993Colombia","Colombia Westernization",1,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",1,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",2,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",2,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",2,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"Qiita11993Colombia","Colombia Westernization",2,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",2,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",2,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",3,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",3,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",3,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"Qiita11993Colombia","Colombia Westernization",3,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",3,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",3,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",4,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",4,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",4,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",4,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",4,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",4,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",5,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",5,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",5,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",5,"fourfold","SACAT",30,30,1,1,1
"Qiita11993Colombia","Colombia Westernization",5,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",5,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",6,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",6,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",6,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",6,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",6,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",6,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",7,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",7,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",7,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",7,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",7,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",7,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",8,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",8,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",8,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",8,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",8,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",8,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",9,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",9,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",9,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",9,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",9,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",9,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",10,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",10,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",10,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",10,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",10,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",10,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",11,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",11,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",11,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",11,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",11,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",11,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",12,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",12,"balanced","ZINQ",30,30,1,1,1
"Qiita11993Colombia","Colombia Westernization",12,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",12,"fourfold","SACAT",30,30,1,1,1
"Qiita11993Colombia","Colombia Westernization",12,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",12,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",13,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",13,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",13,"balanced","MaAsLin3",30,30,1,0,0
