"dataset","dataset_label","replicate","scenario","n_H","n_Case","median_depth_H","median_depth_Case","depth_ratio_Case_to_H","minimum_depth","maximum_depth","group_seed","count_seed"
"Qiita13631ASD","ASD Dan 2020",1,"balanced",100,100,4221.5,3928.5,0.930593390974772,1121,16429,28901191,29001291
"Qiita13631ASD","ASD Dan 2020",1,"fourfold",100,100,1683,6343.5,3.76916221033868,547,15154,28901191,29101294
"Qiita13631ASD","ASD Dan 2020",2,"balanced",100,100,4432.5,3926,0.885730400451213,1067,13216,28902200,29002300
"Qiita13631ASD","ASD Dan 2020",2,"fourfold",100,100,1410.5,5654,4.00850762141085,513,16231,28902200,29102303
"Qiita13631ASD","ASD Dan 2020",3,"balanced",100,100,4010,3755.5,0.936533665835411,1147,25012,28903209,29003309
"Qiita13631ASD","ASD Dan 2020",3,"fourfold",100,100,1532.5,6046,3.94518760195759,661,13846,28903209,29103312
"Qiita13631ASD","ASD Dan 2020",4,"balanced",100,100,3621.5,4271,1.17934557503797,1114,12345,28904218,29004318
"Qiita13631ASD","ASD Dan 2020",4,"fourfold",100,100,1527.5,6135.5,4.01669394435352,361,18298,28904218,29104321
"Qiita13631ASD","ASD Dan 2020",5,"balanced",100,100,3641.5,4423,1.21460936427296,1452,13986,28905227,29005327
"Qiita13631ASD","ASD Dan 2020",5,"fourfold",100,100,1517.5,6228,4.10411861614498,300,17562,28905227,29105330
"Qiita13631ASD","ASD Dan 2020",6,"balanced",100,100,4107,3936.5,0.958485512539567,1171,17217,28906236,29006336
"Qiita13631ASD","ASD Dan 2020",6,"fourfold",100,100,1446.5,6487.5,4.48496370549602,513,16650,28906236,29106339
"Qiita13631ASD","ASD Dan 2020",7,"balanced",100,100,4187.5,4166,0.994865671641791,1068,14334,28907245,29007345
"Qiita13631ASD","ASD Dan 2020",7,"fourfold",100,100,1512.5,6242.5,4.12727272727273,499,16536,28907245,29107348
"Qiita13631ASD","ASD Dan 2020",8,"balanced",100,100,3881.5,4037,1.04006183176607,991,11559,28908254,29008354
"Qiita13631ASD","ASD Dan 2020",8,"fourfold",100,100,1489,5783,3.88381464069846,516,15329,28908254,29108357
"Qiita13631ASD","ASD Dan 2020",9,"balanced",100,100,3972.5,4002,1.00742605412209,1396,18063,28909263,29009363
"Qiita13631ASD","ASD Dan 2020",9,"fourfold",100,100,1417,5953.5,4.2014820042343,367,22901,28909263,29109366
"Qiita13631ASD","ASD Dan 2020",10,"balanced",100,100,3869.5,4288.5,1.10828272386613,1211,12426,28910272,29010372
"Qiita13631ASD","ASD Dan 2020",10,"fourfold",100,100,1401.5,6404,4.5693899393507,494,16440,28910272,29110375
"Qiita13631ASD","ASD Dan 2020",11,"balanced",100,100,4073.5,4150,1.01877991898858,1182,13430,28911281,29011381
"Qiita13631ASD","ASD Dan 2020",11,"fourfold",100,100,1484,6628.5,4.46664420485175,417,27572,28911281,29111384
"Qiita13631ASD","ASD Dan 2020",12,"balanced",100,100,4031.5,4040.5,1.0022324196949,1184,10885,28912290,29012390
"Qiita13631ASD","ASD Dan 2020",12,"fourfold",100,100,1499,5807,3.87391594396264,491,18713,28912290,29112393
"Qiita13631ASD","ASD Dan 2020",13,"balanced",100,100,3924.5,4510.5,1.14931838450758,1131,14250,28913299,29013399
"Qiita13631ASD","ASD Dan 2020",13,"fourfold",100,100,1671.5,5556.5,3.32425964702363,460,20876,28913299,29113402
"Qiita13631ASD","ASD Dan 2020",14,"balanced",100,100,4099.5,4097,0.99939016953287,1351,16551,28914308,29014408
"Qiita13631ASD","ASD Dan 2020",14,"fourfold",100,100,1482,6555,4.42307692307692,628,21462,28914308,29114411
"Qiita13631ASD","ASD Dan 2020",15,"balanced",100,100,3912.5,3814,0.97482428115016,1508,14778,28915317,29015417
"Qiita13631ASD","ASD Dan 2020",15,"fourfold",100,100,1566.5,6158,3.93105649537185,504,21696,28915317,29115420
"Qiita13631ASD","ASD Dan 2020",16,"balanced",100,100,4213,4150.5,0.98516496558272,1373,12121,28916326,29016426
"Qiita13631ASD","ASD Dan 2020",16,"fourfold",100,100,1402.5,5824,4.15258467023173,424,14353,28916326,29116429
"Qiita13631ASD","ASD Dan 2020",17,"balanced",100,100,3705,3569.5,0.963427800269905,1177,11626,28917335,29017435
"Qiita13631ASD","ASD Dan 2020",17,"fourfold",100,100,1551.5,5714,3.68288752819852,300,19243,28917335,29117438
"Qiita13631ASD","ASD Dan 2020",18,"balanced",100,100,4063.5,4347,1.06976744186047,1248,18854,28918344,29018444
"Qiita13631ASD","ASD Dan 2020",18,"fourfold",100,100,1420.5,6037.5,4.25026399155227,300,21920,28918344,29118447
"Qiita13631ASD","ASD Dan 2020",19,"balanced",100,100,3666,3776.5,1.03014184397163,1245,16664,28919353,29019453
"Qiita13631ASD","ASD Dan 2020",19,"fourfold",100,100,1486,5847,3.93472409152086,453,18524,28919353,29119456
"Qiita13631ASD","ASD Dan 2020",20,"balanced",100,100,3764,4109,1.09165781083953,1244,30000,28920362,29020462
"Qiita13631ASD","ASD Dan 2020",20,"fourfold",100,100,1414,5848,4.13578500707214,431,14112,28920362,29120465
"Qiita13631ASD","ASD Dan 2020",21,"balanced",100,100,4091,4136.5,1.01112197506722,1450,13224,28921371,29021471
"Qiita13631ASD","ASD Dan 2020",21,"fourfold",100,100,1554,6002.5,3.86261261261261,658,21200,28921371,29121474
"Qiita13631ASD","ASD Dan 2020",22,"balanced",100,100,3564.5,4014,1.12610464300743,1042,15583,28922380,29022480
"Qiita13631ASD","ASD Dan 2020",22,"fourfold",100,100,1459.5,6148,4.21240150736554,576,15756,28922380,29122483
