"dataset","dataset_label","replicate","scenario","taxon","observed_prevalence","prevalence_H","prevalence_Case","positive_samples_H","positive_samples_Case","total_count","dasra_retained","dasra_formed_structural_absence","dasra_regular_structural_absence","dasra_nonregular_structural_absence","dasra_formed_relative_abundance","dasra_formed_omnibus","dasra_both_components_formed","dasra_reason_structural_absence","dasra_reason_relative_abundance","dasra_warning_structural_absence","dasra_warning_relative_abundance"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","[Prevotella]",0.545,0.53,0.56,53,56,1438,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita13631ASD","ASD Dan 2020",1,"balanced","[Ruminococcus]",1,1,1,100,100,11769,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Qiita13631ASD","ASD Dan 2020",1,"balanced","Akkermansia",0.76,0.76,0.76,76,76,3774,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","",""
"Qiita13631ASD","ASD Dan 2020",1,"balanced","Anaerostipes",0.965,0.98,0.95,98,95,2794,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita13631ASD","ASD Dan 2020",1,"balanced","Bacteroides",1,1,1,100,100,322878,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Qiita13631ASD","ASD Dan 2020",1,"balanced","Bifidobacterium",0.97,0.97,0.97,97,97,7512,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","",""
"Qiita13631ASD","ASD Dan 2020",1,"balanced","Bilophila",0.975,0.99,0.96,99,96,1613,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","",""
"Qiita13631ASD","ASD Dan 2020",1,"balanced","Blautia",1,1,1,100,100,5789,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Qiita13631ASD","ASD Dan 2020",1,"balanced","Clostridium",1,1,1,100,100,8929,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Qiita13631ASD","ASD Dan 2020",1,"balanced","Collinsella",0.76,0.82,0.7,82,70,864,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","",""
"Qiita13631ASD","ASD Dan 2020",1,"balanced","Coprococcus",0.995,1,0.99,100,99,7197,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"Qiita13631ASD","ASD Dan 2020",1,"balanced","Dialister",1,1,1,100,100,23004,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"Qiita13631ASD","ASD Dan 2020",1,"balanced","Dorea",0.995,1,0.99,100,99,5325,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
