"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_bh_rejections","familywise_type_i_error"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",1,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",1,"balanced","MaAsLin3",30,17,0.566666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",1,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",1,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",1,"fourfold","MaAsLin3",30,21,0.7,0,0
"Qiita13631ASD","ASD Dan 2020",2,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",2,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",2,"balanced","MaAsLin3",30,20,0.666666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",2,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",2,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",2,"fourfold","MaAsLin3",30,21,0.7,1,1
"Qiita13631ASD","ASD Dan 2020",3,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",3,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",3,"balanced","MaAsLin3",30,19,0.633333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",3,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",3,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",3,"fourfold","MaAsLin3",30,20,0.666666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",4,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",4,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",4,"balanced","MaAsLin3",30,15,0.5,0,0
"Qiita13631ASD","ASD Dan 2020",4,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",4,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",4,"fourfold","MaAsLin3",30,21,0.7,0,0
"Qiita13631ASD","ASD Dan 2020",5,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",5,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",5,"balanced","MaAsLin3",30,17,0.566666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",5,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",5,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",5,"fourfold","MaAsLin3",30,20,0.666666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",6,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",6,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",6,"balanced","MaAsLin3",30,14,0.466666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",6,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",6,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",6,"fourfold","MaAsLin3",30,24,0.8,0,0
"Qiita13631ASD","ASD Dan 2020",7,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",7,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",7,"balanced","MaAsLin3",30,18,0.6,0,0
"Qiita13631ASD","ASD Dan 2020",7,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",7,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",7,"fourfold","MaAsLin3",30,20,0.666666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",8,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",8,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",8,"balanced","MaAsLin3",30,20,0.666666666666667,0,0
