"dataset","dataset_label","replicate","scenario","method","taxon","p_value","native_p_value","available","status","reason"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","[Prevotella]",1,1,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","[Ruminococcus]",1,1,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Akkermansia",1,1,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Anaerostipes",0.0182747648540493,0.0182747648540493,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Bacteroides",1,1,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Bifidobacterium",0.67018079563298,0.67018079563298,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Bilophila",0.545506453512441,0.545506453512441,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Blautia",1,1,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Clostridium",1,1,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Collinsella",1,1,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Coprococcus",1,1,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Dialister",1,1,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Dorea",1,1,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Faecalibacterium",1,1,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Fusobacterium",1,1,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Haemophilus",0.649394158552528,0.649394158552528,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Lachnobacterium",0.0368816380998899,0.0368816380998899,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Lachnospira",1,1,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Megamonas",0.676526980540695,0.676526980540695,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Megasphaera",0.908592023036235,0.908592023036235,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Oscillospira",1,1,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Parabacteroides",1,1,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Paraprevotella",0.73998475973392,0.73998475973392,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Phascolarctobacterium",0.951150393319017,0.951150393319017,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Prevotella",1,1,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Roseburia",1,1,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Ruminococcus",1,1,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Streptococcus",1,1,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Sutterella",1,1,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","DASRA","Veillonella",1,1,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","ZINQ","[Prevotella]",0.220669670728466,0.220669670728466,TRUE,"available","available"
"Qiita13631ASD","ASD Dan 2020",1,"balanced","ZINQ","[Ruminococcus]",0.0617454178510533,0.0617454178510533,TRUE,"available","available"
