"dataset","dataset_label","replicate","scenario","n_H","n_Case","median_depth_H","median_depth_Case","depth_ratio_Case_to_H","minimum_depth","maximum_depth","group_seed","count_seed"
"QinJ_2012","Qin 2012",1,"balanced",100,100,3908.5,4181,1.06971984137137,1187,12050,9901134,10001234
"QinJ_2012","Qin 2012",1,"fourfold",100,100,1494,5999.5,4.01572958500669,462,17073,9901134,10101237
"QinJ_2012","Qin 2012",2,"balanced",100,100,4154,4141.5,0.99699085219066,1365,18804,9902143,10002243
"QinJ_2012","Qin 2012",2,"fourfold",100,100,1408,6133.5,4.35617897727273,618,21993,9902143,10102246
"QinJ_2012","Qin 2012",3,"balanced",100,100,4100,3977,0.97,909,14473,9903152,10003252
"QinJ_2012","Qin 2012",3,"fourfold",100,100,1531,6067,3.96276943174396,645,26179,9903152,10103255
"QinJ_2012","Qin 2012",4,"balanced",100,100,4198,4252,1.01286326822296,1133,15417,9904161,10004261
"QinJ_2012","Qin 2012",4,"fourfold",100,100,1548.5,5450,3.51953503390378,300,18070,9904161,10104264
"QinJ_2012","Qin 2012",5,"balanced",100,100,4187.5,3756,0.896955223880597,1278,13124,9905170,10005270
"QinJ_2012","Qin 2012",5,"fourfold",100,100,1603,5829.5,3.63661883967561,734,15190,9905170,10105273
"QinJ_2012","Qin 2012",6,"balanced",100,100,4316.5,3643,0.843970809683772,1058,13280,9906179,10006279
"QinJ_2012","Qin 2012",6,"fourfold",100,100,1536.5,6063,3.94598112593557,604,23599,9906179,10106282
"QinJ_2012","Qin 2012",7,"balanced",100,100,3864,3452,0.893374741200828,1255,10976,9907188,10007288
"QinJ_2012","Qin 2012",7,"fourfold",100,100,1532.5,5910,3.85644371941272,585,18420,9907188,10107291
"QinJ_2012","Qin 2012",8,"balanced",100,100,4019,4193.5,1.04341876088579,1029,14413,9908197,10008297
"QinJ_2012","Qin 2012",8,"fourfold",100,100,1537,6609.5,4.30026024723487,393,14814,9908197,10108300
"QinJ_2012","Qin 2012",9,"balanced",100,100,3881.5,4176.5,1.07600154579415,1164,14938,9909206,10009306
"QinJ_2012","Qin 2012",9,"fourfold",100,100,1682.5,5606.5,3.33224368499257,638,26241,9909206,10109309
"QinJ_2012","Qin 2012",10,"balanced",100,100,3999,4028.5,1.00737684421105,1371,11064,9910215,10010315
"QinJ_2012","Qin 2012",10,"fourfold",100,100,1384.5,5894.5,4.25749368002889,365,19268,9910215,10110318
"QinJ_2012","Qin 2012",11,"balanced",100,100,3988.5,3959,0.992603735740253,1080,22171,9911224,10011324
"QinJ_2012","Qin 2012",11,"fourfold",100,100,1486.5,5976,4.02018163471241,354,15899,9911224,10111327
"QinJ_2012","Qin 2012",12,"balanced",100,100,3974.5,3803.5,0.95697572021638,1033,10686,9912233,10012333
"QinJ_2012","Qin 2012",12,"fourfold",100,100,1604,6233.5,3.88622194513716,543,20543,9912233,10112336
"QinJ_2012","Qin 2012",13,"balanced",100,100,4058.5,4301.5,1.05987433780954,1106,10078,9913242,10013342
"QinJ_2012","Qin 2012",13,"fourfold",100,100,1381.5,6008.5,4.34925805284111,476,18549,9913242,10113345
"QinJ_2012","Qin 2012",14,"balanced",100,100,4275,3839.5,0.89812865497076,1198,14424,9914251,10014351
