"dataset","dataset_label","replicate","scenario","taxon","observed_prevalence","prevalence_H","prevalence_Case","positive_samples_H","positive_samples_Case","total_count","dasra_retained","dasra_formed_structural_absence","dasra_regular_structural_absence","dasra_nonregular_structural_absence","dasra_formed_relative_abundance","dasra_formed_omnibus","dasra_both_components_formed","dasra_reason_structural_absence","dasra_reason_relative_abundance","dasra_warning_structural_absence","dasra_warning_relative_abundance"
"QinJ_2012","Qin 2012",1,"balanced","Akkermansia",0.21,0.2,0.22,20,22,4868,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Alistipes",0.82,0.78,0.86,78,86,28836,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Anaerostipes",0.815,0.77,0.86,77,86,5870,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Bacteroides",0.99,0.98,1,98,100,181084,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Bifidobacterium",0.73,0.71,0.75,71,75,23107,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Blautia",0.925,0.9,0.95,90,95,6117,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Collinsella",0.625,0.62,0.63,62,63,4173,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Coprococcus",0.725,0.69,0.76,69,76,4372,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Dialister",0.385,0.34,0.43,34,43,11209,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Dorea",0.87,0.89,0.85,89,85,4408,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Enterocloster",0.695,0.68,0.71,68,71,4374,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Escherichia",0.9,0.9,0.9,90,90,27119,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Eubacterium",0.925,0.9,0.95,90,95,27474,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Faecalibacterium",0.89,0.87,0.91,87,91,38845,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Firmicutes_unclassified",0.65,0.55,0.75,55,75,5524,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Fusicatenibacter",0.79,0.75,0.83,75,83,4713,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Klebsiella",0.555,0.54,0.57,54,57,8706,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Lachnospira",0.72,0.73,0.71,73,71,29414,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Lachnospiraceae_unclassified",0.6,0.6,0.6,60,60,16143,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Lactobacillus",0.235,0.19,0.28,19,28,4569,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Mediterraneibacter",0.95,0.96,0.94,96,94,13224,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Oscillibacter",0.58,0.52,0.64,52,64,3612,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Parabacteroides",0.97,0.97,0.97,97,97,25146,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Phascolarctobacterium",0.81,0.78,0.84,78,84,7285,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Phocaeicola",0.985,0.97,1,97,100,146264,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Prevotella",0.61,0.61,0.61,61,61,119789,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Roseburia",0.865,0.84,0.89,84,89,33853,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Ruminococcaceae_unclassified",0.315,0.22,0.41,22,41,5263,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Ruminococcus",0.74,0.71,0.77,71,77,20006,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"balanced","Streptococcus",0.66,0.65,0.67,65,67,6329,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"fourfold","Akkermansia",0.21,0.16,0.26,16,26,3992,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"fourfold","Alistipes",0.785,0.68,0.89,68,89,33208,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"QinJ_2012","Qin 2012",1,"fourfold","Anaerostipes",0.78,0.68,0.88,68,88,4812,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
