"dataset","dataset_label","replicate","scenario","method","taxon","p_value","native_p_value","available","status","reason"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Akkermansia",1,1,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Alistipes",0.0461956250983292,0.0461956250983292,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Anaerostipes",0.308332302680355,0.308332302680355,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Bacteroides",0.314843343842641,0.314843343842641,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Bifidobacterium",0.167583124294505,0.167583124294505,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Blautia",0.61527720874514,0.61527720874514,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Collinsella",1,1,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Coprococcus",0.539000306124901,0.539000306124901,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Dialister",0.386232238794825,0.386232238794825,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Dorea",0.523747688262602,0.523747688262602,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Enterocloster",0.678651789392531,0.678651789392531,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Escherichia",0.475898123631164,0.475898123631164,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Eubacterium",0.626286905720664,0.626286905720664,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Faecalibacterium",0.73405192680283,0.73405192680283,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Firmicutes_unclassified",0.010802461801942,0.010802461801942,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Fusicatenibacter",0.456438737854762,0.456438737854762,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Klebsiella",1,1,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Lachnospira",0.357817674702906,0.357817674702906,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Lachnospiraceae_unclassified",1,1,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Lactobacillus",0.0464823221079813,0.0464823221079813,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Mediterraneibacter",0.481591673481889,0.481591673481889,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Oscillibacter",0.200166493847305,0.200166493847305,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Parabacteroides",1,1,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Phascolarctobacterium",0.545079172765867,0.545079172765867,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Phocaeicola",0.163543937194958,0.163543937194958,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Prevotella",1,1,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Roseburia",0.602558692464926,0.602558692464926,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Ruminococcaceae_unclassified",0.00490868530550889,0.00490868530550889,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Ruminococcus",0.648711360202222,0.648711360202222,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","DASRA","Streptococcus",0.938627862566974,0.938627862566974,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","ZINQ","Akkermansia",0.604434338337533,0.604434338337533,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","ZINQ","Alistipes",0.0714825061890142,0.0714825061890142,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","ZINQ","Anaerostipes",0.86034914625878,0.86034914625878,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","ZINQ","Bacteroides",0.340896727289086,0.340896727289086,TRUE,"available","available"
"QinJ_2012","Qin 2012",1,"balanced","ZINQ","Bifidobacterium",0.10574299568859,0.10574299568859,TRUE,"available","available"
