"dataset","dataset_label","replicate","scenario","n_H","n_Case","median_depth_H","median_depth_Case","depth_ratio_Case_to_H","minimum_depth","maximum_depth","group_seed","count_seed"
"SchirmerM_2016","Schirmer 2016",1,"balanced",100,100,4244.5,4245.5,1.00023559901048,1091,12930,7901128,8001228
"SchirmerM_2016","Schirmer 2016",1,"fourfold",100,100,1538.5,5862.5,3.81052973675658,520,15294,7901128,8101231
"SchirmerM_2016","Schirmer 2016",2,"balanced",100,100,3819,3799.5,0.994893951296151,1010,12280,7902137,8002237
"SchirmerM_2016","Schirmer 2016",2,"fourfold",100,100,1403,5879,4.19030648610121,355,18602,7902137,8102240
"SchirmerM_2016","Schirmer 2016",3,"balanced",100,100,3576,3938.5,1.10137024608501,944,18197,7903146,8003246
"SchirmerM_2016","Schirmer 2016",3,"fourfold",100,100,1392,5656,4.0632183908046,534,16957,7903146,8103249
"SchirmerM_2016","Schirmer 2016",4,"balanced",100,100,3845.5,4188,1.08906514107398,980,14234,7904155,8004255
"SchirmerM_2016","Schirmer 2016",4,"fourfold",100,100,1487,6259,4.20914593140551,575,18323,7904155,8104258
"SchirmerM_2016","Schirmer 2016",5,"balanced",100,100,4253.5,4086.5,0.960738215587164,1333,12641,7905164,8005264
"SchirmerM_2016","Schirmer 2016",5,"fourfold",100,100,1580,6780.5,4.29145569620253,524,13031,7905164,8105267
"SchirmerM_2016","Schirmer 2016",6,"balanced",100,100,4058,4316,1.06357811729916,1129,13416,7906173,8006273
"SchirmerM_2016","Schirmer 2016",6,"fourfold",100,100,1551.5,5606,3.61327747341283,433,21778,7906173,8106276
"SchirmerM_2016","Schirmer 2016",7,"balanced",100,100,3785.5,4527.5,1.19601109496764,1160,14193,7907182,8007282
"SchirmerM_2016","Schirmer 2016",7,"fourfold",100,100,1587.5,5806.5,3.65763779527559,480,19454,7907182,8107285
"SchirmerM_2016","Schirmer 2016",8,"balanced",100,100,3922,3906.5,0.99604793472718,941,10693,7908191,8008291
"SchirmerM_2016","Schirmer 2016",8,"fourfold",100,100,1313.5,6532,4.97297297297297,380,16204,7908191,8108294
"SchirmerM_2016","Schirmer 2016",9,"balanced",100,100,4034,4509.5,1.11787307882995,1341,12017,7909200,8009300
"SchirmerM_2016","Schirmer 2016",9,"fourfold",100,100,1579,6155.5,3.89835338822039,689,17843,7909200,8109303
"SchirmerM_2016","Schirmer 2016",10,"balanced",100,100,3710.5,3852.5,1.03826977496294,1384,12100,7910209,8010309
"SchirmerM_2016","Schirmer 2016",10,"fourfold",100,100,1484.5,6245.5,4.20714045133041,424,20016,7910209,8110312
"SchirmerM_2016","Schirmer 2016",11,"balanced",100,100,4000.5,3920.5,0.980002499687539,1049,10444,7911218,8011318
"SchirmerM_2016","Schirmer 2016",11,"fourfold",100,100,1630,6206,3.80736196319018,508,25996,7911218,8111321
"SchirmerM_2016","Schirmer 2016",12,"balanced",100,100,4076,3929.5,0.964057899901865,1146,11000,7912227,8012327
"SchirmerM_2016","Schirmer 2016",12,"fourfold",100,100,1607.5,5854.5,3.64199066874028,589,28345,7912227,8112330
"SchirmerM_2016","Schirmer 2016",13,"balanced",100,100,3898,3683,0.944843509492047,541,11592,7913236,8013336
"SchirmerM_2016","Schirmer 2016",13,"fourfold",100,100,1487.5,5749.5,3.86521008403361,424,17793,7913236,8113339
"SchirmerM_2016","Schirmer 2016",14,"balanced",100,100,4029,3929.5,0.9753040456689,1432,12488,7914245,8014345
"SchirmerM_2016","Schirmer 2016",14,"fourfold",100,100,1354.5,5796,4.27906976744186,674,15843,7914245,8114348
"SchirmerM_2016","Schirmer 2016",15,"balanced",100,100,3666.5,3760.5,1.02563752897859,864,15691,7915254,8015354
"SchirmerM_2016","Schirmer 2016",15,"fourfold",100,100,1449.5,5860.5,4.04311831666092,568,17760,7915254,8115357
"SchirmerM_2016","Schirmer 2016",16,"balanced",100,100,4094.5,4224,1.03162779338137,874,10845,7916263,8016363
"SchirmerM_2016","Schirmer 2016",16,"fourfold",100,100,1536,5927,3.85872395833333,602,15855,7916263,8116366
"SchirmerM_2016","Schirmer 2016",17,"balanced",100,100,3663,3626.5,0.99003549003549,1359,29587,7917272,8017372
"SchirmerM_2016","Schirmer 2016",17,"fourfold",100,100,1503.5,5975,3.97406052544064,460,16439,7917272,8117375
"SchirmerM_2016","Schirmer 2016",18,"balanced",100,100,4304.5,3975.5,0.92356835869439,1255,13588,7918281,8018381
"SchirmerM_2016","Schirmer 2016",18,"fourfold",100,100,1514.5,6425,4.24232419940574,349,18188,7918281,8118384
"SchirmerM_2016","Schirmer 2016",19,"balanced",100,100,3722.5,3776,1.01437206178643,753,15141,7919290,8019390
"SchirmerM_2016","Schirmer 2016",19,"fourfold",100,100,1370.5,5945.5,4.33819773805181,447,15744,7919290,8119393
"SchirmerM_2016","Schirmer 2016",20,"balanced",100,100,3988,3644,0.913741223671013,1304,10813,7920299,8020399
"SchirmerM_2016","Schirmer 2016",20,"fourfold",100,100,1589.5,5697.5,3.58446052217679,573,20338,7920299,8120402
"SchirmerM_2016","Schirmer 2016",21,"balanced",100,100,3989,3536,0.886437703685134,1264,11406,7921308,8021408
"SchirmerM_2016","Schirmer 2016",21,"fourfold",100,100,1538,5379,3.49739921976593,536,16684,7921308,8121411
"SchirmerM_2016","Schirmer 2016",22,"balanced",100,100,3596,3774.5,1.04963848720801,940,16066,7922317,8022417
