"dataset","dataset_label","replicate","scenario","method","taxon","p_value","native_p_value","available","status","reason"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Agathobaculum",0.658936771447661,0.658936771447661,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Akkermansia",0.696761530112794,0.696761530112794,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Alistipes",0.320457341235217,0.320457341235217,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Anaerobutyricum",0.310461670974953,0.310461670974953,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Anaerostipes",0.646383167829833,0.646383167829833,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Bacteroides",0.658932482980918,0.658932482980918,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Barnesiella",0.716912693826054,0.716912693826054,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Bifidobacterium",0.348735807749126,0.348735807749126,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Blautia",0.0688052938426264,0.0688052938426264,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Collinsella",1,1,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Coprococcus",0.195873624890072,0.195873624890072,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Dialister",0.46122397576346,0.46122397576346,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Dorea",1,1,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Eubacterium",0.952467193056687,0.952467193056687,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Faecalibacterium",0.552414865660731,0.552414865660731,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Firmicutes_unclassified",0.325552408742346,0.325552408742346,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Fusicatenibacter",1,1,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Lachnospira",0.563210468149155,0.563210468149155,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Lachnospiraceae_unclassified",0.166086749040783,0.166086749040783,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Mediterraneibacter",1,1,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Methanobrevibacter",0.587435007668511,0.587435007668511,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Oscillibacter",1,1,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Parabacteroides",0.634163188561708,0.634163188561708,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Phascolarctobacterium",0.218703294899908,0.218703294899908,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Phocaeicola",1,1,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Prevotella",0.0687722422957374,0.0687722422957374,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Roseburia",1,1,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Ruminococcaceae_unclassified",1,1,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Ruminococcus",0.735884516346866,0.735884516346866,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","DASRA","Streptococcus",1,1,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","ZINQ","Agathobaculum",0.985704848757257,0.985704848757257,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","ZINQ","Akkermansia",0.937364621540025,0.937364621540025,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","ZINQ","Alistipes",0.401281496728412,0.401281496728412,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","ZINQ","Anaerobutyricum",0.251847443745526,0.251847443745526,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","ZINQ","Anaerostipes",0.793194314736174,0.793194314736174,TRUE,"available","available"
"SchirmerM_2016","Schirmer 2016",1,"balanced","ZINQ","Bacteroides",0.736113177739644,0.736113177739644,TRUE,"available","available"
