"dataset","dataset_label","replicate","scenario","n_H","n_Case","median_depth_H","median_depth_Case","depth_ratio_Case_to_H","minimum_depth","maximum_depth","group_seed","count_seed"
"VatanenT_2016","Vatanen 2016",1,"balanced",100,100,4290,3870.5,0.902214452214452,1205,14867,17901158,18001258
"VatanenT_2016","Vatanen 2016",1,"fourfold",100,100,1462,5954.5,4.07284541723666,603,21891,17901158,18101261
"VatanenT_2016","Vatanen 2016",2,"balanced",100,100,4186,3942,0.941710463449594,1297,10771,17902167,18002267
"VatanenT_2016","Vatanen 2016",2,"fourfold",100,100,1498.5,6122.5,4.08575241908575,512,17168,17902167,18102270
"VatanenT_2016","Vatanen 2016",3,"balanced",100,100,3834,4344,1.13302034428795,1238,11591,17903176,18003276
"VatanenT_2016","Vatanen 2016",3,"fourfold",100,100,1458.5,6718.5,4.60644497771683,390,20947,17903176,18103279
"VatanenT_2016","Vatanen 2016",4,"balanced",100,100,3947,3681,0.932607043324044,1072,14175,17904185,18004285
"VatanenT_2016","Vatanen 2016",4,"fourfold",100,100,1520,6146.5,4.04375,627,18870,17904185,18104288
"VatanenT_2016","Vatanen 2016",5,"balanced",100,100,3849.5,4047.5,1.05143525133134,1122,13683,17905194,18005294
"VatanenT_2016","Vatanen 2016",5,"fourfold",100,100,1504.5,5320,3.53605849119309,513,15481,17905194,18105297
"VatanenT_2016","Vatanen 2016",6,"balanced",100,100,3556.5,3606,1.01391817798397,889,9573,17906203,18006303
"VatanenT_2016","Vatanen 2016",6,"fourfold",100,100,1562,5601,3.58578745198463,591,17288,17906203,18106306
"VatanenT_2016","Vatanen 2016",7,"balanced",100,100,4132,4173,1.00992255566312,1056,15063,17907212,18007312
"VatanenT_2016","Vatanen 2016",7,"fourfold",100,100,1446.5,6235.5,4.31075008641549,537,22119,17907212,18107315
"VatanenT_2016","Vatanen 2016",8,"balanced",100,100,3684,4677,1.26954397394137,1304,11524,17908221,18008321
"VatanenT_2016","Vatanen 2016",8,"fourfold",100,100,1374.5,6082.5,4.42524554383412,626,22293,17908221,18108324
"VatanenT_2016","Vatanen 2016",9,"balanced",100,100,4053,3819,0.942264988897113,1280,13802,17909230,18009330
"VatanenT_2016","Vatanen 2016",9,"fourfold",100,100,1488.5,5200.5,3.49378569029224,609,17531,17909230,18109333
"VatanenT_2016","Vatanen 2016",10,"balanced",100,100,4000.5,4564,1.1408573928259,1026,11515,17910239,18010339
"VatanenT_2016","Vatanen 2016",10,"fourfold",100,100,1443,5995.5,4.15488565488566,419,28939,17910239,18110342
"VatanenT_2016","Vatanen 2016",11,"balanced",100,100,3801,3710,0.976058931860037,1376,10656,17911248,18011348
"VatanenT_2016","Vatanen 2016",11,"fourfold",100,100,1555.5,5804.5,3.73159755705561,478,13468,17911248,18111351
"VatanenT_2016","Vatanen 2016",12,"balanced",100,100,4657.5,4146.5,0.890284487385937,911,14019,17912257,18012357
"VatanenT_2016","Vatanen 2016",12,"fourfold",100,100,1669,6480.5,3.88286399041342,578,16948,17912257,18112360
"VatanenT_2016","Vatanen 2016",13,"balanced",100,100,4017.5,3648,0.908027380211574,1374,12174,17913266,18013366
"VatanenT_2016","Vatanen 2016",13,"fourfold",100,100,1447.5,5654.5,3.90639032815199,618,14009,17913266,18113369
"VatanenT_2016","Vatanen 2016",14,"balanced",100,100,3983.5,3812.5,0.957072925819003,840,11484,17914275,18014375
"VatanenT_2016","Vatanen 2016",14,"fourfold",100,100,1449,6282.5,4.33574879227053,536,17450,17914275,18114378
"VatanenT_2016","Vatanen 2016",15,"balanced",100,100,4021.5,4095.5,1.01840109411911,1433,12744,17915284,18015384
"VatanenT_2016","Vatanen 2016",15,"fourfold",100,100,1365,5799,4.24835164835165,663,17583,17915284,18115387
"VatanenT_2016","Vatanen 2016",16,"balanced",100,100,4008.5,4298.5,1.0723462641886,940,12041,17916293,18016393
"VatanenT_2016","Vatanen 2016",16,"fourfold",100,100,1516,5898.5,3.89083113456464,608,19077,17916293,18116396
"VatanenT_2016","Vatanen 2016",17,"balanced",100,100,3919,4060,1.0359785659607,1021,18437,17917302,18017402
"VatanenT_2016","Vatanen 2016",17,"fourfold",100,100,1700,6252.5,3.67794117647059,449,15022,17917302,18117405
"VatanenT_2016","Vatanen 2016",18,"balanced",100,100,4016,3857,0.960408366533865,848,17313,17918311,18018411
"VatanenT_2016","Vatanen 2016",18,"fourfold",100,100,1722.5,6619.5,3.84296081277213,535,17288,17918311,18118414
"VatanenT_2016","Vatanen 2016",19,"balanced",100,100,3757,3955,1.05270162363588,709,11140,17919320,18019420
