"dataset","dataset_label","replicate","scenario","method","taxon","p_value","native_p_value","available","status","reason"
"VatanenT_2016","Vatanen 2016",1,"balanced","DASRA","Akkermansia",0.250262796770621,0.250262796770621,TRUE,"available","available"
"VatanenT_2016","Vatanen 2016",1,"balanced","DASRA","Alistipes",1,1,TRUE,"available","available"
"VatanenT_2016","Vatanen 2016",1,"balanced","DASRA","Anaerostipes",1,1,TRUE,"available","available"
"VatanenT_2016","Vatanen 2016",1,"balanced","DASRA","Bacteroides",0.36010898518874,0.36010898518874,TRUE,"available","available"
"VatanenT_2016","Vatanen 2016",1,"balanced","DASRA","Barnesiella",0.712958581614452,0.712958581614452,TRUE,"available","available"
"VatanenT_2016","Vatanen 2016",1,"balanced","DASRA","Bifidobacterium",0.762458996409868,0.762458996409868,TRUE,"available","available"
"VatanenT_2016","Vatanen 2016",1,"balanced","DASRA","Blautia",1,1,TRUE,"available","available"
"VatanenT_2016","Vatanen 2016",1,"balanced","DASRA","Collinsella",1,1,TRUE,"available","available"
"VatanenT_2016","Vatanen 2016",1,"balanced","DASRA","Dorea",1,1,TRUE,"available","available"
"VatanenT_2016","Vatanen 2016",1,"balanced","DASRA","Eggerthella",0.378966427003444,0.378966427003444,TRUE,"available","available"
"VatanenT_2016","Vatanen 2016",1,"balanced","DASRA","Enterococcus",0.613995624507128,0.613995624507128,TRUE,"available","available"
"VatanenT_2016","Vatanen 2016",1,"balanced","DASRA","Erysipelatoclostridium",0.948140684074901,0.948140684074901,TRUE,"available","available"
"VatanenT_2016","Vatanen 2016",1,"balanced","DASRA","Escherichia",0.888568315111215,0.888568315111215,TRUE,"available","available"
"VatanenT_2016","Vatanen 2016",1,"balanced","DASRA","Eubacterium",0.199160627081255,0.199160627081255,TRUE,"available","available"
"VatanenT_2016","Vatanen 2016",1,"balanced","DASRA","Faecalibacterium",0.168386330502434,0.168386330502434,TRUE,"available","available"
"VatanenT_2016","Vatanen 2016",1,"balanced","DASRA","Flavonifractor",1,1,TRUE,"available","available"
