"dataset","dataset_label","replicate","scenario","n_H","n_Case","median_depth_H","median_depth_Case","depth_ratio_Case_to_H","minimum_depth","maximum_depth","group_seed","count_seed"
"VilaAV_2018","Vila 2018",1,"balanced",100,100,3959.5,3614,0.912741507766132,1368,12440,10901137,11001237
"VilaAV_2018","Vila 2018",1,"fourfold",100,100,1599,6062.5,3.79143214509068,590,21385,10901137,11101240
"VilaAV_2018","Vila 2018",2,"balanced",100,100,3890,4247.5,1.09190231362468,1072,18019,10902146,11002246
"VilaAV_2018","Vila 2018",2,"fourfold",100,100,1502,6177,4.11251664447403,505,16075,10902146,11102249
"VilaAV_2018","Vila 2018",3,"balanced",100,100,4123.5,4154,1.00739662907724,1250,13780,10903155,11003255
"VilaAV_2018","Vila 2018",3,"fourfold",100,100,1386.5,5579,4.02380093761269,428,12934,10903155,11103258
"VilaAV_2018","Vila 2018",4,"balanced",100,100,3674,3979.5,1.08315187806206,1137,17166,10904164,11004264
"VilaAV_2018","Vila 2018",4,"fourfold",100,100,1517.5,6255.5,4.12224052718287,395,14016,10904164,11104267
"VilaAV_2018","Vila 2018",5,"balanced",100,100,4204.5,4211,1.00154596265906,1168,11465,10905173,11005273
"VilaAV_2018","Vila 2018",5,"fourfold",100,100,1545,5635.5,3.64757281553398,567,30000,10905173,11105276
"VilaAV_2018","Vila 2018",6,"balanced",100,100,4524,4303,0.951149425287356,1490,14809,10906182,11006282
"VilaAV_2018","Vila 2018",6,"fourfold",100,100,1504.5,5748,3.82053838484546,542,18227,10906182,11106285
"VilaAV_2018","Vila 2018",7,"balanced",100,100,4146.5,4179.5,1.00795851923309,1001,12430,10907191,11007291
"VilaAV_2018","Vila 2018",7,"fourfold",100,100,1514,6027.5,3.98117569352708,553,16228,10907191,11107294
"VilaAV_2018","Vila 2018",8,"balanced",100,100,4186,3839,0.917104634495939,1351,16165,10908200,11008300
"VilaAV_2018","Vila 2018",8,"fourfold",100,100,1452.5,6226.5,4.28674698795181,516,17499,10908200,11108303
"VilaAV_2018","Vila 2018",9,"balanced",100,100,3743.5,3841,1.02604514491786,649,12032,10909209,11009309
"VilaAV_2018","Vila 2018",9,"fourfold",100,100,1557.5,6211.5,3.98812199036918,513,21204,10909209,11109312
"VilaAV_2018","Vila 2018",10,"balanced",100,100,3869.5,4167,1.07688331825817,1187,13006,10910218,11010318
"VilaAV_2018","Vila 2018",10,"fourfold",100,100,1532.5,5800.5,3.78499184339315,523,16496,10910218,11110321
"VilaAV_2018","Vila 2018",11,"balanced",100,100,4044.5,4025.5,0.995302262331561,1077,12308,10911227,11011327
"VilaAV_2018","Vila 2018",11,"fourfold",100,100,1457,5802.5,3.9824982841455,653,19079,10911227,11111330
"VilaAV_2018","Vila 2018",12,"balanced",100,100,3843.5,3923,1.02068427214778,1082,12376,10912236,11012336
"VilaAV_2018","Vila 2018",12,"fourfold",100,100,1495,5895.5,3.94347826086957,543,18509,10912236,11112339
"VilaAV_2018","Vila 2018",13,"balanced",100,100,4068,3945.5,0.969886922320551,1515,16879,10913245,11013345
"VilaAV_2018","Vila 2018",13,"fourfold",100,100,1427.5,5526.5,3.87145359019264,663,20429,10913245,11113348
"VilaAV_2018","Vila 2018",14,"balanced",100,100,4251,3577,0.841449070806869,881,16849,10914254,11014354
"VilaAV_2018","Vila 2018",14,"fourfold",100,100,1515.5,5688,3.75321676014517,466,17101,10914254,11114357
"VilaAV_2018","Vila 2018",15,"balanced",100,100,3836,4217.5,1.09945255474453,992,12558,10915263,11015363
"VilaAV_2018","Vila 2018",15,"fourfold",100,100,1477,7015.5,4.7498307379824,663,17183,10915263,11115366
"VilaAV_2018","Vila 2018",16,"balanced",100,100,3966,3836.5,0.967347453353505,1253,13056,10916272,11016372
"VilaAV_2018","Vila 2018",16,"fourfold",100,100,1455,5887.5,4.04639175257732,568,22351,10916272,11116375
"VilaAV_2018","Vila 2018",17,"balanced",100,100,4033.5,3855.5,0.955869592165613,1061,11142,10917281,11017381
"VilaAV_2018","Vila 2018",17,"fourfold",100,100,1712,6069,3.54497663551402,508,16002,10917281,11117384
"VilaAV_2018","Vila 2018",18,"balanced",100,100,4144.5,4202.5,1.01399445047654,1155,17508,10918290,11018390
"VilaAV_2018","Vila 2018",18,"fourfold",100,100,1589,6465,4.06859660163625,419,17459,10918290,11118393
"VilaAV_2018","Vila 2018",19,"balanced",100,100,3870,4011.5,1.03656330749354,1613,12142,10919299,11019399
"VilaAV_2018","Vila 2018",19,"fourfold",100,100,1400,5790,4.13571428571429,495,16088,10919299,11119402
"VilaAV_2018","Vila 2018",20,"balanced",100,100,4097.5,4284.5,1.04563758389262,1122,13290,10920308,11020408
"VilaAV_2018","Vila 2018",20,"fourfold",100,100,1301,6096,4.68562644119908,552,16591,10920308,11120411
"VilaAV_2018","Vila 2018",21,"balanced",100,100,4269.5,4134.5,0.968380372408947,1141,11267,10921317,11021417
"VilaAV_2018","Vila 2018",21,"fourfold",100,100,1488,6182.5,4.1549059139785,351,19376,10921317,11121420
"VilaAV_2018","Vila 2018",22,"balanced",100,100,4163.5,3893,0.935030623273688,1228,11103,10922326,11022426
"VilaAV_2018","Vila 2018",22,"fourfold",100,100,1604.5,6100,3.8018074166407,671,18435,10922326,11122429
