"dataset","dataset_label","replicate","scenario","taxon","observed_prevalence","prevalence_H","prevalence_Case","positive_samples_H","positive_samples_Case","total_count","dasra_retained","dasra_formed_structural_absence","dasra_regular_structural_absence","dasra_nonregular_structural_absence","dasra_formed_relative_abundance","dasra_formed_omnibus","dasra_both_components_formed","dasra_reason_structural_absence","dasra_reason_relative_abundance","dasra_warning_structural_absence","dasra_warning_relative_abundance"
"VilaAV_2018","Vila 2018",1,"balanced","Acidaminococcus",0.105,0.1,0.11,10,11,4733,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"balanced","Agathobaculum",0.73,0.74,0.72,74,72,3821,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"balanced","Akkermansia",0.325,0.32,0.33,32,33,9444,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"balanced","Alistipes",0.735,0.76,0.71,76,71,15604,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"balanced","Anaerobutyricum",0.815,0.8,0.83,80,83,12829,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"balanced","Anaerostipes",0.885,0.85,0.92,85,92,29490,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"balanced","Bacteroides",0.925,0.9,0.95,90,95,57966,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"balanced","Barnesiella",0.5,0.52,0.48,52,48,4782,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"balanced","Bifidobacterium",0.925,0.92,0.93,92,93,108029,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"balanced","Blautia",0.97,0.94,1,94,100,41203,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"balanced","Clostridium",0.59,0.64,0.54,64,54,5298,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"balanced","Collinsella",0.79,0.75,0.83,75,83,42042,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"balanced","Coprococcus",0.755,0.78,0.73,78,73,22308,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",1,"balanced","Dorea",0.865,0.87,0.86,87,86,31457,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
