"dataset","dataset_label","replicate","scenario","method","taxon","p_value","native_p_value","available","status","reason"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Acidaminococcus",1,1,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Agathobaculum",1,1,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Akkermansia",1,1,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Alistipes",0.246953933612133,0.246953933612133,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Anaerobutyricum",1,1,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Anaerostipes",0.239197150629042,0.239197150629042,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Bacteroides",0.359072996414625,0.359072996414625,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Barnesiella",1,1,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Bifidobacterium",1,1,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Blautia",0.0273459694541633,0.0273459694541633,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Clostridium",0.523661942472043,0.523661942472043,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Collinsella",0.216689387741714,0.216689387741714,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Coprococcus",0.823586100206387,0.823586100206387,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Dorea",1,1,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Enterococcus",0.847339018255395,0.847339018255395,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Escherichia",1,1,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Eubacterium",0.566249972924672,0.566249972924672,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Faecalibacterium",0.310434208489197,0.310434208489197,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Firmicutes_unclassified",1,1,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Fusicatenibacter",0.624615658998422,0.624615658998422,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Lachnospira",0.176824083673404,0.176824083673404,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Lachnospiraceae_unclassified",0.783764112810367,0.783764112810367,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Lactobacillus",0.282975718818931,0.282975718818931,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Mediterraneibacter",0.0393228855555239,0.0393228855555239,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Parabacteroides",1,1,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Phocaeicola",1,1,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Prevotella",0.30600373925951,0.30600373925951,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Roseburia",0.763875688689223,0.763875688689223,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Ruminococcus",1,1,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","DASRA","Streptococcus",0.522080136774792,0.522080136774792,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Acidaminococcus",0.718536349121285,0.718536349121285,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Agathobaculum",0.457824143147477,0.457824143147477,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Akkermansia",0.959415527267778,0.959415527267778,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Alistipes",0.22945143482347,0.22945143482347,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Anaerobutyricum",0.504858795264092,0.504858795264092,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Anaerostipes",0.67682880388446,0.67682880388446,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Bacteroides",0.882762212643958,0.882762212643958,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Barnesiella",0.481329969496941,0.481329969496941,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Bifidobacterium",0.904526901452395,0.904526901452395,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Blautia",0.17766873305433,0.17766873305433,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Clostridium",0.749623942261908,0.749623942261908,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Collinsella",0.458057293557078,0.458057293557078,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Coprococcus",0.107103100676554,0.107103100676554,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Dorea",0.0120494391825641,0.0120494391825641,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Enterococcus",0.755695438930749,0.755695438930749,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Escherichia",0.68834664034202,0.68834664034202,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Eubacterium",0.398616334620278,0.398616334620278,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Faecalibacterium",0.0264496186867788,0.0264496186867788,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Firmicutes_unclassified",0.795254158689544,0.795254158689544,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Fusicatenibacter",0.860392306909514,0.860392306909514,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Lachnospira",0.21129488656322,0.21129488656322,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Lachnospiraceae_unclassified",0.441738257419764,0.441738257419764,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Lactobacillus",0.591879963128467,0.591879963128467,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Mediterraneibacter",0.0188574858407418,0.0188574858407418,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Parabacteroides",0.711819281964514,0.711819281964514,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Phocaeicola",0.432054525170775,0.432054525170775,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Prevotella",0.653226738972195,0.653226738972195,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Roseburia",0.289930955272794,0.289930955272794,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Ruminococcus",0.385704904169071,0.385704904169071,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","ZINQ","Streptococcus",0.727860934956943,0.727860934956943,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Acidaminococcus",0.924532630968645,0.924532630968645,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Agathobaculum",0.647360217616674,0.647360217616674,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Akkermansia",0.532861551452874,0.532861551452874,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Alistipes",0.261376757909461,0.261376757909461,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Anaerobutyricum",0.87832181354722,0.87832181354722,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Anaerostipes",0.27151573603895,0.27151573603895,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Bacteroides",0.342208731499978,0.342208731499978,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Barnesiella",0.687564031917307,0.687564031917307,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Bifidobacterium",0.973177618442863,0.973177618442863,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Blautia",0.13646724137892,0.13646724137892,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Clostridium",0.323045677540305,0.323045677540305,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Collinsella",0.190965307069887,0.190965307069887,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Coprococcus",0.65755362440644,0.65755362440644,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Dorea",0.643964123951999,0.643964123951999,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Enterococcus",0.553838471752568,0.553838471752568,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Escherichia",0.925338059307266,0.925338059307266,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Eubacterium",0.227046108995186,0.227046108995186,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Faecalibacterium",0.193148647333067,0.193148647333067,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Firmicutes_unclassified",0.850710955934305,0.850710955934305,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Fusicatenibacter",0.482640897157901,0.482640897157901,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Lachnospira",0.272627692654134,0.272627692654134,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Lachnospiraceae_unclassified",0.706779749814022,0.706779749814022,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Lactobacillus",0.289675825591336,0.289675825591336,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Mediterraneibacter",0.0161417160764271,0.0161417160764271,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Parabacteroides",0.702247821759023,0.702247821759023,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Phocaeicola",0.900055990760498,0.900055990760498,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Prevotella",0.173626173093134,0.173626173093134,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Roseburia",0.673884455461817,0.673884455461817,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Ruminococcus",0.809536197894272,0.809536197894272,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"balanced","MaAsLin3","Streptococcus",0.277916745349082,0.277916745349082,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"fourfold","DASRA","Acidaminococcus",0.417478155200292,0.417478155200292,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"fourfold","DASRA","Agathobaculum",1,1,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"fourfold","DASRA","Akkermansia",1,1,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"fourfold","DASRA","Alistipes",0.824797979072514,0.824797979072514,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"fourfold","DASRA","Anaerobutyricum",1,1,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"fourfold","DASRA","Anaerostipes",0.146077572196379,0.146077572196379,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"fourfold","DASRA","Bacteroides",0.135224714105947,0.135224714105947,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"fourfold","DASRA","Barnesiella",0.915890875189174,0.915890875189174,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"fourfold","DASRA","Bifidobacterium",1,1,TRUE,"available","available"
"VilaAV_2018","Vila 2018",1,"fourfold","DASRA","Blautia",0.0232625219171329,0.0232625219171329,TRUE,"available","available"
