"dataset","dataset_label","replicate","scenario","n_H","n_Case","median_depth_H","median_depth_Case","depth_ratio_Case_to_H","minimum_depth","maximum_depth","group_seed","count_seed"
"YachidaS_2019","Yachida 2019",1,"balanced",100,100,3969,4117.5,1.03741496598639,1144,11572,6901125,7001225
"YachidaS_2019","Yachida 2019",1,"fourfold",100,100,1585.5,6230,3.92935982339956,465,15672,6901125,7101228
"YachidaS_2019","Yachida 2019",2,"balanced",100,100,4073,3732,0.916277927817334,1151,11670,6902134,7002234
"YachidaS_2019","Yachida 2019",2,"fourfold",100,100,1561,5886.5,3.7709801409353,418,24780,6902134,7102237
"YachidaS_2019","Yachida 2019",3,"balanced",100,100,4181,4261,1.01913417842621,1018,10614,6903143,7003243
"YachidaS_2019","Yachida 2019",3,"fourfold",100,100,1608,6471.5,4.02456467661692,438,19672,6903143,7103246
"YachidaS_2019","Yachida 2019",4,"balanced",100,100,3664.5,4001,1.09182698867513,1185,16108,6904152,7004252
"YachidaS_2019","Yachida 2019",4,"fourfold",100,100,1483,5846,3.94200944032367,414,30000,6904152,7104255
"YachidaS_2019","Yachida 2019",5,"balanced",100,100,4113,4095.5,0.9957451981522,991,13406,6905161,7005261
"YachidaS_2019","Yachida 2019",5,"fourfold",100,100,1362,5548,4.07342143906021,368,16011,6905161,7105264
"YachidaS_2019","Yachida 2019",6,"balanced",100,100,3890,4163.5,1.07030848329049,1108,15930,6906170,7006270
"YachidaS_2019","Yachida 2019",6,"fourfold",100,100,1606,5827,3.62826899128269,490,19963,6906170,7106273
"YachidaS_2019","Yachida 2019",7,"balanced",100,100,4103,3999,0.974652693151353,1076,13231,6907179,7007279
"YachidaS_2019","Yachida 2019",7,"fourfold",100,100,1473,6360.5,4.31805838424983,495,20280,6907179,7107282
"YachidaS_2019","Yachida 2019",8,"balanced",100,100,3949,3912,0.990630539377057,1496,11489,6908188,7008288
"YachidaS_2019","Yachida 2019",8,"fourfold",100,100,1509.5,5859.5,3.8817489234846,553,14476,6908188,7108291
"YachidaS_2019","Yachida 2019",9,"balanced",100,100,3499.5,3921,1.12044577796828,1284,10380,6909197,7009297
"YachidaS_2019","Yachida 2019",9,"fourfold",100,100,1468.5,6170.5,4.20190670752469,514,16860,6909197,7109300
"YachidaS_2019","Yachida 2019",10,"balanced",100,100,4079.5,3887,0.952812844711362,1337,15093,6910206,7010306
"YachidaS_2019","Yachida 2019",10,"fourfold",100,100,1451.5,5806,4,533,17341,6910206,7110309
"YachidaS_2019","Yachida 2019",11,"balanced",100,100,4450.5,4069,0.914279294461297,1029,14688,6911215,7011315
"YachidaS_2019","Yachida 2019",11,"fourfold",100,100,1519,6055,3.98617511520737,404,17860,6911215,7111318
"YachidaS_2019","Yachida 2019",12,"balanced",100,100,3375.5,4122,1.22115242186343,1033,13786,6912224,7012324
"YachidaS_2019","Yachida 2019",12,"fourfold",100,100,1465.5,5937,4.05117707267144,554,16378,6912224,7112327
"YachidaS_2019","Yachida 2019",13,"balanced",100,100,3895,3994.5,1.02554557124519,1375,12995,6913233,7013333
"YachidaS_2019","Yachida 2019",13,"fourfold",100,100,1671.5,5610.5,3.35656595871971,551,18410,6913233,7113336
"YachidaS_2019","Yachida 2019",14,"balanced",100,100,3873,3782,0.976504002065582,563,18265,6914242,7014342
"YachidaS_2019","Yachida 2019",14,"fourfold",100,100,1435.5,5354,3.7297109021247,490,16366,6914242,7114345
"YachidaS_2019","Yachida 2019",15,"balanced",100,100,4150.5,3936.5,0.948439946994338,1110,10926,6915251,7015351
"YachidaS_2019","Yachida 2019",15,"fourfold",100,100,1673,5775,3.45188284518828,533,20287,6915251,7115354
"YachidaS_2019","Yachida 2019",16,"balanced",100,100,4104.5,4184,1.01936898526008,1321,12079,6916260,7016360
"YachidaS_2019","Yachida 2019",16,"fourfold",100,100,1490,6150.5,4.12785234899329,560,16247,6916260,7116363
"YachidaS_2019","Yachida 2019",17,"balanced",100,100,3974.5,3902.5,0.981884513775318,1484,14633,6917269,7017369
"YachidaS_2019","Yachida 2019",17,"fourfold",100,100,1266,5651,4.46366508688784,443,20287,6917269,7117372
"YachidaS_2019","Yachida 2019",18,"balanced",100,100,4219.5,3808,0.90247659675317,1389,12588,6918278,7018378
"YachidaS_2019","Yachida 2019",18,"fourfold",100,100,1513.5,6624.5,4.37694086554344,312,17388,6918278,7118381
"YachidaS_2019","Yachida 2019",19,"balanced",100,100,3983.5,3780,0.948914271369399,1273,15504,6919287,7019387
"YachidaS_2019","Yachida 2019",19,"fourfold",100,100,1403,6260,4.46186742694227,638,17396,6919287,7119390
