"dataset","dataset_label","replicate","scenario","method","taxon","p_value","native_p_value","available","status","reason"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Akkermansia",1,1,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Alistipes",0.625764362711899,0.625764362711899,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Anaerostipes",0.855698191994494,0.855698191994494,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Bacteroides",0.778809714424319,0.778809714424319,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Barnesiella",0.700094238375085,0.700094238375085,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Bifidobacterium",0.60792772842017,0.60792772842017,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Blautia",0.1887949422763,0.1887949422763,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Clostridium",0.153400139318933,0.153400139318933,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Collinsella",0.0966663434920429,0.0966663434920429,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Coprococcus",0.341665854382008,0.341665854382008,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Dorea",0.453950147788481,0.453950147788481,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Escherichia",0.169138714658746,0.169138714658746,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Eubacterium",0.172006679574108,0.172006679574108,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Faecalibacterium",0.893704065342492,0.893704065342492,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Flavonifractor",1,1,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Fusicatenibacter",0.0987751383990962,0.0987751383990962,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Klebsiella",1,1,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Lachnospira",0.898834003963064,0.898834003963064,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Lachnospiraceae_unclassified",0.563623859896347,0.563623859896347,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Mediterraneibacter",0.567155578732228,0.567155578732228,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Megamonas",1,1,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Parabacteroides",1,1,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Phascolarctobacterium",0.0652607400192875,0.0652607400192875,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Phocaeicola",0.826272302849399,0.826272302849399,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Prevotella",0.826005562072073,0.826005562072073,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Roseburia",0.994429267066242,0.994429267066242,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Ruminococcaceae_unclassified",0.451809100811877,0.451809100811877,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Ruminococcus",0.213444362709138,0.213444362709138,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Streptococcus",1,1,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","SACAT","Veillonella",0.908649057689341,0.908649057689341,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","ZINQ","Akkermansia",0.988133348981701,0.988133348981701,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","ZINQ","Alistipes",0.204873283745224,0.204873283745224,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","ZINQ","Anaerostipes",0.146571491007452,0.146571491007452,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","ZINQ","Bacteroides",0.602058243598545,0.602058243598545,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","ZINQ","Barnesiella",0.838529413189261,0.838529413189261,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","ZINQ","Bifidobacterium",0.927405772343748,0.927405772343748,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","ZINQ","Blautia",0.329291650521382,0.329291650521382,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","ZINQ","Clostridium",0.217227874889188,0.217227874889188,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","ZINQ","Collinsella",0.0527562459892965,0.0527562459892965,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","ZINQ","Coprococcus",0.710812024481076,0.710812024481076,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","ZINQ","Dorea",0.682462725383811,0.682462725383811,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","ZINQ","Escherichia",0.132508208047493,0.132508208047493,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","ZINQ","Eubacterium",0.458861351617653,0.458861351617653,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","ZINQ","Faecalibacterium",0.691873502228318,0.691873502228318,TRUE,"available","available"
"YachidaS_2019","Yachida 2019",1,"balanced","ZINQ","Flavonifractor",0.256951968208333,0.256951968208333,TRUE,"available","available"
