"dataset","dataset_label","replicate","scenario","n_H","n_Case","median_depth_H","median_depth_Case","depth_ratio_Case_to_H","minimum_depth","maximum_depth","group_seed","count_seed"
"ZeeviD_2015","Zeevi 2015",1,"balanced",100,100,4178.5,4235.5,1.01364125882494,1128,14167,4901119,5001219
"ZeeviD_2015","Zeevi 2015",1,"fourfold",100,100,1463.5,6487,4.43252476938845,492,15944,4901119,5101222
"ZeeviD_2015","Zeevi 2015",2,"balanced",100,100,3907.5,3774.5,0.9659628918746,1402,13776,4902128,5002228
"ZeeviD_2015","Zeevi 2015",2,"fourfold",100,100,1475,5559,3.76881355932203,558,22405,4902128,5102231
"ZeeviD_2015","Zeevi 2015",3,"balanced",100,100,3870.5,3840,0.992119881152306,1064,16349,4903137,5003237
"ZeeviD_2015","Zeevi 2015",3,"fourfold",100,100,1531.5,6456.5,4.21580150179563,570,17072,4903137,5103240
"ZeeviD_2015","Zeevi 2015",4,"balanced",100,100,4052.5,4094,1.01024059222702,1004,17779,4904146,5004246
"ZeeviD_2015","Zeevi 2015",4,"fourfold",100,100,1497,5717,3.8189712758851,528,13868,4904146,5104249
"ZeeviD_2015","Zeevi 2015",5,"balanced",100,100,4128,4257.5,1.03137112403101,756,15148,4905155,5005255
"ZeeviD_2015","Zeevi 2015",5,"fourfold",100,100,1405.5,6263,4.45606545713269,492,17430,4905155,5105258
"ZeeviD_2015","Zeevi 2015",6,"balanced",100,100,3631,4168,1.14789314238502,957,11708,4906164,5006264
"ZeeviD_2015","Zeevi 2015",6,"fourfold",100,100,1512,5656.5,3.74107142857143,509,22061,4906164,5106267
"ZeeviD_2015","Zeevi 2015",7,"balanced",100,100,4104,3934.5,0.958698830409357,1595,16618,4907173,5007273
"ZeeviD_2015","Zeevi 2015",7,"fourfold",100,100,1457,6255.5,4.29341111873713,396,17708,4907173,5107276
"ZeeviD_2015","Zeevi 2015",8,"balanced",100,100,4101,4070.5,0.992562789563521,936,13146,4908182,5008282
"ZeeviD_2015","Zeevi 2015",8,"fourfold",100,100,1526,6106.5,4.00163826998689,587,23933,4908182,5108285
"ZeeviD_2015","Zeevi 2015",9,"balanced",100,100,3917,3979,1.01582844013275,1452,13846,4909191,5009291
"ZeeviD_2015","Zeevi 2015",9,"fourfold",100,100,1508.5,6004,3.98011269472986,523,14586,4909191,5109294
"ZeeviD_2015","Zeevi 2015",10,"balanced",100,100,4116.5,3900,0.947406777602332,865,11104,4910200,5010300
"ZeeviD_2015","Zeevi 2015",10,"fourfold",100,100,1494.5,5809,3.88691870190699,702,24025,4910200,5110303
"ZeeviD_2015","Zeevi 2015",11,"balanced",100,100,4169,4332.5,1.03921803789878,1255,15662,4911209,5011309
"ZeeviD_2015","Zeevi 2015",11,"fourfold",100,100,1491,6197.5,4.15660630449363,549,15690,4911209,5111312
"ZeeviD_2015","Zeevi 2015",12,"balanced",100,100,3726,4164.5,1.11768652710682,1530,13575,4912218,5012318
"ZeeviD_2015","Zeevi 2015",12,"fourfold",100,100,1679,6512.5,3.8787969029184,300,14043,4912218,5112321
"ZeeviD_2015","Zeevi 2015",13,"balanced",100,100,4413.5,4035.5,0.914353687549564,1331,12419,4913227,5013327
"ZeeviD_2015","Zeevi 2015",13,"fourfold",100,100,1387.5,5824.5,4.19783783783784,430,16732,4913227,5113330
"ZeeviD_2015","Zeevi 2015",14,"balanced",100,100,3946.5,3772,0.955783605726593,1462,15391,4914236,5014336
"ZeeviD_2015","Zeevi 2015",14,"fourfold",100,100,1463.5,6235,4.26033481380253,581,19002,4914236,5114339
"ZeeviD_2015","Zeevi 2015",15,"balanced",100,100,4140.5,3777,0.912208670450429,1110,11280,4915245,5015345
"ZeeviD_2015","Zeevi 2015",15,"fourfold",100,100,1346,5368.5,3.98848439821694,442,23540,4915245,5115348
"ZeeviD_2015","Zeevi 2015",16,"balanced",100,100,3568,4461.5,1.25042040358744,1095,13752,4916254,5016354
"ZeeviD_2015","Zeevi 2015",16,"fourfold",100,100,1750,5332,3.04685714285714,611,17743,4916254,5116357
"ZeeviD_2015","Zeevi 2015",17,"balanced",100,100,4125,3902,0.945939393939394,1161,12943,4917263,5017363
"ZeeviD_2015","Zeevi 2015",17,"fourfold",100,100,1465.5,5962.5,4.06857727737973,546,19159,4917263,5117366
"ZeeviD_2015","Zeevi 2015",18,"balanced",100,100,4394,4121,0.937869822485207,1029,14185,4918272,5018372
"ZeeviD_2015","Zeevi 2015",18,"fourfold",100,100,1483.5,5876.5,3.96124031007752,520,18806,4918272,5118375
"ZeeviD_2015","Zeevi 2015",19,"balanced",100,100,3989,4512.5,1.13123589872148,981,13124,4919281,5019381
"ZeeviD_2015","Zeevi 2015",19,"fourfold",100,100,1590.5,5908,3.71455517132977,595,19944,4919281,5119384
"ZeeviD_2015","Zeevi 2015",20,"balanced",100,100,4209,3979,0.945355191256831,1333,10473,4920290,5020390
"ZeeviD_2015","Zeevi 2015",20,"fourfold",100,100,1507.5,6052.5,4.01492537313433,395,14823,4920290,5120393
"ZeeviD_2015","Zeevi 2015",21,"balanced",100,100,4093.5,3935,0.961280078172713,793,12971,4921299,5021399
"ZeeviD_2015","Zeevi 2015",21,"fourfold",100,100,1411.5,6191,4.38611406305349,495,17439,4921299,5121402
"ZeeviD_2015","Zeevi 2015",22,"balanced",100,100,4497,4322.5,0.961196353124305,1277,11676,4922308,5022408
"ZeeviD_2015","Zeevi 2015",22,"fourfold",100,100,1501.5,6007,4.000666000666,523,20136,4922308,5122411
"ZeeviD_2015","Zeevi 2015",23,"balanced",100,100,3967.5,3895.5,0.981852551984877,1319,12240,4923317,5023417
"ZeeviD_2015","Zeevi 2015",23,"fourfold",100,100,1521,6168.5,4.05555555555556,442,13141,4923317,5123420
"ZeeviD_2015","Zeevi 2015",24,"balanced",100,100,4101.5,3813.5,0.929781787151042,1058,13667,4924326,5024426
"ZeeviD_2015","Zeevi 2015",24,"fourfold",100,100,1392,6703.5,4.81573275862069,354,18136,4924326,5124429
"ZeeviD_2015","Zeevi 2015",25,"balanced",100,100,4208,4133,0.98217680608365,1180,12107,4925335,5025435
"ZeeviD_2015","Zeevi 2015",25,"fourfold",100,100,1406,5832.5,4.14829302987198,479,22203,4925335,5125438
"ZeeviD_2015","Zeevi 2015",26,"balanced",100,100,3677.5,4392,1.1942895989123,979,11441,4926344,5026444
"ZeeviD_2015","Zeevi 2015",26,"fourfold",100,100,1541,6794.5,4.40914990266061,551,16585,4926344,5126447
"ZeeviD_2015","Zeevi 2015",27,"balanced",100,100,3933,3969,1.0091533180778,1165,12503,4927353,5027453
"ZeeviD_2015","Zeevi 2015",27,"fourfold",100,100,1530.5,6108.5,3.99117935315256,550,15519,4927353,5127456
"ZeeviD_2015","Zeevi 2015",28,"balanced",100,100,3625,3821.5,1.05420689655172,1171,12578,4928362,5028462
"ZeeviD_2015","Zeevi 2015",28,"fourfold",100,100,1521,6330.5,4.1620644312952,499,18446,4928362,5128465
"ZeeviD_2015","Zeevi 2015",29,"balanced",100,100,3645,3612.5,0.991083676268861,1446,17562,4929371,5029471
"ZeeviD_2015","Zeevi 2015",29,"fourfold",100,100,1433.5,5584,3.89536100453436,415,29535,4929371,5129474
"ZeeviD_2015","Zeevi 2015",30,"balanced",100,100,4377,3912.5,0.893877084761252,1263,13108,4930380,5030480
"ZeeviD_2015","Zeevi 2015",30,"fourfold",100,100,1515.5,6268,4.13592873639063,468,15745,4930380,5130483
