"dataset","dataset_label","replicate","scenario","taxon","observed_prevalence","prevalence_H","prevalence_Case","positive_samples_H","positive_samples_Case","total_count","sacat_retained","sacat_formed_structural_absence","sacat_regular_structural_absence","sacat_nonregular_structural_absence","sacat_formed_relative_abundance","sacat_formed_omnibus","sacat_both_components_formed","sacat_reason_structural_absence","sacat_reason_relative_abundance","sacat_warning_structural_absence","sacat_warning_relative_abundance"
"ZeeviD_2015","Zeevi 2015",1,"balanced","Akkermansia",0.55,0.55,0.55,55,55,11523,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Alistipes",0.985,0.98,0.99,98,99,38625,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Anaerobutyricum",0.96,0.97,0.95,97,95,11730,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Anaerostipes",0.98,0.99,0.97,99,97,22137,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Bacteroides",0.995,0.99,1,99,100,118020,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Barnesiella",0.9,0.87,0.93,87,93,10917,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Bifidobacterium",0.965,0.98,0.95,98,95,39490,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Blautia",0.96,0.97,0.95,97,95,7385,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Butyrivibrio",0.23,0.2,0.26,20,26,9982,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Clostridium",0.655,0.69,0.62,69,62,8733,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Collinsella",0.935,0.93,0.94,93,94,11021,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Coprococcus",0.95,0.95,0.95,95,95,20566,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Dialister",0.54,0.57,0.51,57,51,7784,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Dorea",0.985,0.99,0.98,99,98,18335,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Eubacterium",0.97,0.97,0.97,97,97,24670,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Faecalibacterium",1,1,1,100,100,50477,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Firmicutes_unclassified",0.845,0.85,0.84,85,84,8495,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Fusicatenibacter",0.97,0.97,0.97,97,97,16128,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Lachnospira",0.95,0.96,0.94,96,94,19019,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Lachnospiraceae_unclassified",0.855,0.84,0.87,84,87,22762,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Mediterraneibacter",0.95,0.95,0.95,95,95,10356,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Methanobrevibacter",0.395,0.34,0.45,34,45,9293,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Odoribacter",0.965,0.97,0.96,97,96,5060,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Oscillibacter",0.85,0.86,0.84,86,84,8549,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Parabacteroides",0.99,0.98,1,98,100,22239,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Phocaeicola",1,1,1,100,100,105382,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Prevotella",0.75,0.76,0.74,76,74,110299,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Roseburia",0.995,1,0.99,100,99,45236,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Ruminococcaceae_unclassified",0.715,0.7,0.73,70,73,11566,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"balanced","Ruminococcus",0.945,0.93,0.96,93,96,38369,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"fourfold","Akkermansia",0.52,0.5,0.54,50,54,9356,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"fourfold","Alistipes",0.985,0.97,1,97,100,38491,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"fourfold","Anaerobutyricum",0.94,0.91,0.97,91,97,10060,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"fourfold","Anaerostipes",0.96,0.93,0.99,93,99,20494,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"fourfold","Bacteroides",1,1,1,100,100,118366,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"fourfold","Barnesiella",0.89,0.83,0.95,83,95,11290,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"ZeeviD_2015","Zeevi 2015",1,"fourfold","Bifidobacterium",0.945,0.94,0.95,94,95,34104,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
