"dataset","dataset_label","scenario","method","n_tests","n_available","n_unavailable","availability_rate"
"BaxterE_2016","Baxter 2016","balanced","DASRA",3000,3000,0,1
"BaxterE_2016","Baxter 2016","fourfold","DASRA",3000,3000,0,1
"BaxterE_2016","Baxter 2016","balanced","ZINQ",3000,3000,0,1
"BaxterE_2016","Baxter 2016","fourfold","ZINQ",3000,3000,0,1
"BaxterE_2016","Baxter 2016","balanced","MaAsLin3",3000,2544,456,0.848
"BaxterE_2016","Baxter 2016","fourfold","MaAsLin3",3000,2667,333,0.889
"SchirmerM_2016","Schirmer 2016","balanced","DASRA",3000,3000,0,1
"SchirmerM_2016","Schirmer 2016","fourfold","DASRA",3000,3000,0,1
"SchirmerM_2016","Schirmer 2016","balanced","ZINQ",3000,3000,0,1
"SchirmerM_2016","Schirmer 2016","fourfold","ZINQ",3000,3000,0,1
"SchirmerM_2016","Schirmer 2016","balanced","MaAsLin3",3000,2739,261,0.913
"SchirmerM_2016","Schirmer 2016","fourfold","MaAsLin3",3000,2797,203,0.932333333333333
"JieZ_2017","Jie 2017","balanced","DASRA",3000,3000,0,1
"JieZ_2017","Jie 2017","fourfold","DASRA",3000,3000,0,1
"JieZ_2017","Jie 2017","balanced","ZINQ",3000,3000,0,1
"JieZ_2017","Jie 2017","fourfold","ZINQ",3000,3000,0,1
"JieZ_2017","Jie 2017","balanced","MaAsLin3",3000,2985,15,0.995
"JieZ_2017","Jie 2017","fourfold","MaAsLin3",3000,2988,12,0.996
"NielsenHB_2014","Nielsen 2014","balanced","DASRA",3000,3000,0,1
"NielsenHB_2014","Nielsen 2014","fourfold","DASRA",3000,3000,0,1
"NielsenHB_2014","Nielsen 2014","balanced","ZINQ",3000,3000,0,1
"NielsenHB_2014","Nielsen 2014","fourfold","ZINQ",3000,3000,0,1
"NielsenHB_2014","Nielsen 2014","balanced","MaAsLin3",3000,2899,101,0.966333333333333
"NielsenHB_2014","Nielsen 2014","fourfold","MaAsLin3",3000,2901,99,0.967
"LeChatelierE_2013","Le Chatelier 2013","balanced","DASRA",3000,3000,0,1
"LeChatelierE_2013","Le Chatelier 2013","fourfold","DASRA",3000,3000,0,1
"LeChatelierE_2013","Le Chatelier 2013","balanced","ZINQ",3000,3000,0,1
"LeChatelierE_2013","Le Chatelier 2013","fourfold","ZINQ",3000,3000,0,1
"LeChatelierE_2013","Le Chatelier 2013","balanced","MaAsLin3",3000,2793,207,0.931
"LeChatelierE_2013","Le Chatelier 2013","fourfold","MaAsLin3",3000,2815,185,0.938333333333333
"LiJ_2014","Li 2014","balanced","DASRA",3000,3000,0,1
"LiJ_2014","Li 2014","fourfold","DASRA",3000,3000,0,1
"LiJ_2014","Li 2014","balanced","ZINQ",3000,3000,0,1
"LiJ_2014","Li 2014","fourfold","ZINQ",3000,3000,0,1
"LiJ_2014","Li 2014","balanced","MaAsLin3",3000,2974,26,0.991333333333333
"LiJ_2014","Li 2014","fourfold","MaAsLin3",3000,2975,25,0.991666666666667
"Atlas1006","HITChip Atlas 1006","balanced","DASRA",3000,3000,0,1
"Atlas1006","HITChip Atlas 1006","fourfold","DASRA",3000,3000,0,1
"Atlas1006","HITChip Atlas 1006","balanced","ZINQ",3000,3000,0,1
"Atlas1006","HITChip Atlas 1006","fourfold","ZINQ",3000,3000,0,1
"Atlas1006","HITChip Atlas 1006","balanced","MaAsLin3",3000,991,2009,0.330333333333333
"Atlas1006","HITChip Atlas 1006","fourfold","MaAsLin3",3000,1778,1222,0.592666666666667
"NogueraJulianHIV","Noguera-Julian HIV","balanced","DASRA",3000,3000,0,1
"NogueraJulianHIV","Noguera-Julian HIV","fourfold","DASRA",3000,3000,0,1
"NogueraJulianHIV","Noguera-Julian HIV","balanced","ZINQ",3000,3000,0,1
"NogueraJulianHIV","Noguera-Julian HIV","fourfold","ZINQ",3000,3000,0,1
"NogueraJulianHIV","Noguera-Julian HIV","balanced","MaAsLin3",3000,3000,0,1
"NogueraJulianHIV","Noguera-Julian HIV","fourfold","MaAsLin3",3000,3000,0,1
"HMPV35Throat","HMP V35 throat","balanced","DASRA",3000,3000,0,1
"HMPV35Throat","HMP V35 throat","fourfold","DASRA",3000,3000,0,1
"HMPV35Throat","HMP V35 throat","balanced","ZINQ",3000,3000,0,1
"HMPV35Throat","HMP V35 throat","fourfold","ZINQ",3000,3000,0,1
"HMPV35Throat","HMP V35 throat","balanced","MaAsLin3",3000,3000,0,1
"HMPV35Throat","HMP V35 throat","fourfold","MaAsLin3",3000,3000,0,1
"Qiita11993Colombia","Colombia Westernization","balanced","DASRA",3000,3000,0,1
"Qiita11993Colombia","Colombia Westernization","fourfold","DASRA",3000,3000,0,1
"Qiita11993Colombia","Colombia Westernization","balanced","ZINQ",3000,3000,0,1
"Qiita11993Colombia","Colombia Westernization","fourfold","ZINQ",3000,3000,0,1
"Qiita11993Colombia","Colombia Westernization","balanced","MaAsLin3",3000,2977,23,0.992333333333333
"Qiita11993Colombia","Colombia Westernization","fourfold","MaAsLin3",3000,2997,3,0.999
"Qiita13631ASD","ASD Dan 2020","balanced","DASRA",3000,3000,0,1
"Qiita13631ASD","ASD Dan 2020","fourfold","DASRA",3000,3000,0,1
"Qiita13631ASD","ASD Dan 2020","balanced","ZINQ",3000,3000,0,1
"Qiita13631ASD","ASD Dan 2020","fourfold","ZINQ",3000,3000,0,1
"Qiita13631ASD","ASD Dan 2020","balanced","MaAsLin3",3000,1639,1361,0.546333333333333
"Qiita13631ASD","ASD Dan 2020","fourfold","MaAsLin3",3000,2149,851,0.716333333333333
"NHANESOral_2009_2010","NHANES Oral 2009-2010","balanced","DASRA",3000,3000,0,1
"NHANESOral_2009_2010","NHANES Oral 2009-2010","fourfold","DASRA",3000,3000,0,1
"NHANESOral_2009_2010","NHANES Oral 2009-2010","balanced","ZINQ",3000,3000,0,1
"NHANESOral_2009_2010","NHANES Oral 2009-2010","fourfold","ZINQ",3000,3000,0,1
"NHANESOral_2009_2010","NHANES Oral 2009-2010","balanced","MaAsLin3",3000,3000,0,1
"NHANESOral_2009_2010","NHANES Oral 2009-2010","fourfold","MaAsLin3",3000,3000,0,1
"NHANESOral_2011_2012","NHANES Oral 2011-2012","balanced","DASRA",3000,3000,0,1
"NHANESOral_2011_2012","NHANES Oral 2011-2012","fourfold","DASRA",3000,3000,0,1
"NHANESOral_2011_2012","NHANES Oral 2011-2012","balanced","ZINQ",3000,3000,0,1
"NHANESOral_2011_2012","NHANES Oral 2011-2012","fourfold","ZINQ",3000,3000,0,1
"NHANESOral_2011_2012","NHANES Oral 2011-2012","balanced","MaAsLin3",3000,3000,0,1
"NHANESOral_2011_2012","NHANES Oral 2011-2012","fourfold","MaAsLin3",3000,3000,0,1
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque","balanced","DASRA",3000,3000,0,1
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque","fourfold","DASRA",3000,3000,0,1
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque","balanced","ZINQ",3000,3000,0,1
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque","fourfold","ZINQ",3000,3000,0,1
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque","balanced","MaAsLin3",3000,2347,653,0.782333333333333
"ORIGINS_2022_Healthy_Plaque","ORIGINS 2022 healthy-site plaque","fourfold","MaAsLin3",3000,2519,481,0.839666666666667
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead","balanced","DASRA",3000,3000,0,1
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead","fourfold","DASRA",3000,3000,0,1
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead","balanced","ZINQ",3000,3000,0,1
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead","fourfold","ZINQ",3000,3000,0,1
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead","balanced","MaAsLin3",3000,2804,196,0.934666666666667
"ArtPrize_2015_Forehead","ArtPrize 2015 forehead","fourfold","MaAsLin3",3000,2817,183,0.939
