"dataset","dataset_label","scenario","method","n_replicates","n_taxa_per_replicate","empirical_familywise_type_i_error","monte_carlo_se","mc_ci95_lower","mc_ci95_upper"
"NogueraJulianHIV","Noguera-Julian HIV","balanced","SACAT",100,30,0.08,0.0272659924344291,0.0265596368257774,0.133440363174223
"NogueraJulianHIV","Noguera-Julian HIV","fourfold","SACAT",100,30,0.01,0.01,0,0.0295996398454005
"NogueraJulianHIV","Noguera-Julian HIV","balanced","ZINQ",100,30,0.08,0.0272659924344291,0.0265596368257774,0.133440363174223
"NogueraJulianHIV","Noguera-Julian HIV","fourfold","ZINQ",100,30,0.03,0.0171446607997765,0,0.0636029176947177
"NogueraJulianHIV","Noguera-Julian HIV","balanced","MaAsLin3",100,30,0.05,0.021904291355759,0.00706837783584028,0.0929316221641597
"NogueraJulianHIV","Noguera-Julian HIV","fourfold","MaAsLin3",100,30,0.05,0.021904291355759,0.00706837783584028,0.0929316221641597
"BaxterE_2016","Baxter 2016","balanced","SACAT",100,30,0.01,0.01,0,0.0295996398454005
"BaxterE_2016","Baxter 2016","fourfold","SACAT",100,30,0.08,0.0272659924344291,0.0265596368257774,0.133440363174223
"BaxterE_2016","Baxter 2016","balanced","ZINQ",100,30,0.02,0.014070529413629,0,0.0475777308941242
"BaxterE_2016","Baxter 2016","fourfold","ZINQ",100,30,0.06,0.0238683256575942,0.0132189413398421,0.106781058660158
"BaxterE_2016","Baxter 2016","balanced","MaAsLin3",100,30,0.01,0.01,0,0.0295996398454005
"BaxterE_2016","Baxter 2016","fourfold","MaAsLin3",100,30,0.05,0.021904291355759,0.00706837783584026,0.0929316221641597
"HMPV35Throat","HMP V35 throat","balanced","SACAT",100,30,0.02,0.014070529413629,0,0.0475777308941242
"HMPV35Throat","HMP V35 throat","fourfold","SACAT",100,30,0.03,0.0171446607997765,0,0.0636029176947177
"HMPV35Throat","HMP V35 throat","balanced","ZINQ",100,30,0.03,0.0171446607997765,0,0.0636029176947177
"HMPV35Throat","HMP V35 throat","fourfold","ZINQ",100,30,0,0,0,0
