"dataset","taxon","minimum_positive_H","minimum_positive_Case","minimum_positive_both","mean_positive_H","mean_positive_Case","mean_positive_both","replicates_at_least_20","replicates_at_least_18","replicates_below_18"
"NogueraJulianHIV","Bacteroides",93,97,93,96.52,98.86,96.46,100,100,0
"NogueraJulianHIV","Prevotella",77,82,77,83.75,89.13,83.44,100,100,0
"NogueraJulianHIV","Faecalibacterium",96,96,96,97.57,98.7,97.36,100,100,0
"NogueraJulianHIV","Clostridium_XlVa",98,99,98,99.53,99.43,98.99,100,100,0
"NogueraJulianHIV","Blautia",98,99,98,99.45,99.5,98.96,100,100,0
"NogueraJulianHIV","Alistipes",69,76,69,75.22,83.17,74.93,100,100,0
"NogueraJulianHIV","Lachnospiracea_incertae_sedis",94,97,94,97.87,98.79,97.54,100,100,0
"NogueraJulianHIV","Succinivibrio",29,33,29,37.92,43.47,36.91,100,100,0
"NogueraJulianHIV","Parabacteroides",77,84,77,84.5,89.86,84.11,100,100,0
"NogueraJulianHIV","Ruminococcus",82,83,82,88.03,89.51,86.69,100,100,0
"NogueraJulianHIV","Alloprevotella",44,47,44,52.82,55.63,50.99,100,100,0
"NogueraJulianHIV","Flavonifractor",85,89,85,91.24,94.05,90.76,100,100,0
"NogueraJulianHIV","Gemmiger",86,93,86,93.55,97.58,93.46,100,100,0
"NogueraJulianHIV","Roseburia",85,89,85,90.1,93.41,89.85,100,100,0
"NogueraJulianHIV","Clostridium_XI",67,76,67,75.65,83.05,75.4,100,100,0
"NogueraJulianHIV","Barnesiella",56,66,56,65.25,73.18,65.08,100,100,0
"NogueraJulianHIV","Catenibacterium",49,52,49,57.64,61.79,56.28,100,100,0
"NogueraJulianHIV","Dialister",61,65,61,69.49,72.83,68.42,100,100,0
"NogueraJulianHIV","Clostridium_IV",74,87,74,84.66,92.84,84.6,100,100,0
"NogueraJulianHIV","Dorea",82,91,82,90.01,94.78,89.92,100,100,0
"NogueraJulianHIV","Odoribacter",63,74,63,72.27,80.78,72.23,100,100,0
"NogueraJulianHIV","Paraprevotella",59,64,59,65.87,73.47,65.58,100,100,0
"NogueraJulianHIV","Streptococcus",47,64,47,57.23,73.34,57.23,100,100,0
"NogueraJulianHIV","Bifidobacterium",55,64,55,63.74,74.22,63.49,100,100,0
"NogueraJulianHIV","Erysipelotrichaceae_incertae_sedis",65,75,65,72.75,80.58,72.37,100,100,0
"NogueraJulianHIV","Megasphaera",30,33,30,38.33,41.96,36.87,100,100,0
"NogueraJulianHIV","Lachnospira",52,61,52,60.2,68.75,59.93,100,100,0
"NogueraJulianHIV","Sutterella",33,43,33,43.42,50.43,42.99,100,100,0
"NogueraJulianHIV","Ruminococcus2",70,84,70,79.07,88.84,79.07,100,100,0
"NogueraJulianHIV","Clostridium_sensu_stricto",48,62,48,57.47,70.32,57.42,100,100,0
"BaxterE_2016","Blautia",99,99,99,99.84,99.99,99.83,100,100,0
"BaxterE_2016","Bacteroides",97,99,97,99.57,99.98,99.55,100,100,0
"BaxterE_2016","Faecalibacterium",96,97,96,98.2,99.01,97.93,100,100,0
"BaxterE_2016","Unclassified_Lachnospiraceae",97,99,97,99.77,99.99,99.76,100,100,0
"BaxterE_2016","Lachnospiracea_incertae_sedis",98,99,98,99.62,99.98,99.6,100,100,0
"BaxterE_2016","Roseburia",90,96,90,96.8,98.47,96.57,100,100,0
"BaxterE_2016","Anaerostipes",93,97,93,96.71,98.77,96.62,100,100,0
"BaxterE_2016","Alistipes",83,88,83,88.7,93.39,88.53,100,100,0
"BaxterE_2016","Ruminococcus",77,85,77,84.63,90.36,84.48,100,100,0
"BaxterE_2016","Unclassified_Ruminococcaceae",94,95,94,96.64,98.55,96.43,100,100,0
"BaxterE_2016","Akkermansia",71,80,71,78.66,86.71,78.52,100,100,0
"BaxterE_2016","Ruminococcus2",89,96,89,95.72,98.61,95.63,100,100,0
"BaxterE_2016","Clostridium_IV",90,97,90,96.66,99.24,96.59,100,100,0
"BaxterE_2016","Clostridium_XlVa",97,99,97,99.26,99.99,99.26,100,100,0
"BaxterE_2016","Dorea",90,93,90,94.01,96.36,93.73,100,100,0
"BaxterE_2016","Prevotella",22,31,22,31.29,40.18,30.93,100,100,0
"BaxterE_2016","Unclassified_Clostridiales",80,89,80,87.67,93.39,87.47,100,100,0
"BaxterE_2016","Oscillibacter",76,86,76,84.09,91.99,83.99,100,100,0
"BaxterE_2016","Coprococcus",77,81,77,84.18,87.49,83.57,100,100,0
