"intersection","taxon","methods"
"I1","Anaerofilum","metagenomeSeq"
"I1","Bilophila","metagenomeSeq"
"I1","Cloacibacillus","metagenomeSeq"
"I1","Desulfovibrio","metagenomeSeq"
"I1","Finegoldia","metagenomeSeq"
"I1","Haemophilus","metagenomeSeq"
"I1","Howardella","metagenomeSeq"
"I1","Lactococcus","metagenomeSeq"
"I1","Megasphaera","metagenomeSeq"
"I1","Paraprevotella","metagenomeSeq"
"I1","Unclassified_Eubacteriaceae","metagenomeSeq"
"I1","Unclassified_Pasteurellaceae","metagenomeSeq"
"I1","Unclassified_Sphingomonadaceae","metagenomeSeq"
"I1","Unclassified_Veillonellaceae","metagenomeSeq"
"I2","Enterococcus","SACAT present-conditional abundance | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I2","Lactobacillus","SACAT present-conditional abundance | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I2","Prevotella","SACAT present-conditional abundance | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I2","Streptococcus","SACAT present-conditional abundance | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I2","Unclassified_Enterobacteriaceae","SACAT present-conditional abundance | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I2","Veillonella","SACAT present-conditional abundance | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I3","Clostridium_IV","SACAT structural absence | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I3","Parasutterella","SACAT structural absence | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I3","Roseburia","SACAT structural absence | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I3","Ruminococcus","SACAT structural absence | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I4","Butyricicoccus","SACAT structural absence | MaAsLin3 | ZINQ | LinDA"
"I4","Coprococcus","SACAT structural absence | MaAsLin3 | ZINQ | LinDA"
"I4","Parabacteroides","SACAT structural absence | MaAsLin3 | ZINQ | LinDA"
"I4","Ruminococcus2","SACAT structural absence | MaAsLin3 | ZINQ | LinDA"
"I5","Faecalibacterium","SACAT structural absence | SACAT present-conditional abundance | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I5","Lachnospiracea_incertae_sedis","SACAT structural absence | SACAT present-conditional abundance | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I5","Unclassified_Clostridiales","SACAT structural absence | SACAT present-conditional abundance | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | corncob | edgeR | DESeq2 | metagenomeSeq"
"I6","Barnesiella","SACAT structural absence | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | edgeR | DESeq2 | metagenomeSeq"
"I6","Butyricimonas","SACAT structural absence | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | edgeR | DESeq2 | metagenomeSeq"
"I6","Unclassified_Lachnospiraceae","SACAT structural absence | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA | edgeR | DESeq2 | metagenomeSeq"
"I7","Anaerococcus","LinDA | corncob | metagenomeSeq"
"I7","Citrobacter","LinDA | corncob | metagenomeSeq"
"I7","Sarcina","LinDA | corncob | metagenomeSeq"
"I8","Gemella","ZINQ | LinDA | corncob | metagenomeSeq"
"I8","Kluyvera","ZINQ | LinDA | corncob | metagenomeSeq"
"I8","Serratia","ZINQ | LinDA | corncob | metagenomeSeq"
"I9","Hespellia","corncob | metagenomeSeq"
"I9","Methanobrevibacter","corncob | metagenomeSeq"
"I10","Syntrophococcus","SACAT structural absence | SACAT present-conditional abundance | MaAsLin3 | ZINQ | LinDA | metagenomeSeq"
"I10","Unclassified_Actinobacteria","SACAT structural absence | SACAT present-conditional abundance | MaAsLin3 | ZINQ | LinDA | metagenomeSeq"
"I11","Gemmiger","SACAT structural absence | MaAsLin3 | ZINQ | ANCOM-BC2 | LinDA"
